STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COUNTRY,Country/Region,FREQUENCY,Frequency,RDD_SECTOR,Sector,RDD_TECH,Technology,RDD_TYPE,Type,UNIT,Unit,TIME_PERIOD,Time Period,OBS_VALUE,Observation value,QUALIFIER,Qualifier,CONF_STATUS,Confidential Status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,IRELAND,Ireland,A,Annual,PUBLIC,Total public,FOSSILFUEL,Group 2: Fossil fuels,RDD,"Research, development and demonstration",NC_N,National currency (nominal),2019,,0.976,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,IRELAND,Ireland,A,Annual,PUBLIC,Total public,FOSSILFUEL,Group 2: Fossil fuels,RDD,"Research, development and demonstration",NC_N,National currency (nominal),2020,,0.911,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,IRELAND,Ireland,A,Annual,PUBLIC,Total public,FOSSILFUEL,Group 2: Fossil fuels,RDD,"Research, development and demonstration",NC_N,National currency (nominal),2021,,0.821,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,IRELAND,Ireland,A,Annual,PUBLIC,Total public,FOSSILFUEL,Group 2: Fossil fuels,RDD,"Research, development and demonstration",NC_N,National currency (nominal),2022,,0.712,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,IRELAND,Ireland,A,Annual,PUBLIC,Total public,FOSSILFUEL,Group 2: Fossil fuels,RDD,"Research, development and demonstration",NC_N,National currency (nominal),2023,,0.458,,P,Provisional Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,HUNGARY,Hungary,A,Annual,PUBLIC,Total public,EFFICIENCY,Group 1: Energy efficiency,RDD,"Research, development and demonstration",NC_N,National currency (nominal),2019,,1397.103,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,HUNGARY,Hungary,A,Annual,PUBLIC,Total public,EFFICIENCY,Group 1: Energy efficiency,RDD,"Research, development and demonstration",NC_N,National currency (nominal),2020,,2365.471,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,HUNGARY,Hungary,A,Annual,PUBLIC,Total public,EFFICIENCY,Group 1: Energy efficiency,RDD,"Research, development and demonstration",NC_N,National currency (nominal),2021,,7586.896,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,HUNGARY,Hungary,A,Annual,PUBLIC,Total public,EFFICIENCY,Group 1: Energy efficiency,RDD,"Research, development and demonstration",NC_N,National currency (nominal),2022,,790.765,,I,Imputed Value,F,Non-confidential,6,Millions,3,
DATAFLOW,OECD.IEA:RDDPUBLIC(1.0),Public energy technology RD&D budgets,I,HUNGARY,Hungary,A,Annual,PUBLIC,Total public,EFFICIENCY,Group 1: Energy efficiency,RDD,"Research, development and demonstration",NC_N,National currency (nominal),2023,,12.292,,P,Provisional Value,F,Non-confidential,6,Millions,3,
