COUNTRY,FLOW,TIME,VALUE,PRODUCT,DATATYPE
OECDAM,GDINCTRO,2022,1110629.919,NATGASCM,BALANCE
OECDAM,INDPROD,2022,1272148.346,NATGASCM,BALANCE
OECDAM,STCHANAT,2022,-9666.141,NATGASCM,BALANCE
OECDAM,TOTENTSB,2022,121920.289,NATGASCM,BALANCE
OECDAM,TOTEXTSB,2022,280851.757,NATGASCM,BALANCE
OECDAO,GDINCTRO,2022,226371.62,NATGASCM,BALANCE
OECDAO,INDPROD,2022,192864.863,NATGASCM,BALANCE
OECDAO,STCHANAT,2022,2147.84,NATGASCM,BALANCE
OECDAO,TOTENTSB,2022,159562.533,NATGASCM,BALANCE
OECDAO,TOTEXTSB,2022,115728.0,NATGASCM,BALANCE
AUSTRALI,GDINCTRO,2022,59338.0,NATGASCM,BALANCE
AUSTRALI,INDPROD,2022,162973.0,NATGASCM,BALANCE
AUSTRALI,TOTENTSB,2022,2865.0,NATGASCM,BALANCE
AUSTRALI,TOTEXTSB,2022,106500.0,NATGASCM,BALANCE
AUSTRIA,GDINCTRO,2022,8149.663,NATGASCM,BALANCE
AUSTRIA,INDPROD,2022,646.239,NATGASCM,BALANCE
AUSTRIA,STCHANAT,2022,4644.846,NATGASCM,BALANCE
AUSTRIA,TOTENTSB,2022,31235.448,NATGASCM,BALANCE
AUSTRIA,TOTEXTSB,2022,19106.567,NATGASCM,BALANCE
BELGIUM,GDINCTRO,2022,15737.3,NATGASCM,BALANCE
BELGIUM,INDPROD,2022,27.3,NATGASCM,BALANCE
BELGIUM,STCHANAT,2022,135.6,NATGASCM,BALANCE
BELGIUM,TOTENTSB,2022,61082.7,NATGASCM,BALANCE
BELGIUM,TOTEXTSB,2022,45206.4,NATGASCM,BALANCE
CANADA,GDINCTRO,2022,145160.919,NATGASCM,BALANCE
CANADA,INDPROD,2022,203342.346,NATGASCM,BALANCE
CANADA,STCHANAT,2022,-1670.141,NATGASCM,BALANCE
CANADA,TOTENTSB,2022,25427.189,NATGASCM,BALANCE
CANADA,TOTEXTSB,2022,85278.757,NATGASCM,BALANCE
CHILE,GDINCTRO,2022,6855.0,NATGASCM,BALANCE
CHILE,INDPROD,2022,1387.0,NATGASCM,BALANCE
CHILE,STCHANAT,2022,63.0,NATGASCM,BALANCE
CHILE,TOTENTSB,2022,5356.1,NATGASCM,BALANCE
CZECH,GDINCTRO,2022,7608.669,NATGASCM,BALANCE
CZECH,INDPROD,2022,223.58,NATGASCM,BALANCE
CZECH,STCHANAT,2022,1232.328,NATGASCM,BALANCE
CZECH,TOTENTSB,2022,27084.576,NATGASCM,BALANCE
CZECH,TOTEXTSB,2022,18467.159,NATGASCM,BALANCE
DENMARK,GDINCTRO,2022,2328.869,NATGASCM,BALANCE
DENMARK,INDPROD,2022,1982.432,NATGASCM,BALANCE
DENMARK,STCHANAT,2022,249.737,NATGASCM,BALANCE
DENMARK,TOTENTSB,2022,2723.201,NATGASCM,BALANCE
DENMARK,TOTEXTSB,2022,2152.668,NATGASCM,BALANCE
ESTONIA,GDINCTRO,2022,353.4,NATGASCM,BALANCE
ESTONIA,TOTENTSB,2022,1063.641,NATGASCM,BALANCE
ESTONIA,TOTEXTSB,2022,710.356,NATGASCM,BALANCE
OECDEUR,GDINCTRO,2022,470153.395,NATGASCM,BALANCE
OECDEUR,INDPROD,2022,204422.087,NATGASCM,BALANCE
OECDEUR,STCHANAT,2022,35528.911,NATGASCM,BALANCE
OECDEUR,TOTENTSB,2022,697378.216,NATGASCM,BALANCE
OECDEUR,TOTEXTSB,2022,391378.492,NATGASCM,BALANCE
FINLAND,GDINCTRO,2022,1280.401,NATGASCM,BALANCE
FINLAND,INDPROD,2022,12.0,NATGASCM,BALANCE
FINLAND,STCHANAT,2022,42.0,NATGASCM,BALANCE
FINLAND,TOTENTSB,2022,1418.94,NATGASCM,BALANCE
FINLAND,TOTEXTSB,2022,107.279,NATGASCM,BALANCE
FRANCE,GDINCTRO,2022,36964.083,NATGASCM,BALANCE
FRANCE,INDPROD,2022,619.428,NATGASCM,BALANCE
FRANCE,STCHANAT,2022,3234.671,NATGASCM,BALANCE
FRANCE,TOTENTSB,2022,55302.14,NATGASCM,BALANCE
FRANCE,TOTEXTSB,2022,15232.416,NATGASCM,BALANCE
GERMANY,GDINCTRO,2022,79259.121,NATGASCM,BALANCE
GERMANY,INDPROD,2022,4569.0,NATGASCM,BALANCE
GERMANY,STCHANAT,2022,9418.0,NATGASCM,BALANCE
GERMANY,TOTENTSB,2022,133624.219,NATGASCM,BALANCE
GERMANY,TOTEXTSB,2022,49516.098,NATGASCM,BALANCE
GREECE,GDINCTRO,2022,5172.334,NATGASCM,BALANCE
GREECE,STCHANAT,2022,74.814,NATGASCM,BALANCE
GREECE,TOTENTSB,2022,15945.201,NATGASCM,BALANCE
GREECE,TOTEXTSB,2022,10646.61,NATGASCM,BALANCE
HUNGARY,GDINCTRO,2022,9537.859,NATGASCM,BALANCE
HUNGARY,INDPROD,2022,1523.287,NATGASCM,BALANCE
HUNGARY,STCHANAT,2022,1287.5,NATGASCM,BALANCE
HUNGARY,TOTENTSB,2022,10892.1,NATGASCM,BALANCE
HUNGARY,TOTEXTSB,2022,1578.4,NATGASCM,BALANCE
IRELAND,GDINCTRO,2022,5287.649,NATGASCM,BALANCE
IRELAND,INDPROD,2022,1435.649,NATGASCM,BALANCE
IRELAND,TOTENTSB,2022,3852.0,NATGASCM,BALANCE
ISRAEL,GDINCTRO,2022,10956.0,NATGASCM,BALANCE
ISRAEL,INDPROD,2022,21972.0,NATGASCM,BALANCE
ISRAEL,TOTENTSB,2022,48.0,NATGASCM,BALANCE
ISRAEL,TOTEXTSB,2022,9228.0,NATGASCM,BALANCE
ITALY,GDINCTRO,2022,69511.0,NATGASCM,BALANCE
ITALY,INDPROD,2022,3328.0,NATGASCM,BALANCE
ITALY,STCHANAT,2022,1628.0,NATGASCM,BALANCE
