Relative AI Skill Penetration Rate,Geographic area,Gender
0.37,Australia,Female
0.39,Switzerland,Female
0.43,United Arab Emirates,Female
0.44,Brazil,Female
0.46,Italy,Female
0.55,Spain,Female
0.55,Netherlands,Female
0.67,France,Female
0.70,Singapore,Female
0.71,United Kingdom,Female
0.82,Germany,Female
0.85,Canada,Female
0.86,Israel,Female
1.23,United States,Female
1.65,India,Female
0.92,Australia,Male
1.14,Switzerland,Male
0.89,United Arab Emirates,Male
1.26,Brazil,Male
1.10,Italy,Male
1.41,Spain,Male
1.20,Netherlands,Male
1.46,France,Male
1.51,Singapore,Male
1.64,United Kingdom,Male
2.00,Germany,Male
1.70,Canada,Male
1.92,Israel,Male
2.21,United States,Male
2.78,India,Male
