Focus area,Year,Geographic area,Total investment (in billions of U.S. dollars)
AI infrastructure/research/governance,2019,European Union and United Kingdom,0.11
AI infrastructure/research/governance,2020,European Union and United Kingdom,0.01
AI infrastructure/research/governance,2021,European Union and United Kingdom,0.26
AI infrastructure/research/governance,2022,European Union and United Kingdom,0.02
AI infrastructure/research/governance,2023,European Union and United Kingdom,0.01
AR/VR,2017,European Union and United Kingdom,0.00
AR/VR,2018,European Union and United Kingdom,0.00
AR/VR,2019,European Union and United Kingdom,0.01
AR/VR,2021,European Union and United Kingdom,0.01
AR/VR,2022,European Union and United Kingdom,0.02
AR/VR,2023,European Union and United Kingdom,0.04
AV,2017,European Union and United Kingdom,0.03
AV,2018,European Union and United Kingdom,0.00
AV,2019,European Union and United Kingdom,0.04
AV,2020,European Union and United Kingdom,0.13
AV,2021,European Union and United Kingdom,0.12
AV,2022,European Union and United Kingdom,0.43
AV,2023,European Union and United Kingdom,0.02
Agritech,2019,European Union and United Kingdom,0.00
Agritech,2022,European Union and United Kingdom,0.10
Agritech,2023,European Union and United Kingdom,0.13
"Creative, music, video content",2017,European Union and United Kingdom,0.01
"Creative, music, video content",2018,European Union and United Kingdom,0.00
"Creative, music, video content",2019,European Union and United Kingdom,0.02
"Creative, music, video content",2020,European Union and United Kingdom,0.04
"Creative, music, video content",2021,European Union and United Kingdom,0.15
"Creative, music, video content",2022,European Union and United Kingdom,0.26
"Creative, music, video content",2023,European Union and United Kingdom,0.39
"Cybersecurity, data protection",2017,European Union and United Kingdom,0.08
"Cybersecurity, data protection",2018,European Union and United Kingdom,0.07
"Cybersecurity, data protection",2020,European Union and United Kingdom,0.10
"Cybersecurity, data protection",2021,European Union and United Kingdom,0.07
"Cybersecurity, data protection",2022,European Union and United Kingdom,0.01
"Cybersecurity, data protection",2023,European Union and United Kingdom,0.54
"Data management, processing",2017,European Union and United Kingdom,0.03
"Data management, processing",2018,European Union and United Kingdom,0.05
"Data management, processing",2019,European Union and United Kingdom,0.01
"Data management, processing",2020,European Union and United Kingdom,0.11
"Data management, processing",2021,European Union and United Kingdom,0.15
"Data management, processing",2022,European Union and United Kingdom,0.34
"Data management, processing",2023,European Union and United Kingdom,0.18
Drones,2018,European Union and United Kingdom,0.02
Drones,2019,European Union and United Kingdom,0.03
Drones,2022,European Union and United Kingdom,0.01
Drones,2023,European Union and United Kingdom,0.02
Ed tech,2017,European Union and United Kingdom,0.03
Ed tech,2018,European Union and United Kingdom,0.01
Ed tech,2019,European Union and United Kingdom,0.03
Ed tech,2020,European Union and United Kingdom,0.08
Ed tech,2021,European Union and United Kingdom,0.17
Ed tech,2022,European Union and United Kingdom,0.12
Ed tech,2023,European Union and United Kingdom,0.15
"Energy, oil, and gas",2017,European Union and United Kingdom,0.00
"Energy, oil, and gas",2018,European Union and United Kingdom,0.03
"Energy, oil, and gas",2019,European Union and United Kingdom,0.03
"Energy, oil, and gas",2020,European Union and United Kingdom,0.05
"Energy, oil, and gas",2021,European Union and United Kingdom,0.10
"Energy, oil, and gas",2022,European Union and United Kingdom,0.16
"Energy, oil, and gas",2023,European Union and United Kingdom,0.27
Entertainment,2017,European Union and United Kingdom,0.00
Entertainment,2018,European Union and United Kingdom,0.02
Entertainment,2019,European Union and United Kingdom,0.06
Entertainment,2020,European Union and United Kingdom,0.02
Entertainment,2021,European Union and United Kingdom,0.11
Entertainment,2022,European Union and United Kingdom,0.09
Entertainment,2023,European Union and United Kingdom,0.18
Facial recognition,2017,European Union and United Kingdom,0.01
Facial recognition,2018,European Union and United Kingdom,0.00
Facial recognition,2019,European Union and United Kingdom,0.02
Facial recognition,2020,European Union and United Kingdom,0.00
Facial recognition,2021,European Union and United Kingdom,0.02
Facial recognition,2022,European Union and United Kingdom,0.04
Facial recognition,2023,European Union and United Kingdom,0.01
Fintech,2017,European Union and United Kingdom,0.12
Fintech,2018,European Union and United Kingdom,0.02
Fintech,2019,European Union and United Kingdom,0.11
Fintech,2020,European Union and United Kingdom,0.46
Fintech,2021,European Union and United Kingdom,0.31
Fintech,2022,European Union and United Kingdom,0.18
Fintech,2023,European Union and United Kingdom,0.67
Fitness and wellness,2018,European Union and United Kingdom,0.00
Fitness and wellness,2019,European Union and United Kingdom,0.01
Fitness and wellness,2021,European Union and United Kingdom,0.02
Fitness and wellness,2022,European Union and United Kingdom,0.01
Fitness and wellness,2023,European Union and United Kingdom,0.02
Hardware,2023,European Union and United Kingdom,0.00
Insurtech,2017,European Union and United Kingdom,0.04
Insurtech,2018,European Union and United Kingdom,0.01
Insurtech,2019,European Union and United Kingdom,0.09
Insurtech,2020,European Union and United Kingdom,0.08
Insurtech,2021,European Union and United Kingdom,0.13
Insurtech,2022,European Union and United Kingdom,0.11
Insurtech,2023,European Union and United Kingdom,0.10
Legal tech,2017,European Union and United Kingdom,0.02
Legal tech,2018,European Union and United Kingdom,0.03
Legal tech,2019,European Union and United Kingdom,0.10
Legal tech,2020,European Union and United Kingdom,0.07
Legal tech,2021,European Union and United Kingdom,0.16
Legal tech,2022,European Union and United Kingdom,0.13
