Industry,% of industry revenue (min),% of industry revenue (max),total revenue (in billions of U.S. dollars - min),total revenue (in billions of U.S. dollars - max)
High tech,4.80%,9.30%,240,460
Banking,2.80%,4.70%,200,340
Pharmaceuticals and medical products,2.60%,4.50%,60,110
Education,2.20%,4.00%,120,230
Telecommunications,2.30%,3.70%,60,100
Healthcare,1.80%,3.20%,150,260
Insurance,1.80%,2.80%,50,70
Media and entertainment,1.80%,3.10%,80,130
Advanced manufacturing,1.40%,2.40%,170,290
Consumer packaged goods,1.40%,2.30%,160,270
Advanced electronics and semiconductors,1.30%,2.30%,100,170
