Thứ tự,Tên công ty,Địa chỉ,Tỉnh,Loại hình,Điện thoại,Email,Mã số thuế,Năm thành lập,Thị trường,Chứng chỉ,Trạng thái,Website,,,,,,,,,,,,,
1,Công Ty Cổ Phần Xây Dựng Công Trình Giao Thông 505,"1 Hàn Thuyên, P. Xương Huân, Tp. Nha Trang, ",Khánh Hòa,Khoáng Sản,(0258) 3822320,cienco5-505@vnn.vn,,,,,"Đã xác minh: 22/8/2015   ,1 Hàn Thuyên, P. Xương Huân, Tp. Nha Trang, ,(0258) 3822320                                 ",https://www.yellowpages.vn/lgs/994851/cong-ty-co-phan-xay-dung-cong-trinh-giao-thong-505.html,,,,,,,,,,,,,
2,Công Ty CP Simco Sông Đà,"Tòa SIMCO Sông Đà, tiểu khu ĐTM Vạn Phúc, phường Vạn Phúc, quận Hà Đông, ",Hà Nội,Khoáng Sản,(024) 35520402,songda@simco.vn,,,,,"Đã xác minh: 24/11/2015  ,Tòa SIMCO Sông Đà, tiểu khu ĐTM Vạn Phúc, phường Vạn Phúc, quận Hà Đông, ,(024) 35520402                                ",http://simco.vn,,,,,,,,,,,,,
3,Bàn Thạch - Công Ty TNHH Bàn Thạch,"Số 9 Thanh Niên, P. An Xuân,Thanh Niên, Tp. Tam Kỳ, ",Quảng Nam,Thương mại và dịch vụ,(0235) 3851463,banthachco@gmail.com,4000424091,2008,Việt Nam,,"Đã xác minh: 3/12/2012   ,Số 9 Thanh Niên, P. An Xuân,Thanh Niên, Tp. Tam Kỳ, ,(0235) 3851463                                 ",https://www.yellowpages.vn/lgs/1138527/ban-thach-cong-ty-tnhh-ban-thach.html,,,,,,,,,,,,,
4,Công ty TNHH Thiết bị Khai khoáng Hằng Nguyên THượng Hải,"Ngõ 27 Đại Cồ Việt, ",Hà Nội,Khoáng Sản,(024) 0947045581,quynhngoc@shhyyj.com,,,,,"Đã xác minh: 6/3/2014    ,Ngõ 27 Đại Cồ Việt, ,(024) 0947045581                              ",http://shhy-china.com,,,,,,,,,,,,,
5,Công Ty TNHH MTV Nguyên Vật Liệu Vôi Việt Nam,"Thôn Châu Giang, TT. Kiện Khê, H. Thanh Liêm, ",Hà Nam,Nhà sản xuất,913610922,nvlvoivietnam@gmail.com,700633738,2012,"Việt Nam, Quốc tế",,"Đã xác minh: 15/7/2021   ,Thôn Châu Giang, TT. Kiện Khê, H. Thanh Liêm, ,0913610922                              ",https://www.yellowpages.vn/lgs/1187771331/cong-ty-tnhh-mtv-nguyen-vat-lieu-voi-viet-nam.html,,,,,,,,,,,,,
6,Công Ty TNHH Hữu Nghị,"Thôn Cự Đà, Xã Hoằng Đức, Huyện Hoằng Hoá, ",Thanh Hóa,Khoáng Sản,373865646,,,,,,"Đã xác minh: 19/10/2022  ,Thôn Cự Đà, Xã Hoằng Đức, Huyện Hoằng Hoá, ,0373865646                              ",https://www.yellowpages.vn/lgs/1187966595/cong-ty-tnhh-huu-nghi.html,,,,,,,,,,,,,
7,Công Ty TNHH Sản Xuất & Thương Mại ABB,"Hưng Nguyên, ",Nghệ An,Nhà sản xuất,(038) 3821386,Ctyabb@gmail.com,2901860445,2016,Quốc tế,,"Đã xác minh: 21/4/2017   ,Hưng Nguyên, ,(038) 3821386                                 ",https://www.yellowpages.vn/lgs/1187808915/cong-ty-tnhh-san-xuat---thuong-mai-abb.html,,,,,,,,,,,,,
8,Công Ty TNHH Trung Thành Thái Nguyên,"Tổ 9, P. Trung Thành, TP. Thái Nguyên, ",Thái Nguyên,Khoáng Sản,(0208) 3832469,trungthanhtn@trungthanhtn.com.vn,4600201989,1999,"Việt Nam, Quốc tế",,"Đã xác minh: 15/7/2020   ,Tổ 9, P. Trung Thành, TP. Thái Nguyên, ,(0208) 3832469                                 ",http://trungthanhtn.com.vn,,,,,,,,,,,,,
9,Công Ty CP Công Nghiệp Đông Bắc Việt Nam,"Tổ 7, Khu 9, P. Bãi Cháy, TP. Hạ Long, ",Quảng Ninh,Thương mại và dịch vụ,911636189,vanduyenhmxom10@gmail.com,5700663509,2007,Việt Nam,,"Đã xác minh: 14/9/2019   ,Tổ 7, Khu 9, P. Bãi Cháy, TP. Hạ Long, ,0911636189                              ",https://www.yellowpages.vn/lgs/1187829195/cong-ty-cp-cong-nghiep-dong-bac-viet-nam.html,,,,,,,,,,,,,
10,Chi Nhánh Công Ty Cổ Phần Xuất Nhập Khẩu Than Vinacomin,"29-31 Đinh Bộ Lĩnh, P. 24, Q. Bình Thạnh, ",Tp. Hồ Chí Minh (TPHCM),Thương mại,(028) 54452888,coalhcm@hcm.vnn.vn,"
0100100304-003",2005,Việt Nam,,"Đã xác minh: 21/4/2020   ,29-31 Đinh Bộ Lĩnh, P. 24, Q. Bình Thạnh, ,(028) 54452888                                ",http://coalimex.vn,,,,,,,,,,,,,
11,Công Ty Million Link (China) Investment Ltd.,"Phòng 405, Khách Sạn Bin Bop, Khu 10, Tổ 1,P. Trần Hưng Đạo, Tp. Hạ Long, ",Quảng Ninh,Khoáng Sản,(0203) 3655292,vietnama@millionlink.com,,,,,"Hơn 2 năm chưa xác minh được,Phòng 405, Khách Sạn Bin Bop, Khu 10, Tổ 1,P. Trần Hưng Đạo, Tp. Hạ Long, ,(0203) 3655292                                 ",http://www.millionlink.com,,,,,,,,,,,,,
12,Văn Phòng Đại Diện - Công Ty TNHH MTV Apatit Việt Nam,"2 Ngõ Quan Thổ 1,Tôn Đức Thắng, Q. Đống Đa, ",Hà Nội,Dịch vụ,(024) 35112238,,5300100276-035,2016,Nội tỉnh,,"Hơn 2 năm chưa xác minh được,2 Ngõ Quan Thổ 1,Tôn Đức Thắng, Q. Đống Đa, ,(024) 35112238                                ",https://www.yellowpages.vn/lgs/663912/van-phong-dai-dien-cong-ty-tnhh-mtv-apatit-viet-nam.html,,,,,,,,,,,,,
13,Xí Nghiệp Thăm Dò Khảo Sát Thiết Kế - VVMI,"30B Đoàn Thị Điểm, Q. Đống Đa, ",Hà Nội,Khoáng sản - Khảo sát,(024) 38233786,,,,,,"Hơn 2 năm chưa xác minh được,30B Đoàn Thị Điểm, Q. Đống Đa, ,(024) 38233786                                ",https://www.yellowpages.vn/lgs/735216/xi-nghiep-tham-do-khao-sat-thiet-ke-vvmi.html,,,,,,,,,,,,,
14,Công Ty TNHH TM DV Phát Triển Kỹ Thuật Kim Minh,"38/3B ấp Tây Lân, X. Bà Điểm, H. Hóc Môn, ",Tp. Hồ Chí Minh (TPHCM),Thương mại và dịch vụ,(028) 62723652,kimminhtrading@gmail.com,313442126,2015,Việt Nam,,"Đã xác minh: 24/9/2021   ,38/3B ấp Tây Lân, X. Bà Điểm, H. Hóc Môn, ,(028) 62723652                                ",http://kimminhco.com,,,,,,,,,,,,,
15,Công Ty Cổ Phần DIC Energy,"13 Bis Kỳ Đồng, Phường 9, Quận 3, ",Tp. Hồ Chí Minh (TPHCM),"Nhà sản xuất, Nhà phân phối",(028) 35261472,info@dicenergy.vn,312745752,2014,"Việt Nam, Quốc tế",,"Hơn 2 năm chưa xác minh được,13 Bis Kỳ Đồng, Phường 9, Quận 3, ,(028) 35261472                                ",http://www.dicenergy.vn,,,,,,,,,,,,,
16,Công Ty TNHH Danh Thành Đạt,"Số 277 Đường Lạc Long Quân , P. Trần Quang Diệu , TP. Quy Nhơn, ",Bình Định,Khoáng Sản,(0256) 3941279,,,,,,"Hơn 2 năm chưa xác minh được,Số 277 Đường Lạc Long Quân , P. Trần Quang Diệu , TP. Quy Nhơn, ,(0256) 3941279                                 ",https://www.yellowpages.vn/lgs/1187689257/cong-ty-tnhh-danh-thanh-dat.html,,,,,,,,,,,,,
17,Công Ty Cổ Phần Tư Vấn Xây Dựng Mỏ & Công Nghiệp - Tập Đoàn Khoáng Sản Việt Nam,"565 Nguyễn Trãi, P. Thanh Xuân, Q. Thanh Xuân, ",Hà Nội,Khoáng sản - Khảo sát,(024) 38546307,kh-vimc@viettel.vn,,,,,"Hơn 2 năm chưa xác minh được,565 Nguyễn Trãi, P. Thanh Xuân, Q. Thanh Xuân, ,(024) 38546307                                ",https://www.yellowpages.vn/lgs/727671/cong-ty-co-phan-tu-van-xay-dung-mo---cong-nghiep-tap-doan-khoang-san-viet-nam.html,,,,,,,,,,,,,
18,Bột Đá Than Đá Veco - Công Ty TNHH Khoáng Sản Veco,"Số 71, Ngõ 150 Phố Kim Hoa, P. Phương Liên, Q. Đống Đa, ",Hà Nội,"Nhà sản xuất, Thương mại",859259969,info.vecomin@gmail.com,109526591,2021,"Toàn quốc, Nhập khẩu","
ISO 9001:2000","Đã xác minh: 16/7/2021   ,Số 71, Ngõ 150 Phố Kim Hoa, P. Phương Liên, Q. Đống Đa, ,0859259969                              , H. Yên Bình, Yên Bái.",http://vecomin.vn,,,,,,,,,,,,,
19,Ningxia Panson Coal and Carbon Co.LTD,"Tòa Nhà CBD Insurance, Đường Shuangzi, Jinfeng Area, TP. Yinchuan, TT. Ningxia ",,Nhà sản xuất,+86 51162367,alyssa@nxpanson.com,,1992,,,"Đã xác minh: 19/11/2019  ,Tòa Nhà CBD Insurance, Đường Shuangzi, Jinfeng Area, TP. Yinchuan, TT. Ningxia ,+86 51162367                            ",http://nxpansons.com,,,,,,,,,,,,,
20,Công Ty TNHH SX TM DV Silica,"Số 45, Tổ 3, ấp 7, Xã Bình Mỹ, Huyện Củ Chi ",Tp. Hồ Chí Minh (TPHCM),Nhà sản xuất,932196714,caolanhsieumin1@gmail.com,316864133,2021,,,"Đã xác minh: 21/9/2022   ,Số 45, Tổ 3, ấp 7, Xã Bình Mỹ, Huyện Củ Chi ,0932196714                              ",http://khsansilica.com,,,,,,,,,,,,,
21,Công Ty CP Tập Đoàn CBC,"199/8 Đường Đặng Văn Bi, Phường Trường Thọ, Thành Phố Thủ Đức, ",Tp. Hồ Chí Minh (TPHCM),"Nhà sản xuất, Dịch vụ",925226228,tapdoancbc22@gmail.com,317393695,2020,Toàn quốc,,"Đã xác minh: 26/7/2022   ,199/8 Đường Đặng Văn Bi, Phường Trường Thọ, Thành Phố Thủ Đức, ,0925226228                              ",http://cbcgroup.com,,,,,,,,,,,,,
22,Công Ty Cổ Phần Đầu Tư Xuất Nhập Khẩu Nam Hoa,"66 Trần Thái Tông, P. Dịch Vọng, Q. Cầu Giấy, Hà Nội ",Hà Nội,Khoáng Sản,(024) 35149888,info@noithathoaxinh.vn,,,,,"Hơn 2 năm chưa xác minh được,66 Trần Thái Tông, P. Dịch Vọng, Q. Cầu Giấy, Hà Nội ,(024) 35149888                                ,Showroom : 2B Phạm Ngọc Thạch, Q. Đống Đa, Hà Nội. ,Điện thoại: (04) 35747888 , Fax: (04) 35747888",http://www.namhoa.vn,,,,,,,,,,,,,
23,Công Ty Cổ Phần Khoáng Sản Bình Định,"11 Hà Huy Tập, Tp. Quy Nhơn, ",Bình Định,Khoáng Sản,(0256) 3822204,bimicovn@dng.vnn.vn,,,,,"Hơn 2 năm chưa xác minh được,11 Hà Huy Tập, Tp. Quy Nhơn, ,(0256) 3822204                                 ",https://www.yellowpages.vn/lgs/690489/cong-ty-co-phan-khoang-san-binh-dinh.html,,,,,,,,,,,,,
24,Hà Nội - Công Ty Cổ Phần Tư Vấn Xây Dựng Thủy Lợi & Phát Triển Nông Thôn Hà Nội,"18 Hàng Khoai, Q. Hoàn Kiếm, ",Hà Nội,Khoáng Sản,(024) 38255244,,,,,,"Hơn 2 năm chưa xác minh được,18 Hàng Khoai, Q. Hoàn Kiếm, ,(024) 38255244                                ",https://www.yellowpages.vn/lgs/725340/ha-noi-cong-ty-co-phan-tu-van-xay-dung-thuy-loi---phat-trien-nong-thon-ha-noi.html,,,,,,,,,,,,,
25,Công Ty CP Khoáng Sản KMB Miền Bắc,"Nhà máy khoáng sản KMB Miền Bắc, KCN Thi Sơn, Kim Bảng, ",Hà Nam,Nhà sản xuất,973035533,lienhe@khoangsanmienbac.com,107853917,2017,Toàn quốc,,"Đã xác minh: 30/8/2021   ,Nhà máy khoáng sản KMB Miền Bắc, KCN Thi Sơn, Kim Bảng, ,0973035533                              ",http://khoangsanmienbac.com,,,,,,,,,,,,,
26,Công Ty CP Khoáng Sản KMB Miền Bắc,"Số 12 ngõ 11/45 Đường Yên Nội, P. Liên Mạc, Q. Bắc Từ Liêm",Hà Nội,Nhà sản xuất,964114600,lienhe@khoangsanmienbac.com,107853917,2017,"Toàn quốc, Quốc tế",,Đã xác minh : 27/8/2021,http://khoangsanmienbac.com/,,,,,,,,,,,,,
27,Công Ty TNHH Hóa Chất Và Khoáng Sản Việt World,"Lầu 6, Tòa Nhà NGE, Số 292 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, ",Tp. Hồ Chí Minh (TPHCM),"Nhà sản xuất, Nhà phân phối",(028) 35122108,ctyvietworld@gmail.com,312376047,2017,Toàn quốc,,"Đã xác minh: 20/4/2019   ,Lầu 6, Tòa Nhà NGE, Số 292 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, ,(028) 35122108                                ",http://vichemico.com,,,,,,,,,,,,,
28,Bột Đá Tân Long - Công Ty Cổ Phần Tân Long,"Số 78A Đường Nguyễn Du, Phường Bến Thủy, Thành Phố Vinh, ",Nghệ An,Nhà sản xuất,"(0238) 38555286, Hotline: 0862 168 656         ",tanlong447@gmail.com,2900326618,1993,"Toàn quốc, Quốc tế",,"Đã xác minh: 6/5/2021    ,Số 78A Đường Nguyễn Du, Phường Bến Thủy, Thành Phố Vinh, ,(0238) 38555286, Hotline: 0862 168 656         ,",http://vietnamtl.com,,,,,,,,,,,,,
29,Công Ty Cổ Phần Phát Triển Công Nghiệp,"X. Cam Thanh, Tp. Cẩm Phả, ",Quảng Ninh,Khoáng Sản,(0203) 3713686,,,,,,"Hơn 2 năm chưa xác minh được,X. Cam Thanh, Tp. Cẩm Phả, ,(0203) 3713686                                 ",https://www.yellowpages.vn/lgs/1295577/cong-ty-co-phan-phat-trien-cong-nghiep.html,,,,,,,,,,,,,
30,Công Ty Cổ Phần Xuất Nhập Khẩu Khoáng Sản,"6 Phạm Ngũ Lão, Q. Hoàn Kiếm, ",Hà Nội,Khoáng Sản,(024) 38260673,,,,,,"Hơn 2 năm chưa xác minh được,6 Phạm Ngũ Lão, Q. Hoàn Kiếm, ,(024) 38260673                                ",https://www.yellowpages.vn/lgs/730107/cong-ty-co-phan-xuat-nhap-khau-khoang-san.html,,,,,,,,,,,,,
31,Công Ty Cổ Phần Đầu Tư  Thương Mại Khoáng Sản Sóc Sơn,"Tổ 8,TT. Sóc Sơn, H. Sóc Sơn, ",Hà Nội,Khoáng Sản,(024) 38843473,,,,,,"Hơn 2 năm chưa xác minh được,Tổ 8,TT. Sóc Sơn, H. Sóc Sơn, ,(024) 38843473                                ",https://www.yellowpages.vn/lgs/734595/cong-ty-co-phan-dau-tu--thuong-mai-khoang-san-soc-son.html,,,,,,,,,,,,,
32,Vôi Việt - Công Ty TNHH Khoáng Sản Vôi Việt,"KCN Phú Mỹ 1, Thị Trấn Phú Mỹ, Huyện Tân Thành, ",Bà Rịa-Vũng Tàu,"Nhà sản xuất, Thương mại","0945 744 574,   0909 322 899            ",tanthanhmy.infor@gmail.com,,2006,Miền Nam,"HACCP, ISO 9001:2000","Đã xác minh: 30/6/2022   ,KCN Phú Mỹ 1, Thị Trấn Phú Mỹ, Huyện Tân Thành, ,0945 744 574,   0909 322 899            ",https://www.yellowpages.vn/lgs/1187809332/voi-viet-cong-ty-tnhh-khoang-san-voi-viet.html,,,,,,,,,,,,,
33,Salvino Minerals LLP,"Số 99/p1/p2, Đường Morbi Maliya, At. Khirai, Ta. Maliya, Morbi, ",Bang Gujarat,Nhà sản xuất,96240 52004,salvinomineralsllp@gmail.com,ADNFS0202N,,"Việt Nam, Châu Á",,"Đã xác minh: 8/4/2019    ,Số 99/p1/p2, Đường Morbi Maliya, At. Khirai, Ta. Maliya, Morbi, ,96240 52004                             ",https://www.yellowpages.vn/lgs/1187867154/salvino-minerals-llp.html,,,,,,,,,,,,,
34,Công Ty TNHH SX TM XNK Kiến Dũng,"QL13, Ấp 3, TT. Chơn Thành, H. Chơn Thành, ",Bình Phước,Khoáng Sản,"(028) 38326063, 0969349936                    ",cskh@kiendung.com.vn,3801231741,2020,,,"Đã xác minh: 27/9/2022   ,QL13, Ấp 3, TT. Chơn Thành, H. Chơn Thành, ,(028) 38326063, 0969349936                    ,: 339 Nguyễn Thượng Hiền, P. 11, Q. 10, TPHCM",http://kiendung.com.vn,,,,,,,,,,,,,
35,Công Ty TNHH Sản Xuất Ngọn Lửa Việt,"Số 2 Nguyễn Sỹ Sách, P.15, Q.Tân Bình",Tp. Hồ Chí Minh (TPHCM),Nhà sản xuất,(028) 38625021,ngonluaviet.ltd@gmail.com ,31799846,2012,Toàn quốc,TCVN,Hơn 2 năm chưa xác minh được (028) 38625021,https://www.yellowpages.vn/lgs/1187740032/cong-ty-tnhh-san-xuat-ngon-lua-viet.html,,,,,,,,,,,,,
36,Thành Đạt - Công Ty TNHH Thành Đạt,"11 Đường 23 Tháng 10, Tp. Nha Trang, ",Khánh Hòa,Khoáng Sản,(0258) 3822441,ctthanhdat@dng.vnn.vn,,,,,"Hơn 2 năm chưa xác minh được,11 Đường 23 Tháng 10, Tp. Nha Trang, ,(0258) 3822441                                 ",https://www.yellowpages.vn/lgs/991398/thanh-dat-cong-ty-tnhh-thanh-dat.html,,,,,,,,,,,,,
37,Minh Tiến - Chi Nhánh Công Ty Cổ Phần Khoáng Sản Minh Tiến,"ấp Thanh Long, TT. Đất Đỏ,H. Đất Đỏ, ",Bà Rịa-Vũng Tàu,Khoáng Sản,(0254) 3866184,,,,,,"Hơn 2 năm chưa xác minh được,ấp Thanh Long, TT. Đất Đỏ,H. Đất Đỏ, ,(0254) 3866184                                 ",https://www.yellowpages.vn/lgs/1136751/minh-tien-chi-nhanh-cong-ty-co-phan-khoang-san-minh-tien.html,,,,,,,,,,,,,
38,Công ty Cổ phần Thương mại Quốc tế Đông Phương Việt Nam,"VPGD: Số 50 Tân Bình, Xuân Mai, Chương Mỹ",Hà Nội,"Nhà sản xuất, Thương mại",915577668,sontinh852@gmail.com,101678419,2008,"Toàn quốc, Quốc tế",,"Đã xác minh: 14/5/2020   ,Số 50 Tân Bình, Xuân Mai, Chương Mỹ, ,0915577668                              ",https://www.yellowpages.vn/lgs/1299411/cong-ty-co-phan-thuong-mai-quoc-te-dong-phuong-viet-nam.html,,,,,,,,,,,,,
39,Công ty TNHH Tài nguyên BYSO,"Số 20, đường Anson, #19-02, ",Downtown Core,Thương mại,(0065) 69892129,,,2013,,,"Đã xác minh: 12/10/2022  ,Số 20, đường Anson, #19-02, ,(0065) 69892129                                ",https://www.yellowpages.vn/lgs/1187965944/cong-ty-tnhh-tai-nguyen-byso.html,,,,,,,,,,,,,
40,Nam Đại Việt - Công Ty TNHH Nam Đại Việt,"I1/5 Nguyễn Ái Quốc, KP. 6, P. Trung Dũng, Tp. Biên Hòa, ",Đồng Nai,Dịch vụ,(0251) 8820589,namdaivietgroup@gmail.com,3601051999,2008,Toàn quốc,,"Đã xác minh: 17/9/2019   ,I1/5 Nguyễn Ái Quốc, KP. 6, P. Trung Dũng, Tp. Biên Hòa, ,(0251) 8820589                                 ",http://namdaivietgroup.com,,,,,,,,,,,,,
41,Công Ty Vôi Đá Lương Sơn - Hòa Bình,"TT. Lương Sơn, H. Lương Sơn, ",Hòa Bình,Khoáng Sản,(0218) 3824120,,,,,,"Hơn 2 năm chưa xác minh được,TT. Lương Sơn, H. Lương Sơn, ,(0218) 3824120                                 ",https://www.yellowpages.vn/lgs/726429/cong-ty-voi-da-luong-son-hoa-binh.html,,,,,,,,,,,,,
42,Bình Dương - Công Ty Cổ Phần Lâm Sản & Xuất Nhập Khẩu Tổng Hợp Bình Dương,"612 Đại Lộ Bình Dương, P. Hiệp Thành, TP. Thủ Dầu Một, ",Bình Dương,Khoáng Sản,(0274) 3822612,genimex@genimex.com.vn,,,,,"Hơn 2 năm chưa xác minh được,612 Đại Lộ Bình Dương, P. Hiệp Thành, TP. Thủ Dầu Một, ,(0274) 3822612                                 ",http://www.genimex.com.vn,,,,,,,,,,,,,
