Month,Tỷ giá cuối kỳ (VND/USD),Tỷ giá trung bình (VND/USD)
2015-01,21458,21436.8
2015-02,21458,21458
2015-03,21458,21458
2015-04,21458,21458
2015-05,21673,21640.75
2015-06,21673,21673
2015-07,21673,21673
2015-08,21890,21764.81
2015-09,21890,21774.63
2015-10,21890,21890
2015-11,21890,21890
2015-12,21890,21890
2016-01,21881,21904.83
2016-02,21914,21888.81
2016-03,21857,21874.78
2016-04,21842,21853.28
2016-05,21939,21888.08
2016-06,21873,21881.69
2016-07,21862,21871.81
2016-08,21921,21860.85
2016-09,21949,21941.08
2016-10,22039,22003
2016-11,22118,22078.27
2016-12,22159,22138.19
2017-01,22202,22172.14
2017-02,22232,22221.78
2017-03,22276,22254.19
2017-04,22350,22324.57
2017-05,22396,22373.19
2017-06,22431,22415.5
2017-07,22432,22438.71
2017-08,22443,22442.19
2017-09,22470,22445.58
2017-10,22471,22464.85
2017-11,22433,22451.04
2017-12,22425,22437.3
2018-01,22441,22410.65
2018-02,22463,22439.05
2018-03,22458,22454.44
2018-04,22539,22488.3
2018-05,22595,22575.04
2018-06,22650,22597.31
2018-07,22669,22647.5
2018-08,22678,22679.26
2018-09,22714,22674.96
2018-10,22726,22719.81
2018-11,22750,22730.62
2018-12,22825,22783.04
2019-01,22868,22850.7
2019-02,22915,22902.78
2019-03,22980,22952.73
2019-04,23028,22996.75
2019-05,23065,23054.54
2019-06,23066,23059.68
2019-07,23073,23068.81
2019-08,23133,23114.56
2019-09,23161,23142.04
2019-10,23145,23154.63
2019-11,23162,23143.46
2019-12,23155,23162.22
2020-01,23196,23164.3
2020-02,23224,23218.2
2020-03,23235,23223.42
2020-04,23257,23241.5
2020-05,23261,23256.52
2020-06,23229,23235.92
2020-07,23213,23222.56
2020-08,23200,23209
2020-09,23215,23206.84
2020-10,23201,23197.22
2020-11,23155,23178.96
2020-12,23131,23146.41
2021-01,23160,23137.16
2021-02,23130,23138.61
2021-03,23244,23195.96
2021-04,23158,23203.13
2021-05,23135,23159.29
2021-06,23178,23140.92
2021-07,23180,23197.93
2021-08,23130,23159.54
2021-09,23162,23125.38
2021-10,23131,23154.27
2021-11,23139,23126.58
2021-12,23145,23178.78
2022-01,23099,23102.04
2022-02,23140,23115
2022-03,23100,23152.89
2022-04,23140,23112.92
2022-05,23057,23129.44
2022-06,23110,23082.23
2022-07,23176,23187
2022-08,23219,23190.41
2022-09,23400,23295.43
2022-10,23695,23564.38
2022-11,23665,23679.35
2022-12,23612,23643.89
2023-01,23609,23604.78
2023-02,23644,23629.75
2023-03,23600,23621.81
2023-04,23639,23615.46
2023-05,23714,23664.5
2023-06,23800,23725.73
2023-07,23758,23763.15
2023-08,23977,23882.15
2023-09,24089,24035
2023-10,24087,24084.93
2023-11,23891,23985.35
2023-12,23866,23916.54
2024-01,23991,23983.08
2024-02,24002,23976.09
2024-03,24003,23994.88
2024-04,24246,24140.24
2024-05,24261,24216.46
2024-06,24260,24252.8
2024-07,24255,24251.56
2024-08,24224,24245.85
2024-09,24093,24163.54
2024-10,24243,24192.52
2024-11,24251,24276.42
2024-12,24335,24285.19
