Năm,GDP (USD),GDP đầu người (USD),Tăng trưởng GDP (%),Lạm phát CPI (%),Lãi suất ngân hàng (%),Tỷ lệ thất nghiệp (%),Xuất khẩu (USD),Nhập khẩu (USD),Cán cân vãng lai (USD),Chi tiêu chính phủ (% GDP),Thuế trên GDP (%),Tiêu dùng cá nhân (% GDP),Dân số,Tuổi thọ trung bình,Tăng trưởng dân số (%),FDI vào (USD),Nợ công (% GDP),Kiều hối (USD),Tổng đầu tư (% GDP)
2023,429716969043.572,4282.08851724506,5.0464307361882,3.25289282667662,7.27803256328136,1.645,374613210401.71,340107543990.226,25833000000.0,,,54.5845661163486,100352192,,0.671429250652247,18500000000.0,,14000000000.0,31.9617513892211
2022,410324028883.325,4116.38576094153,8.12351446767343,3.15650749963129,3.80782672842234,1.523,384931694296.977,369200955399.323,1402000000.0,,,54.7858155582141,99680655,74.58,0.750756665157789,17900000000.0,,13200000000.0,32.5680951436621
2021,366474752771.009,3704.1935590038,2.55372852648131,1.83471554810444,4.79218047283212,2.385,343937314545.795,340182482326.143,-4628000000.0,,,55.5190265024293,98935098,73.618,0.868883560805873,15660000000.0,,12722088864.3884,32.89560233669
2020,346615738537.796,3534.03953482647,2.86541320912272,3.22093436652514,6.09064299683403,2.103,292479899128.742,273355953899.643,15060000000.0,,,55.9670825232793,98079191,75.378,0.927434295850725,15800000000.0,,10714571746.2681,31.9156883938063
2019,334365270496.667,3440.90025375434,7.35926270105006,2.7958236745225,5.15925265729481,1.681,284737397482.99,265976296626.188,13101247000.0,,,56.828070112744,97173776,74.093,0.968366698803348,16120000000.0,,10885224766.1177,31.9799606565797
2018,310106478394.659,3222.31003125366,7.46500685572751,3.53962805942641,3.61415504341763,1.161,261802606599.094,248830928922.632,5899353000.00003,,,57.0768901085836,96237319,73.976,1.10791395242199,15500000000.0,,10191360839.2569,32.0195029024333
2017,281353605986.903,2956.10992127753,6.94019037359206,3.52025688811617,2.59151415896465,1.874,230041803530.193,222881466764.772,-1649000000.0,,,57.9979332096666,95176977,73.963,1.24420473643635,14100000000.0,,9405606824.78479,32.3053009200983
2016,257096001177.982,2735.0604380416,6.69000892660424,2.66824816969082,5.04860292807267,1.848,190526869544.715,183315160786.748,625000000.0,,,58.7370042916239,94000117,73.938,1.25988366517733,12600000000.0,,8556092341.35791,31.724539095105
2015,239258328381.741,2577.56885340113,6.98715430598611,0.631200905175754,8.98829687567201,1.848,174473996313.378,172245363653.847,-2041000000.0,,,59.3326292973603,92823254,73.876,1.23975403093124,11800000000.0,,8050696859.49578,32.1089158178215
2014,233451469642.519,2546.38464459903,6.42224312118567,4.08455446637617,4.78973116512498,1.256,162478898406.019,153638953979.784,9359000000.0,,,57.0171078816492,91679578,73.855,1.21423463554626,9200000000.0,,9794000000.0,30.2890267860995
2013,213708811665.34,2359.51736472828,5.55351081026072,6.59267475899192,6.08970870368918,1.316,142758439316.462,136871750776.669,7745000000.0,,,56.883946844524,90573104,73.775,1.1802975549343,8900000000.0,,9429000000.0,30.2129034609598
2012,195590661129.249,2185.11767654291,5.5045447041189,9.09470339557192,4.02832802666538,1.027,124149069364.151,116865795250.0,9429000000.0,,,55.7036484155417,89510356,73.704,1.1709874078049,8368000000.0,,7912000000.0,30.5592897696576
2011,172595049183.925,1950.92504174913,6.41316889681683,18.6777322770707,-3.67326480415152,0.999,105593919857.801,110599636247.243,236000000.0,,,56.4844985895479,88468314,73.692,1.15183406119192,7430000000.0,,8326000000.0,32.371143442921
2010,147201173196.979,1683.16182443979,6.42324482239482,9.20746648778413,-20.4970819101768,1.114,79747480852.5913,88029012388.652,-4276000000.0,,,58.4345868510908,87455152,73.513,1.14440259659988,8000000000.0,,7569000000.0,37.0990761715171
2009,106014659565.214,1226.16976051536,5.39789754014181,6.71698269988629,3.62788141186044,1.737,66374595300.6651,76433848844.8916,-6608000000.0,,,68.4935845527372,86460018,73.498,1.49648723830416,7600000000.0,,6018000000.0,37.1625554335215
2008,99130304099.1274,1163.83195772873,5.66177120891362,23.1154483474477,-5.6163352886234,1.889,69724976613.6576,83250410219.4482,-10823000000.0,,,70.8742381873794,85175788,73.411,1.82745521345807,9579000000.0,,6804000000.0,36.4931217965814
2007,77414425532.2452,925.640338348717,7.12950448605439,8.34444889773837,1.41363787147666,2.026,54591007520.8979,65095862341.9564,-6953100000.0,,,68.1073238105856,83633375,73.436,1.76779845772365,6700000000.0,,6180000000.0,39.5662708970146
2006,66371664817.0436,807.756645117054,6.97795481056711,7.41801715108463,2.40151725937125,2.046,44944777029.2449,46856276474.358,-163741800.0,,,65.0882423591584,82167897,73.319,1.32258336381927,2400000000.0,,3800000000.0,34.5366510764767
2005,57633255738.1992,710.746759994861,7.54724772895918,8.28457243128677,-6.55288740331808,2.078,36712091514.5168,38623129994.4064,-560189000.00001,,,65.4886592027799,81088313,73.271,0.928402391177897,1954000000.0,,3150000000.0,33.7574028912441
2004,45427854693.2554,565.452284586212,7.53641060890386,7.75494748709601,1.18892233628232,2.14,27134530700.4954,33292010669.3764,-957000000.0,,,65.0777917733225,80338971,73.135,0.969589431962946,1610000000.0,,2310000000.0,35.46533166878
