Series Name,Series Code,Country Name,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Viet Nam,VNM,..,..,..,..,..,..,..,..,..,..,34363462779.8136,35671286575.7778,36666262766.8568,37980187158.0424,39930474201.495,42871159122.6828,45057981854.8071,47743817832.1663,51871770980.839,56059239339.3434,61014304826.6384,66835362482.4846,73077797034.1306,79035160538.4626,83591107164.2471,87581401291.5701,93525828108.839,99317782863.096,105595482130.707,112880581486.059,121387725604.567,130549157968.493,139658819217.11,149615800998.365,158086705343.275,166620063722.291,177322478338.404,188694468366.268,199081239731.688,210137237901.389,223632762207.56,239258328381.741,255264731908.124,272980590259.187,293358610036.841,314947640805.601,323972192107.065,332245562394.77,359235578724.112,377364153384.169
GDP (constant 2015 US$),NY.GDP.MKTP.KD,United States,USA,5910347106000,5898194298000,6215991006000,6503430024000,6863408304000,7080703003000,7062521476000,7241747173000,7111177473000,7437138985000,7975324064000,8307861210000,8595533786000,8892477646000,9263914872000,9604107859000,9785238028000,9774639354000,10118950750000,10397403618000,10816317373000,11106673921000,11525703481000,12038266261000,12577957790000,13180243872000,13717679619000,13848757308000,14084248131000,14477988212000,15035068144000,15558822251000,15992063824000,16312522122000,16331051067000,15910281498000,16339094225000,16594704135000,16974575729000,17334068403000,17771549056000,18295019000000,18627887993000,19085691122935.2,19651869117582.5,20159639089698.1,19723580221938.2,20917853444668.3,21443388432051,22062578283266.8
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1197410924008.05,1161488648465.81,1102869019642.57,942610308779.562,860899753889.459,752686755591.282,721498966070.726,694406178897.725,704127280749.068,666808805066.777,709483999746.068,780432873752.842,820235350096.64,858786345187.109,921477339133.556,987823227180.876,1051043572407.72,1137229862730.35,1233894148246.74,1298056264706.47,1196807955075.78,1250664313044.7,1304443243520.47,1356935163515.02,1380755103919.45,1390921151162.46,1363482182197.71,1366123111808.03,1391065651845.68,1430116278515.49,1461551317106.21,1422766794794.99,1502645054025.01,1471544636157.84,1524520243059.52
GDP (constant 2015 US$),NY.GDP.MKTP.KD,China,CHN,284345533440.415,309140463949.254,304286958660.14,327321481434.924,364393840371.876,392056159908.458,422770408019.505,444385648943.338,484456409125.223,536633345444.084,618156214897.21,701178782692.455,763934015643.453,852989071904.214,948716580689.189,988622772158.878,1027379269906.5,1122543213961.28,1282219705619.77,1460239618602.01,1650608234052.85,1831415106374.65,2013138309684.44,2199087464269.01,2371626806476.09,2553332587278.43,2770112908903.6,3001022138034.24,3275124420038.43,3603882407613.85,3968365429214.8,4420544471398.72,4982879973774.79,5691986693310.73,6241302053216.75,6827904909100.22,7554112071638.2,8275592638197,8926363432826.3,9619598215288.48,10333926843443.8,11061572618578.7,11819153423353.8,12640253743744.4,13493442283300.8,14296369668065.2,14616413683019.5,15851276922873.1,16318995784492.7,17175670911003.5
GDP (constant 2015 US$),NY.GDP.MKTP.KD,India,IND,212913957231.546,232395396987.391,236260373289.536,253400507185.485,267876092471.368,253844253326.143,270942749191.358,287216122417.714,297198988654.362,318861504646.348,331044366862.92,348438428459.16,365081813582.139,379558605848.711,416101684459.118,440848680243.36,465242841648.51,470159674247.956,495935689518.468,519496484311.542,554089360749.644,596058814154.216,641058406947.109,667020123972.214,708271422053.216,770923380745.097,800534479623.61,839151992864.812,871073127580.09,939542798342.002,1013982178697.24,1094324353140.52,1182534912713.8,1273126725479.64,1312424303406.43,1415605643155.69,1535897931732.14,1616399198833.92,1704596203504.32,1813453530766.63,1947834564908.95,2103588360044.94,2277267041550.36,2432016068497.75,2588974770244.57,2689205295885.31,2533830417086.54,2779348258938.77,2973542414790.52,3215973434046.11
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Euro area,EMU,5398796710929.7,5355287986618.05,5624953746529.2,5799638726971.4,5979487447306,6212846829753.85,6348411409999.6,6383038662707.78,6427015573366.66,6516701975920.76,6673397300275.63,6827202947845.85,6999206725507.27,7176477287709.36,7486387332147.63,7794165537388.84,8074057958810.69,8264846663029.75,8357590724327.68,8300535198143.85,8509336327958.66,8719497561287.31,8871483760275.25,9116714437876.1,9390292581847.4,9672972584417.28,10050398133574.7,10270033710725.8,10367290674625.9,10445394784084.3,10686912184842.3,10876275576480.3,11237542120581.1,11575961303980,11624175362231.8,11103080740375,11338614919727.6,11540240749125.6,11434319455839.1,11414909466215.9,11580654068039.4,11828599572765.3,12044172080940.9,12357018842215.9,12575550971089.4,12780330570620.4,12007290120801.2,12771092524492.2,13223961016884.5,13277044442520.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
