Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Albania,ALB,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Algeria,DZA,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Angola,AGO,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Argentina,ARG,5.85700119251026,4.80954448261261,5.32936562028847,5.35915768753725,9.9403,7.5732,8.8368,6.2739,15.0349,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Armenia,ARM,..,..,..,..,0.0426,0.15,..,1.2834,0.9656,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Australia,AUS,54.5884424089317,63.233662300658,59.7842837827179,53.6442892676579,61.294484,56.0787081,71.265573,56.596079,64.8795975,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Austria,AUT,29.6716211216554,33.0278463495497,32.8323154981445,26.2679759573687,33.7596,25.1543,30.1171,21.6376,30.3899,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Azerbaijan,AZE,..,..,..,..,..,0.0911,1.2284,0.4568,0.1557,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Bahrain,BHR,3.25274283075632,1.52739562008761,1.80304727645687,2.5937269396241,4.4363,2.8262,2.4097,1.9489,1.4241,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Bangladesh,BGD,23.0936498061364,20.7869269324238,21.7565538214112,30.7535674397691,20.858023,20.3781142,16.619752,38.010439,53.1284306,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Barbados,BRB,..,..,..,..,0.3168,0.4058,0.2251,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Belarus,BLR,4.3597,1.5805,1.4838,..,..,..,..,0.2982,0.3056,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Belgium,BEL,28.3330126594545,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Belize,BLZ,..,..,..,..,..,..,..,..,..,..
