Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Argentina,ARG,0.669273860698598,0.453942537841681,0.782151174329976,1.02431430345001,0.87099785403387,0.666286721092952,0.73881273489992,0.53835046156679,1.25802068910561,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Armenia,ARM,..,..,..,..,0.00016054017666375,0.000587402110041417,..,0.00266591567026057,0.012504159584835,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Australia,AUS,47.9127159760519,55.5493491592628,65.8727880936412,63.577454768141,54.2108144550866,59.8988829872342,92.302863874898,68.61760745049,64.4311841005313,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Austria,AUT,6.54859553162761,8.36076308666792,6.74456165616261,9.63711122461815,8.71263424088916,7.55782534559071,9.15741934517024,7.33561040840939,7.92628235992004,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Azerbaijan,AZE,..,..,..,..,..,0.00411008080961021,0.0412714028060806,0.0132967537595276,0.00289312673402865,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Bahrain,BHR,2.06427335104215,0.904090357485142,0.982491479510514,1.51324245512699,2.45119925579194,1.87834350341925,1.65460146419838,1.36899384732403,0.923256891161776,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Bangladesh,BGD,9.14439229780221,6.97541713447116,5.77655499191178,9.02285066037398,5.02302456565012,3.73738238793184,3.98956688789061,9.92929501863064,4.95278863623151,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Barbados,BRB,0.162132645861097,..,..,..,0.199292486804688,0.238239700581588,0.121121958115621,0.00417042474856675,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Belarus,BLR,0.031796863450775,0.0149499895006117,0.0385134840177358,0.0401825099103529,0.0236543767168084,0.0232416883220022,0.00985795496289766,0.0121136013885198,0.0103422316391471,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Belgium,BEL,19.9349940499699,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Bermuda,BMU,0.369037173128481,0.230068460018505,3.14453331354564,0.548001516594897,0.680184838673026,0.589751551330814,0.352685952543194,0.310707027289931,0.161727546570124,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Botswana,BWA,..,..,..,..,0.9302520462197,0.954148489771857,0.42211745448564,0.819211975137483,0.438835648955369,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Brazil,BRA,26.2280086004285,23.3034582936999,31.2459149922376,31.1363196865386,40.1263763339537,55.4493033759648,93.055293746432,84.3819151075546,66.1992484512925,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Bulgaria,BGR,..,..,..,..,0.317064905945032,0.248310816606431,0.300621544193498,0.342285018392936,0.394835326505311,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Burkina Faso,BFA,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Canada,CAN,74.4172189096838,70.4187935577419,75.482371926819,77.6193571040358,79.6169731403107,82.1554373025011,118.021314359756,109.089676072261,104.060418036039,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Cayman Islands,CYM,..,0.0106198436735766,..,..,0.00795634362827559,0.058567158431482,0.0229870504232163,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..
"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
