Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Afghanistan,AFG,6.88210294277301,7.58538233129798,9.50265278288094,9.89845089688421,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Albania,ALB,18.3019361358269,18.5157898553099,17.590229809729,18.8874860606848,18.2769508764808,17.9310014480832,16.8955410660668,18.0962068478767,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Angola,AGO,13.5426301621262,11.0020190179303,9.73251248352788,9.223777502108,9.64477850341357,10.090385804431,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Argentina,ARG,12.6109666067191,12.3365069418291,12.0972836411962,10.939623860491,9.99239008384335,10.5943975145081,10.8658963820494,11.5000669715845,11.1228688536464,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Armenia,ARM,21.5991745525223,20.931220827141,21.2773752756378,20.7806533587524,20.8701039031814,22.2851709900772,21.8604192761626,22.0010047423132,21.8271552378304,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Australia,AUS,21.897878678174,21.8740706763168,22.2755221320286,22.1103686445861,23.2084449619852,23.4084400141939,22.5909248948989,23.0612679317794,23.6279512463691,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Austria,AUT,26.660586292987,26.9975690733322,25.5579876153331,25.5652907876045,25.5527873303684,25.6759594989997,24.4673982313621,25.7876369896789,26.1915491158858,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Azerbaijan,AZE,14.2125356482603,15.6031629275469,14.5555165725558,13.1640455061148,12.9712717874444,14.2188526451777,15.1855725074093,13.4213202980155,15.4476897158899,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,"Bahamas, The",BHS,11.4566842779818,12.8817411739305,14.2974696086027,15.0446214290618,14.5505952852772,16.8920114933698,18.6606110240807,14.1763815936458,16.4295483313541,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bahrain,BHR,0.792383936021881,0.990043144194505,0.808517153690866,0.936278227051092,1.09260242365011,2.87818871935823,2.82317547849899,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bangladesh,BGD,8.6353777373447,8.49834882820801,7.31691184755758,6.99714263243688,7.73177216647423,7.63863895493657,7.00153674405437,7.64236301017901,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Barbados,BRB,20.5823001989554,22.6401414394538,24.9116801229993,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Belarus,BLR,12.6977670733069,14.1730645144923,13.7882356123814,13.0190302331959,14.67253298414,13.3015160119125,12.0229071990569,12.8250049647951,11.2335456198223,12.8108941829095
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Belgium,BEL,26.0083569098349,24.4227242755175,22.9285982517678,23.5351388069477,24.0377739058673,22.5978209383393,21.8615640422477,23.2260892385962,22.7079147026069,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Belize,BLZ,19.8624877918859,19.7061148432548,20.638172688376,21.3441343070203,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bhutan,BTN,12.5052991173928,12.1453454203104,11.8864300689107,11.8591944966758,15.8040236428558,14.4975527182403,12.2846363790473,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bosnia and Herzegovina,BIH,19.777901772831,19.7000100398431,19.7137455722415,19.9876498649,20.1410225354777,19.8265971899192,18.7506447293439,19.0981491977883,19.0910598727413,19.1124219368621
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Botswana,BWA,27.0928299660417,26.3110988512498,21.6300553227647,23.9334963141963,21.740494569157,21.0985509979513,22.2746462234553,22.2295140207709,19.6487479969996,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Brazil,BRA,13.4900745188201,13.6296293654077,13.7104309816062,13.605228515206,13.9401079935106,13.7376948362641,12.7193878571982,14.1366751318622,14.7258479184963,14.1546933435227
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Bulgaria,BGR,19.5666207727537,20.0778036414442,20.3330299615082,20.523224655166,19.9369805450372,20.5572127126498,20.1784055093694,20.5821478187492,21.7256158413796,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Burkina Faso,BFA,13.6638275123408,13.2802007024398,14.1391533049498,15.2607212259008,15.2924120845571,15.6406078633915,13.4315862665503,15.9388406647999,17.6730517423342,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Burundi,BDI,13.690026719648,13.1281548917256,13.8633859518928,14.3683824159336,..,15.0593943769868,15.787822766545,15.6362454762579,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cabo Verde,CPV,15.5325589020017,17.1355967789329,16.7252781324397,17.803638365855,18.9316063388254,18.2240332372127,18.3857032934311,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cambodia,KHM,11.0837884465344,10.8884929320759,11.1748765224685,11.9278366185806,12.6410723071222,14.5706459610935,13.2902084649733,11.9927698946663,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cameroon,CMR,12.285343811226,12.1109695914613,11.6520313878748,11.8759411884958,12.3469457091006,12.0282727602432,10.8705828088042,11.3415157249134,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Canada,CAN,11.8083790792206,12.3898109063213,12.496562633144,12.6120166809848,13.0576846693075,12.7416889014909,13.5033320933869,13.2198942999607,12.8260196517315,14.007586078129
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Central African Republic,CAF,4.09850069590061,5.44899138512974,6.80758893701064,7.08124424919758,8.63983071970915,8.31845804475991,8.70964482691346,8.20629229709995,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Chile,CHL,17.044501214415,17.5460829271472,17.4689644140042,17.5057946830766,18.3955244984111,17.7188527688584,16.1961693332108,19.6644047302073,21.2736151328078,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,China,CHN,9.67861882699669,9.37692044713406,9.12291556057604,9.41931765253305,9.05268573156305,8.49286376989869,8.09062621607631,7.96512804614377,7.70087321650666,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Colombia,COL,15.6997483720014,15.797262655066,14.3852129298513,14.8508184081791,14.6098424480272,14.90052462326,14.0452385553971,14.4463230965207,15.2778799254416,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,"Congo, Dem. Rep.",COD,8.63671684952941,9.10271198104293,7.95234699974678,6.59070535042188,7.29514885352042,6.37728987366072,6.42988209797017,8.39903438797131,11.4110225908099,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,"Congo, Rep.",COG,9.58092115614526,12.1951444175552,13.089464226841,10.1352630831832,6.82845231849733,7.1015493816633,8.32448488619369,6.50908825817085,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Costa Rica,CRI,13.0455889626388,13.2539942164455,13.5108543354557,13.244102554611,13.1821486851432,13.3742076106881,12.2767160363089,13.9991922763022,14.3541941094714,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cote d'Ivoire,CIV,10.1172575454966,11.1757327985719,11.4603709076892,11.7563706937153,11.6659927465613,11.6654955006353,11.7866882349007,12.3894127185479,11.9446623106188,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Croatia,HRV,20.3809990230477,21.4136482812976,21.9021345418353,22.0607670011612,21.807391854041,21.9730193882753,20.8739138501124,21.0708503083676,21.6471590161233,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Cyprus,CYP,24.7157220076717,24.0473874693333,23.5160580075036,23.819883399544,23.8334479788945,23.0773629030804,21.9436821137448,22.5524972018198,23.3342708138957,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Czechia,CZE,14.3234419623065,14.6856290224908,14.7706497791672,14.8067786190684,14.65729130846,14.524571696195,14.0731168065984,12.9358385035563,12.6419883935481,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Denmark,DNK,36.5169500582524,34.0243812165231,33.3946816991302,33.4512942002592,32.3756777797567,34.9447030967038,34.4469036949961,34.9564956233857,30.4228078468523,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Dominican Republic,DOM,13.3864470357334,12.8118479609538,12.9108685475088,13.030751059434,13.0249349887579,13.3027785951135,12.3898799024195,14.3774132098545,13.8202744402643,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Ecuador,ECU,14.0206757250712,16.3890534868359,14.5417706457609,13.6893043126773,14.2925484323985,13.40088971302,12.9414347272775,12.7055177467813,13.0383442764852,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,"Egypt, Arab Rep.",EGY,12.2201408450704,12.5192110970171,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,El Salvador,SLV,16.7087952019765,16.7526849094045,17.3547756189279,17.7537510645061,18.128923536318,18.0814504146774,18.3907750793602,19.6896754276569,21.0838627874902,20.606823550416
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Equatorial Guinea,GNQ,8.29890080820683,11.4567349338539,6.38440698934831,5.9818468716613,6.1689089093843,9.30194361410621,8.01129013446091,5.39509912593539,6.5959868257378,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Estonia,EST,20.4240684527521,21.249176319798,21.3418754796023,20.526260790219,20.5578446439719,20.7639678234766,20.3982233717451,21.4387352080223,20.7588850528932,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Eswatini,SWZ,30.0079563731118,27.6413430076505,24.0157573843752,26.4911899320085,24.2471643074188,24.6460210021434,27.2807643937709,24.7043503201481,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Ethiopia,ETH,8.81195539315636,8.35133826701354,8.08706553329928,7.6039292287321,7.519920423209,6.66173914844703,6.19630057347232,5.32472623532696,4.49688526014635,3.93142273811014
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Fiji,FJI,22.64375598764,23.6157055353519,23.5346235899026,24.6699420835466,23.993353427438,22.8928488605667,19.4522351415103,15.874209881547,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Finland,FIN,20.735954919725,20.5868919844713,20.9872193661139,20.8810623659359,20.9641879217783,20.7845948733429,20.0057532774645,20.8297824444051,21.200267544453,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,France,FRA,23.1187420576858,23.1664227008829,23.0886982243006,23.686678836775,24.2523572164764,24.5693746107445,24.6546119051733,23.9061221705351,24.4686087213583,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Gabon,GAB,15.1052288790252,12.8300685455322,11.4680637070479,11.0849703006568,10.2153363843183,11.4795282431197,12.4267778515741,9.49032554463837,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Georgia,GEO,22.0531492339701,22.3477480606692,23.0424315377671,23.0135462022254,22.0478688235553,22.8972770783896,21.1807829038543,21.4728937487649,22.9022783420258,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Germany,DEU,11.2604642281679,11.257498420106,11.0792181745935,11.1999003335225,11.2376680568792,11.2143835151405,10.4109728028015,11.0225053448154,11.0108628299,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Ghana,GHA,11.2521859793493,11.6905632099655,11.058329192094,11.5770312754335,12.244241507483,11.9969959057137,11.3404319629261,12.2446867253345,12.2975358062853,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Greece,GRC,25.3987231791514,25.3959107582621,27.0349616993722,26.7428191688464,27.1083919768284,25.9324359654947,24.9917156858479,25.5777359596935,27.6419741079546,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Guatemala,GTM,10.777815919786,10.3582515698864,10.4215148794664,10.6355739727646,10.5609499289313,10.4353913291649,9.95508996692912,11.5557790012848,11.8202035087706,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Guinea-Bissau,GNB,..,..,..,9.48153396321025,..,8.57461446775841,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Honduras,HND,16.5426382434487,17.3444720611594,..,..,..,..,15.066131552103,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Hungary,HUN,23.0184223257961,23.2351280113752,23.0674566943004,22.8812975214589,22.5345388023199,22.3640562554323,22.856020688758,21.4831535931987,23.4281197043669,..
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,Iceland,ISL,24.4919599819558,22.6894441179314,37.612849787134,23.9232132016805,22.9783610687234,21.9320134156456,22.4016137512027,21.3900980415332,22.4684816271722,23.43609824764
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,India,IND,9.98465419071312,10.5697090519718,11.1477384183764,11.3874439798131,12.0174277483166,..,..,..,6.71965605554655,..
