Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Afghanistan,AFG,0.114029084046039,0.107259554740813,8.44683008879668,0.873636283272927,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Albania,ALB,..,1.12963175849738E-05,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Angola,AGO,3.54665602436066E-06,3.70390237934282E-05,0.00027712279913516,2.84511761203261E-05,0.332602577573523,0.674101854807996,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Argentina,ARG,14.0017337092786,9.76020743319997,7.06116575335062,5.55688705320382,6.30058933362473,16.5053220097377,12.3009642216445,16.9726830857009,16.4092054965653,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Australia,AUS,0.00285534806692936,0.00337770321810674,0.00297853558943865,0.00283049940302194,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Azerbaijan,AZE,0.00834585211150058,0.0129640542133176,0.0181917409496089,0.0604797338891709,0.0558285432282817,0.0429379889563492,0.0290344239388825,0.0295784668761142,0.0144957739262292,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,"Bahamas, The",BHS,0.871545638067589,0.632729294155213,0.766491228267945,0.510412829582471,0.994947904693317,0.593805970624433,2.85815383001585,5.94875891832898,8.22161994251691,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Bangladesh,BGD,0.00288715050827638,0.00303528616425663,0.0197516558471485,0.0133058616071107,0.0166029070278861,0.0508129185328707,0.0348632530681149,0.000218306036918069,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Belarus,BLR,6.68579165615171,23.4829400974098,18.3963794626397,16.2200633631808,21.7747051664297,16.9626678240593,13.2303805087523,10.8329482180681,3.06497537982183,5.85110316888989
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Benin,BEN,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Botswana,BWA,0.00409342362256295,..,..,0.00546579656199892,0.00434221298236956,0.00679722968102551,0.00251465375182411,0.00298608226007478,0.00548707621447624,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Brazil,BRA,0.0207962124363764,0.0121561018231127,0.0162025104163352,0.00734502050021615,0.0131912385822227,0.00895697260952461,0.00522410514256912,0.0125480463648354,0.00356636800995548,0.288929952138373
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Burkina Faso,BFA,..,..,..,0.0363789537372753,0.0336719372828369,0.0580345037132279,0.0251463832291862,0.0180848778858269,0.0174757355505009,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Burundi,BDI,0.169205348427617,0.0869885100537655,0.111368644100228,0.100289859652884,..,0.125358676402162,0.0377744643018802,0.0245402297465742,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Cambodia,KHM,2.28521560592486,1.68337347667046,0.260392217904643,0.320888724961815,0.303237104963265,0.224704085476847,0.12570399894608,0.240659611304263,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Cameroon,CMR,0.684124682856107,0.724103542470624,0.698102702471198,0.907885751014341,1.33076163870652,1.13415152929654,1.28369094616727,1.36038619751687,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Central African Republic,CAF,..,..,..,..,..,0.911909576802159,0.406957242056288,0.363954190723908,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Chad,TCD,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Chile,CHL,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,China,CHN,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,"Congo, Dem. Rep.",COD,0.26945858407793,0.229404785768678,0.173247775458662,0.221975877160452,0.175770848691991,0.163899167889379,0.273742865847644,0.30581226473629,0.210083058611224,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,"Congo, Rep.",COG,0.00142255299247796,0.00203003175438133,0.00397437952210976,1.47392225057501,1.3575508294668,1.01976497159016,1.24712072324582,1.55677162253908,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Costa Rica,CRI,0.132859583571266,0.111728368358256,0.117124332417317,0.123963938290706,0.11517060555243,0.106959547358893,0.122099295173305,0.111136678730515,0.195962517078839,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Cote d'Ivoire,CIV,14.1699294068282,16.0087094519918,16.2540165669458,16.7905056457108,12.995792926358,14.3512590126325,12.5627717873318,11.9951186478659,10.7049665415562,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Croatia,HRV,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Czechia,CZE,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Denmark,DNK,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Dominican Republic,DOM,0.00308021374928817,0.00202503420243663,..,..,0.00989206594501853,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Equatorial Guinea,GNQ,0.36884851691514,0.469941341772109,1.14179204495225,1.90524236820962,1.41459486955573,0.725513808194276,0.432152176727808,0.899224520787067,0.560958634090382,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Eswatini,SWZ,1.8060213756097E-06,1.52227362614334E-05,1.63234203558707E-05,2.47296242286857E-06,4.58580910442543E-05,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,0.00250794084059178
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Fiji,FJI,0.480787327529059,0.41976838760474,0.431231185151562,0.353356442135043,0.313430477529815,0.3064836942734,0.452814307086841,0.534725366304096,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Finland,FIN,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Georgia,GEO,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Ghana,GHA,1.78405230601294,1.72722849950151,1.10580568975176,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
Taxes on exports (% of tax revenue),GC.TAX.EXPT.ZS,Greece,GRC,..,..,..,..,..,..,..,..,..,..
