time,open,high,low,close,volume
2020-01-02,4.82,4.91,4.82,4.88,371400
2020-01-03,4.88,4.91,4.82,4.85,391030
2020-01-06,4.85,4.85,4.77,4.77,359794
2020-01-07,4.77,4.82,4.77,4.77,114862
2020-01-08,4.77,4.77,4.68,4.68,516075
2020-01-09,4.68,4.8,4.68,4.71,559354
2020-01-10,4.74,4.77,4.68,4.71,720409
2020-01-13,4.74,4.82,4.71,4.8,527921
2020-01-14,4.77,4.85,4.77,4.85,359137
2020-01-15,4.85,4.85,4.8,4.8,379187
2020-01-16,4.8,4.91,4.8,4.85,690910
2020-01-17,4.85,4.93,4.8,4.82,805973
2020-01-20,4.82,4.93,4.8,4.85,1253362
2020-01-21,4.88,4.96,4.88,4.93,1106015
2020-01-22,4.93,4.96,4.88,4.93,584350
2020-01-30,4.91,4.91,4.77,4.8,848096
2020-01-31,4.8,4.8,4.71,4.74,988717
2020-02-03,4.66,4.74,4.57,4.74,1299169
2020-02-04,4.74,4.77,4.66,4.77,712734
2020-02-05,4.77,4.85,4.77,4.8,742628
2020-02-06,4.82,4.91,4.77,4.91,760378
2020-02-07,4.88,4.88,4.82,4.85,360258
2020-02-10,4.85,4.85,4.71,4.71,743200
2020-02-11,4.77,4.8,4.74,4.8,491576
2020-02-12,4.77,4.91,4.77,4.85,653767
2020-02-13,4.85,5.13,4.82,5.04,3715862
2020-02-14,5.02,5.18,4.99,5.1,1963866
2020-02-17,5.13,5.16,5.04,5.07,973460
2020-02-18,5.07,5.1,4.96,4.96,1518563
2020-02-19,4.99,5.02,4.96,5.02,992359
2020-02-20,5.02,5.1,4.99,5.07,597245
2020-02-21,5.04,5.32,5.04,5.21,4777915
2020-02-24,5.21,5.21,4.91,4.96,2291673
2020-02-25,4.88,5.04,4.82,4.99,1761731
2020-02-26,4.93,4.99,4.8,4.93,1730855
2020-02-27,4.93,5.13,4.91,5.1,1355949
2020-02-28,5.04,5.07,4.96,5.02,1909126
2020-03-02,4.99,5.1,4.93,5.07,1282104
2020-03-03,5.07,5.18,5.07,5.07,1753520
2020-03-04,5.07,5.1,5.04,5.1,717445
2020-03-05,5.1,5.18,5.02,5.04,1430847
2020-03-06,5.1,5.1,4.96,5.04,878862
2020-03-09,4.96,4.96,4.24,4.46,5896152
2020-03-10,4.43,4.77,4.41,4.74,2161508
2020-03-11,4.77,4.77,4.41,4.6,2299550
2020-03-12,4.46,4.52,4.21,4.35,2366087
2020-03-13,4.16,4.41,3.99,4.27,2739933
2020-03-16,4.3,4.32,4.13,4.19,1053796
2020-03-17,4.16,4.21,3.99,4.16,1369993
2020-03-18,4.13,4.24,4.13,4.16,609580
2020-03-19,4.16,4.19,4.02,4.07,764288
2020-03-20,4.07,4.13,4.05,4.07,324349
2020-03-23,4.05,4.07,3.58,3.63,1989844
2020-03-24,3.69,3.77,3.63,3.77,807017
2020-03-25,3.83,4.05,3.8,4.02,1192400
2020-03-26,3.94,4.05,3.8,3.83,648007
2020-03-27,3.77,3.91,3.77,3.8,310649
2020-03-30,3.6,3.77,3.44,3.52,900039
2020-03-31,3.58,3.69,3.46,3.55,925612
2020-04-01,3.58,3.69,3.55,3.66,294770
2020-04-03,3.66,3.77,3.63,3.74,795050
2020-04-06,3.74,3.99,3.74,3.96,1020978
2020-04-07,3.99,4.07,3.88,3.96,650240
2020-04-08,3.96,3.96,3.85,3.91,592808
2020-04-09,3.94,3.99,3.91,3.99,1074312
2020-04-10,3.99,3.99,3.91,3.94,612012
2020-04-13,3.94,4.02,3.88,3.94,551333
2020-04-14,3.96,4.02,3.91,3.94,576043
2020-04-15,3.96,4.16,3.96,4.05,2079760
2020-04-16,4.07,4.1,3.99,4.07,488261
2020-04-17,4.07,4.19,4.07,4.07,1244355
2020-04-20,4.13,4.24,4.07,4.1,1312060
2020-04-21,4.16,4.21,3.94,3.99,1196775
2020-04-22,3.94,4.07,3.85,4.02,928810
2020-04-23,4.02,4.13,4.02,4.02,353550
2020-04-24,4.02,4.05,3.99,3.99,363171
2020-04-27,3.99,4.05,3.94,3.99,466516
2020-04-28,3.99,4.02,3.94,4.02,385960
2020-04-29,4.02,4.05,3.99,4.02,418833
2020-05-04,4.02,4.02,3.96,3.96,350874
2020-05-05,3.96,3.99,3.94,3.96,207333
2020-05-06,3.96,4.05,3.96,3.99,527580
2020-05-07,3.96,4.05,3.96,4.02,339828
2020-05-08,4.02,4.19,4.02,4.1,1165615
2020-05-11,4.1,4.24,4.07,4.24,1287559
2020-05-12,4.24,4.27,4.16,4.27,980524
2020-05-13,4.21,4.3,4.19,4.24,619390
2020-05-14,4.24,4.24,4.19,4.21,822910
2020-05-15,4.21,4.24,4.13,4.16,572365
2020-05-18,4.16,4.19,4.13,4.19,501442
2020-05-19,4.21,4.3,4.21,4.24,1086727
2020-05-20,4.24,4.24,4.19,4.19,783043
2020-05-21,4.21,4.3,4.19,4.27,887025
2020-05-22,4.27,4.43,4.24,4.32,1648500
2020-05-25,4.38,4.49,4.27,4.43,1546574
2020-05-26,4.43,4.57,4.41,4.55,949626
2020-05-27,4.55,4.6,4.46,4.49,2058493
2020-05-28,4.49,4.52,4.43,4.49,912036
2020-05-29,4.49,4.55,4.46,4.52,654976
2020-06-01,4.52,4.74,4.52,4.68,2093625
2020-06-02,4.68,4.77,4.63,4.71,992502
2020-06-03,4.71,4.91,4.71,4.91,2254645
2020-06-04,4.88,4.99,4.88,4.91,1346102
2020-06-05,4.91,4.93,4.82,4.88,1715045
2020-06-08,4.88,4.99,4.85,4.96,1170012
2020-06-09,4.93,4.99,4.88,4.99,1939347
2020-06-10,4.96,4.96,4.85,4.93,1027828
2020-06-11,4.91,4.99,4.66,4.71,2450732
2020-06-12,4.57,4.85,4.57,4.8,1384928
2020-06-15,4.8,4.82,4.63,4.68,894516
2020-06-16,4.71,4.8,4.68,4.77,910998
2020-06-17,4.8,4.8,4.71,4.74,508649
2020-06-18,4.74,4.8,4.71,4.8,216642
2020-06-19,4.74,4.88,4.74,4.85,379358
2020-06-22,4.88,4.88,4.82,4.85,452918
2020-06-23,4.85,4.88,4.8,4.85,497628
2020-06-24,4.85,4.93,4.82,4.88,613284
2020-06-25,4.77,4.93,4.77,4.93,795653
2020-06-26,4.93,4.93,4.85,4.88,444060
2020-06-29,4.88,4.88,4.77,4.82,695034
2020-06-30,4.85,4.91,4.77,4.82,505813
2020-07-01,4.85,4.91,4.82,4.91,504327
2020-07-02,4.91,4.93,4.85,4.91,1319895
2020-07-03,4.93,4.93,4.91,4.91,440727
2020-07-06,4.91,4.93,4.85,4.91,725536
2020-07-07,4.93,4.96,4.91,4.93,700953
2020-07-08,4.93,5.18,4.91,5.1,1859618
2020-07-09,5.1,5.27,5.1,5.21,1546175
2020-07-10,5.21,5.21,5.07,5.13,1130622
2020-07-13,5.13,5.21,5.07,5.1,609791
2020-07-14,5.1,5.13,5.07,5.1,366626
2020-07-15,5.13,5.32,5.1,5.27,2018401
2020-07-16,5.27,5.46,5.27,5.41,1977932
2020-07-17,5.43,5.43,5.35,5.43,960045
2020-07-20,5.43,5.52,5.41,5.49,1786914
2020-07-21,5.46,5.6,5.46,5.6,1561773
2020-07-22,5.65,5.77,5.6,5.68,1767643
2020-07-23,5.68,5.74,5.54,5.63,1273565
2020-07-24,5.63,5.63,5.24,5.35,3268484
2020-07-27,5.27,5.27,4.85,4.91,3379143
2020-07-28,4.93,5.21,4.91,5.16,1486515
2020-07-29,5.16,5.16,4.74,4.85,1347306
2020-07-30,4.85,4.99,4.85,4.91,1069882
2020-07-31,4.85,5.07,4.8,4.99,955484
2020-08-03,5.02,5.24,4.99,5.24,1716060
2020-08-04,5.24,5.38,5.21,5.27,1205530
2020-08-05,5.27,5.35,5.24,5.29,772175
2020-08-06,5.54,6.1,5.29,5.41,1657359
2020-08-07,5.54,5.54,5.35,5.38,700448
2020-08-10,5.38,5.54,5.38,5.46,1232135
2020-08-11,5.49,5.63,5.46,5.6,1816914
2020-08-12,5.6,5.79,5.6,5.74,2908268
2020-08-13,5.71,5.85,5.71,5.77,1569494
2020-08-14,5.77,5.77,5.63,5.63,1288597
2020-08-17,5.68,5.74,5.6,5.71,480014
2020-08-18,5.71,5.88,5.65,5.79,1520983
2020-08-19,5.79,5.85,5.77,5.79,930177
2020-08-20,5.79,5.9,5.77,5.79,1394638
2020-08-21,5.79,5.9,5.79,5.88,927842
2020-08-24,5.85,5.96,5.85,5.93,1997809
2020-08-25,5.99,6.13,5.96,6.04,4105763
2020-08-26,6.04,6.29,6.04,6.15,1749787
2020-08-27,6.15,6.26,6.15,6.26,1062067
2020-08-28,6.29,6.29,6.21,6.26,1382505
2020-08-31,6.26,6.32,6.04,6.1,2777800
2020-09-01,6.1,6.15,6.04,6.13,572944
2020-09-03,6.15,6.43,6.15,6.35,1877480
2020-09-04,6.38,6.38,6.18,6.29,1152863
2020-09-07,6.29,6.35,6.21,6.21,1154881
2020-09-08,6.21,6.26,6.15,6.24,711262
2020-09-09,6.13,6.21,6.1,6.21,880072
2020-09-10,6.24,6.26,6.18,6.21,511931
2020-09-11,6.21,6.24,6.18,6.24,303811
2020-09-14,6.24,6.29,6.24,6.29,592291
2020-09-15,6.26,6.6,6.26,6.51,1962679
2020-09-16,6.57,6.62,6.46,6.51,586193
2020-09-17,6.51,6.57,6.49,6.51,713588
2020-09-18,6.51,6.93,6.51,6.93,2411775
2020-09-21,6.93,7.15,6.9,6.96,1260312
2020-09-22,6.98,7.01,6.87,6.96,648599
2020-09-23,6.96,7.23,6.96,7.15,2685712
2020-09-24,7.12,7.21,7.07,7.15,1733246
2020-09-25,7.1,7.35,7.1,7.35,1326769
2020-09-28,7.35,7.57,7.35,7.57,1345184
2020-09-29,7.62,7.76,7.54,7.68,2287410
2020-09-30,7.65,7.73,7.54,7.68,846611
2020-10-01,7.68,8.04,7.68,8.04,2157149
2020-10-02,8.04,8.26,7.87,8.15,3403611
2020-10-05,8.09,8.45,8.09,8.43,2058900
2020-10-06,8.45,9.37,8.43,9.34,4081300
2020-10-07,9.15,9.42,9.01,9.29,5212500
2020-10-08,9.29,9.31,8.23,9.15,3410100
2020-10-09,9.15,9.23,9.06,9.15,1149100
2020-10-12,9.15,9.29,9.01,9.06,2464500
2020-10-13,9.04,9.06,8.7,8.84,2044000
2020-10-14,8.84,8.84,8.43,8.76,2078700
2020-10-15,8.73,8.9,8.59,8.9,572800
2020-10-16,8.87,9.37,8.87,9.2,1798200
2020-10-19,9.29,9.45,9.26,9.37,875900
2020-10-20,9.31,9.56,9.09,9.31,690400
2020-10-21,9.31,9.31,9.12,9.29,1098700
2020-10-22,9.29,9.29,9.15,9.2,349100
2020-10-23,9.29,9.34,9.17,9.29,1468300
2020-10-26,9.29,9.31,9.04,9.2,1199200
2020-10-27,9.2,9.2,9.01,9.09,968400
2020-10-28,8.93,9.09,8.79,9.04,1637800
2020-10-29,8.87,9.23,8.79,9.09,943400
2020-11-10,9.42,9.45,9.09,9.09,1745460
2020-11-11,9.15,9.16,9.06,9.06,834380
2020-11-12,9.04,9.15,9.04,9.11,908760
2020-11-13,9.15,9.15,9.08,9.13,1097190
2020-11-16,9.15,9.16,9.05,9.11,866930
2020-11-17,9.11,9.15,9.09,9.12,1185510
2020-11-18,9.04,9.13,9.04,9.13,963360
2020-11-19,9.51,9.55,9.35,9.41,1224460
2020-11-20,9.45,9.45,9.35,9.38,422520
2020-11-23,9.38,9.38,9.15,9.3,493780
2020-11-24,9.3,9.31,9.15,9.3,601450
2020-11-25,9.3,9.31,9.25,9.31,497760
2020-11-26,9.3,9.31,9.2,9.31,518170
2020-11-27,9.3,9.31,9.26,9.31,356110
2020-11-30,9.31,9.31,9.18,9.18,313150
2020-12-01,9.05,9.81,9.05,9.81,3254230
2020-12-02,10.01,10.49,9.98,10.49,1697450
2020-12-03,11.06,11.23,10.78,10.78,1280960
2020-12-04,10.64,10.98,10.33,10.84,1539490
2020-12-07,10.84,10.91,10.61,10.68,734790
2020-12-08,10.68,11.09,10.63,10.84,897840
2020-12-09,10.91,10.93,10.71,10.71,821210
2020-12-10,10.71,10.78,10.49,10.54,789190
2020-12-11,10.54,10.81,10.44,10.68,968860
2020-12-14,10.68,10.78,10.59,10.59,778310
2020-12-15,10.58,10.91,10.54,10.63,720170
2020-12-16,10.64,10.81,10.61,10.78,794690
2020-12-17,10.81,11.14,10.64,10.91,2055240
2020-12-18,10.98,11.11,10.86,11.04,585030
2020-12-21,11.04,11.31,11.04,11.23,639870
2020-12-22,11.14,11.23,11.03,11.13,678900
2020-12-23,11.09,11.13,10.89,10.89,845870
2020-12-24,10.89,10.98,10.58,10.68,789260
2020-12-25,10.64,10.94,10.61,10.91,446980
2020-12-28,11.04,11.11,10.79,10.89,871930
2020-12-29,10.89,10.94,10.84,10.94,360210
2020-12-30,11.04,11.14,10.94,10.98,860320
2020-12-31,10.91,11.01,10.78,10.78,1390750
2021-01-04,10.93,11.04,10.88,10.98,946800
2021-01-05,10.98,11.74,10.98,11.74,2145100
2021-01-06,11.97,12.22,11.74,11.76,711000
2021-01-07,11.74,11.74,11.51,11.64,1036700
2021-01-08,11.64,11.81,11.56,11.56,1291700
2021-01-11,11.64,11.64,11.44,11.46,1011300
2021-01-12,11.34,11.61,11.34,11.46,605200
2021-01-13,11.61,11.71,11.53,11.54,1052400
2021-01-14,11.56,11.81,11.56,11.71,818400
2021-01-15,11.81,11.96,11.81,11.86,824200
2021-01-18,11.84,11.91,11.74,11.74,661800
2021-01-19,11.64,11.74,10.93,10.98,1032900
2021-01-20,10.98,11.14,10.23,10.96,850500
2021-01-21,11.14,11.34,10.98,11.34,606100
2021-01-22,11.41,11.41,11.31,11.36,646900
2021-01-25,11.38,11.38,11.24,11.36,411700
2021-01-26,11.36,11.36,10.98,11.01,500000
2021-01-27,10.98,11.28,10.91,11.13,842600
2021-01-28,10.38,10.98,10.36,10.36,1079800
2021-01-29,9.71,10.64,9.71,10.51,457900
2021-02-01,10.64,10.64,10.21,10.33,284300
2021-02-02,10.31,10.64,10.31,10.63,387700
2021-02-03,10.81,11.28,10.64,11.28,541300
2021-02-04,11.31,11.31,11.08,11.24,314600
2021-02-05,11.28,11.81,11.24,11.78,1534500
2021-02-08,11.81,12.11,11.34,11.58,1354400
2021-02-09,11.44,11.97,11.44,11.97,1091900
2021-02-17,11.97,12.57,11.94,12.56,1141900
2021-02-18,12.54,12.54,12.24,12.46,787100
2021-02-19,12.24,12.64,12.24,12.51,531800
2021-02-22,12.57,12.61,12.44,12.54,1128900
2021-02-23,12.47,12.61,11.68,12.37,1401200
2021-02-24,12.39,12.59,12.39,12.44,903200
2021-02-25,12.44,12.81,12.44,12.79,975600
2021-02-26,12.67,13.24,12.64,13.21,1099700
2021-03-01,13.64,14.12,13.6,14.12,991400
2021-03-02,14.8,14.84,14.17,14.5,1116000
2021-03-03,14.34,14.44,14.32,14.37,687500
2021-03-04,14.37,14.39,13.87,13.97,1035500
2021-03-05,13.97,14.47,13.57,14.4,509000
2021-03-08,14.6,14.6,14.3,14.35,486000
2021-03-09,14.3,14.4,14.2,14.3,321700
2021-03-10,14.25,14.32,14.24,14.29,319900
2021-03-11,14.57,14.57,14.37,14.39,338700
2021-03-12,14.42,14.64,14.42,14.45,445400
2021-03-15,14.6,14.64,14.5,14.54,496100
2021-03-16,14.6,14.64,14.44,14.47,323100
2021-03-17,14.47,15.47,14.47,15.3,1321300
2021-03-18,15.3,15.47,15.0,15.22,547600
2021-03-19,15.22,15.23,15.17,15.2,657700
2021-03-22,15.3,15.33,15.0,15.02,712000
2021-03-23,15.02,15.03,14.3,14.8,609600
2021-03-24,14.67,14.8,14.5,14.57,743900
2021-03-25,14.57,14.6,14.3,14.34,949400
2021-03-26,14.34,14.57,13.97,14.39,629900
2021-03-29,14.4,14.62,14.39,14.62,249800
2021-03-30,14.64,15.47,14.64,15.43,1177200
2021-03-31,15.6,16.4,15.6,16.1,1462600
2021-04-01,16.28,16.63,16.1,16.6,992400
2021-04-02,16.6,17.03,16.47,16.86,641300
2021-04-05,17.8,17.8,16.96,17.73,1321700
2021-04-06,17.66,18.46,17.66,17.83,892000
2021-04-07,17.83,17.83,17.6,17.73,621500
2021-04-08,17.73,17.73,16.63,17.03,1307400
2021-04-09,16.86,16.9,16.61,16.86,1408300
2021-04-12,16.86,17.66,16.86,17.63,436400
2021-04-13,17.63,17.73,17.23,17.3,659400
2021-04-14,17.16,17.56,16.96,17.4,746000
2021-04-15,17.43,17.63,17.1,17.26,708300
2021-04-16,17.23,17.26,16.8,16.96,367600
2021-04-19,16.96,17.33,16.96,17.3,565800
2021-04-20,17.46,18.16,17.46,17.96,1844000
2021-04-22,17.96,18.13,17.73,17.73,751500
2021-04-23,17.63,17.73,17.13,17.73,934600
2021-04-26,17.8,18.1,17.56,17.9,994200
2021-04-27,17.9,17.93,17.33,17.73,654900
2021-04-28,17.73,18.29,17.63,18.23,1008500
2021-04-29,18.26,18.53,18.26,18.49,1907900
2021-05-04,17.9,18.49,17.66,18.43,614200
2021-05-05,18.63,18.63,18.06,18.29,1127000
2021-05-06,18.29,19.56,18.29,19.46,2135700
2021-05-07,19.46,19.63,19.06,19.53,487500
2021-05-10,19.43,19.79,19.43,19.63,731100
2021-05-11,19.89,20.62,19.79,20.39,1352500
2021-05-12,20.36,20.79,20.26,20.49,1042400
2021-05-13,20.36,20.59,20.36,20.36,1129600
2021-05-14,20.36,20.79,20.12,20.72,1461700
2021-05-17,20.49,20.72,20.22,20.29,1108700
2021-05-18,20.16,20.16,19.16,19.49,2193900
2021-05-19,19.96,20.29,19.39,20.12,1798100
2021-05-20,20.16,20.62,20.16,20.56,1435100
2021-05-21,20.59,20.62,20.29,20.39,1202400
2021-05-24,20.39,20.56,20.22,20.29,1111800
2021-05-25,20.29,20.29,20.12,20.29,859100
2021-05-26,20.39,21.09,20.39,20.96,1605000
2021-05-27,21.62,21.62,21.12,21.22,1727700
2021-05-28,21.29,21.45,21.12,21.39,798200
2021-05-31,21.55,22.85,21.45,22.79,1273300
2021-06-01,23.28,23.95,22.95,23.72,1593800
2021-06-02,23.55,24.02,23.28,23.95,1429100
2021-06-03,23.95,24.75,23.95,24.61,1101900
2021-06-04,24.91,25.25,24.38,24.61,1296600
2021-06-07,24.75,24.88,22.92,24.02,1292800
2021-06-08,23.95,24.28,22.95,23.25,1083700
2021-06-09,23.75,24.68,23.52,24.45,1630400
2021-06-10,24.22,25.15,23.75,24.17,1063900
2021-06-11,24.22,24.73,23.52,24.54,1732100
2021-06-14,24.54,24.59,24.08,24.12,1312700
2021-06-15,24.12,24.12,23.66,23.66,1033400
2021-06-16,23.28,23.75,23.17,23.19,1315900
2021-06-17,22.4,23.52,22.4,23.28,743400
2021-06-18,23.75,23.75,23.28,23.47,493600
2021-06-21,23.56,23.98,23.47,23.47,930900
2021-06-22,23.75,23.75,23.38,23.56,1040400
2021-06-23,23.66,23.94,23.52,23.52,1426500
2021-06-24,23.52,23.75,23.19,23.28,614800
2021-06-25,23.28,23.28,22.72,22.86,1049500
2021-06-28,22.86,23.52,22.35,23.26,2421700
2021-06-29,23.47,23.7,23.24,23.28,1040100
2021-06-30,23.28,23.38,22.96,23.03,429100
2021-07-01,22.86,23.28,22.72,22.86,746100
2021-07-02,23.05,23.66,22.86,23.33,1492800
2021-07-05,23.75,23.75,23.12,23.38,1295000
2021-07-06,23.47,24.17,23.38,23.52,4870800
2021-07-07,23.38,23.38,22.35,23.19,1431700
2021-07-08,23.26,24.08,23.1,23.94,3395700
2021-07-09,23.94,25.15,23.56,24.4,6018900
2021-07-12,24.22,24.22,22.7,22.91,2804300
2021-07-13,23.38,23.38,21.89,22.21,2892300
2021-07-14,21.56,22.12,20.68,20.68,4387400
2021-07-15,20.49,21.42,19.79,20.91,2070800
2021-07-16,21.19,21.33,20.84,20.89,794000
2021-07-19,20.07,20.07,19.44,19.44,2165100
2021-07-20,19.09,19.56,18.16,19.56,3838200
2021-07-21,20.02,20.02,19.14,19.14,737300
2021-07-22,19.09,19.51,18.63,19.42,1200700
2021-07-23,19.28,19.33,18.72,18.72,1449500
2021-07-26,18.18,18.63,17.79,17.95,1706700
2021-07-27,18.21,18.63,18.07,18.49,894300
2021-07-28,18.16,19.14,18.16,18.77,1223300
2021-07-29,18.79,19.02,18.79,18.88,753200
2021-07-30,18.91,19.42,18.91,19.37,1881100
2021-08-02,19.37,19.54,19.09,19.44,2011500
2021-08-03,19.51,19.56,19.23,19.37,1278600
2021-08-04,19.4,19.42,19.19,19.26,1199200
2021-08-05,19.26,19.65,19.09,19.56,2093700
2021-08-06,19.65,19.67,19.42,19.42,1293000
2021-08-09,19.35,19.63,19.16,19.56,1313300
2021-08-10,19.79,19.79,19.44,19.47,1496400
2021-08-11,19.51,19.74,19.35,19.37,1322800
2021-08-12,19.37,19.42,19.09,19.09,1851400
2021-08-13,19.09,19.23,18.81,19.0,1376200
2021-08-16,19.0,19.51,18.81,19.47,1880000
2021-08-17,19.7,19.72,19.33,19.4,1469900
2021-08-18,19.4,19.42,19.09,19.14,2068000
2021-08-19,19.05,19.09,18.86,18.88,1031300
2021-08-20,19.0,19.0,17.6,18.02,2610200
2021-08-23,17.93,18.02,16.76,16.76,4861200
2021-08-24,16.62,17.04,16.18,16.69,1408500
2021-08-25,16.79,17.46,16.79,17.23,905800
2021-08-26,17.23,17.37,16.86,16.9,800500
2021-08-27,16.58,16.9,16.07,16.76,1539400
2021-08-30,16.76,17.04,16.67,16.97,1141100
2021-08-31,17.23,17.37,16.76,16.88,917400
2021-09-01,16.76,16.86,16.72,16.79,625300
2021-09-06,16.76,16.86,16.53,16.67,1040400
2021-09-07,16.72,17.21,16.72,17.0,1478100
2021-09-08,17.14,17.35,16.95,17.02,1361300
2021-09-09,17.04,17.04,16.86,17.04,459800
2021-09-10,17.07,17.09,16.81,16.9,727600
2021-09-13,16.86,16.9,16.62,16.72,867700
2021-09-14,16.72,16.72,16.46,16.48,860700
2021-09-15,16.39,16.48,16.3,16.37,574500
2021-09-16,16.44,16.9,16.37,16.39,450000
2021-09-17,16.42,16.86,16.39,16.76,730600
2021-09-20,16.95,17.93,16.95,17.93,4016300
2021-09-21,17.93,18.39,17.74,18.39,3518600
2021-09-22,18.63,18.63,18.02,18.07,1070500
2021-09-23,17.98,18.07,17.58,17.6,3012400
2021-09-24,17.7,18.02,17.7,17.91,2162100
2021-09-27,17.84,17.91,17.0,17.0,1536300
2021-09-28,17.04,17.23,16.81,17.0,994900
2021-09-29,16.97,17.02,16.55,16.74,1640700
2021-09-30,16.72,16.97,16.39,16.46,2048800
2021-10-01,16.46,16.55,15.97,15.97,1665800
