time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,7.94,27.74,26.77,59.99,14.35,24.81,62.28,10.05,7.12,9.93,2.93,8.21,46.12,37.43,46.77,93.51,2.59,,6.8,10.2,11.54,6.78,39.49,62.56,4.88,102.22,148.0,78.0,6.89,34.35
2020-01-03,7.94,27.45,26.65,59.65,14.21,24.39,62.42,10.41,7.06,9.99,2.93,8.23,46.53,36.89,47.26,93.76,2.51,,6.75,10.2,11.47,6.84,39.1,62.78,4.85,102.49,148.0,78.26,6.84,34.6
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,7.77,27.17,26.14,58.78,14.25,24.13,64.39,10.23,6.92,9.93,2.86,8.11,45.8,36.7,47.43,93.43,2.47,,6.73,10.05,11.18,6.73,38.06,61.45,4.77,101.78,146.0,77.67,6.69,33.65
2020-01-07,7.77,26.42,26.65,58.69,14.48,24.6,63.93,9.96,6.84,9.81,2.86,8.13,45.96,36.99,46.77,93.51,2.47,,6.75,10.15,11.25,6.75,38.19,61.75,4.77,101.96,145.9,78.4,6.82,33.95
2020-01-08,7.63,26.24,26.88,57.39,14.45,24.05,63.86,9.61,6.84,9.7,2.86,8.02,45.32,36.09,46.11,93.18,2.47,,6.56,9.98,11.03,6.65,37.84,60.79,4.68,101.6,144.8,78.59,6.74,32.7
2020-01-09,7.74,26.05,28.34,56.6,14.98,24.39,62.68,9.78,7.04,9.93,2.86,8.15,46.12,36.63,46.52,94.77,2.51,,6.64,10.15,11.18,6.71,38.58,61.38,4.71,101.96,146.2,78.46,6.96,34.0
2020-01-10,7.84,26.05,29.28,58.25,15.71,24.34,63.14,9.96,7.2,10.01,2.97,8.29,45.72,36.83,46.11,97.48,2.75,,6.76,10.5,11.23,6.84,38.93,62.26,4.71,102.05,146.2,78.66,7.06,33.95
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,7.91,26.89,28.59,57.99,15.48,24.18,62.74,10.05,7.15,10.03,2.93,8.25,46.12,36.63,46.27,97.65,2.78,,6.76,10.4,11.13,6.86,38.88,63.59,4.8,102.13,146.5,77.67,6.91,33.75
2020-01-14,8.12,27.17,28.59,57.39,15.68,24.13,62.48,9.96,7.17,10.35,2.93,8.33,45.8,36.44,45.94,97.27,2.78,,6.8,10.3,11.1,6.91,38.88,63.59,4.85,102.22,146.0,77.93,7.09,33.75
2020-01-15,8.05,26.99,29.11,57.3,15.75,24.13,61.89,9.87,7.11,10.41,2.93,8.31,45.72,36.47,45.86,97.69,2.86,,6.8,10.25,11.1,6.92,38.84,63.59,4.8,102.22,146.0,77.93,7.26,33.2
2020-01-16,8.26,27.08,30.82,57.39,16.61,24.56,61.43,9.96,7.34,10.47,2.97,8.52,45.48,36.92,46.11,97.4,2.9,,7.06,10.4,11.3,6.97,38.93,63.44,4.85,102.22,146.0,78.2,7.33,32.8
2020-01-17,8.22,27.27,30.53,57.3,16.65,24.39,61.36,10.14,7.31,10.35,2.97,8.52,44.51,37.15,46.52,97.9,2.82,,7.12,10.6,11.35,6.86,41.1,63.37,4.82,102.13,148.2,78.46,7.34,32.6
2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,8.39,27.45,30.42,56.86,16.75,24.3,61.49,10.23,7.24,10.55,3.01,8.52,43.94,37.95,46.35,98.52,2.78,,7.12,10.7,11.32,6.84,40.88,63.37,4.85,102.13,147.0,78.73,7.54,32.0
2020-01-21,8.46,27.45,30.82,57.3,16.88,23.5,62.48,10.5,7.41,10.7,3.01,8.73,44.1,38.39,47.1,97.27,2.86,,7.12,10.9,11.66,6.84,40.88,64.48,4.93,102.13,147.0,80.05,7.9,32.6
2020-01-22,8.46,27.36,31.68,58.25,17.08,23.92,62.48,10.76,7.43,10.88,3.09,8.68,43.21,38.14,47.43,97.06,2.98,,7.13,10.9,11.73,6.84,40.62,65.88,4.93,102.13,146.5,80.25,7.91,32.6
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,8.15,27.08,30.08,54.86,16.25,23.16,60.57,10.23,7.16,10.47,2.93,8.23,40.54,36.47,45.86,91.01,2.9,,6.84,10.35,11.1,6.81,38.66,64.4,4.8,102.13,140.0,77.14,7.61,30.95
2020-01-31,7.94,26.24,29.39,51.13,16.28,22.02,56.95,9.61,6.92,9.97,2.86,8.06,40.54,35.45,43.87,88.5,2.9,,6.54,10.2,10.47,6.65,38.58,64.48,4.74,102.05,130.2,71.78,7.53,30.05
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,7.81,22.68,30.53,48.34,16.78,21.8,54.78,9.25,6.92,10.16,2.78,7.88,40.46,34.81,42.22,87.21,3.05,,6.3,10.25,10.4,6.6,38.58,62.78,4.74,102.05,125.5,71.65,7.58,30.2
2020-02-04,8.01,23.42,31.05,48.43,17.95,21.93,53.99,9.25,7.06,10.18,2.89,8.19,40.46,34.52,41.97,84.75,3.18,,6.28,10.2,10.55,6.68,39.06,63.15,4.77,102.05,129.0,69.46,7.86,29.25
2020-02-05,7.94,25.3,30.53,49.39,17.72,22.02,53.72,9.34,7.27,10.12,2.97,8.19,40.46,34.55,42.63,80.99,3.46,,6.27,10.25,10.55,6.71,38.66,63.37,4.8,101.78,127.0,70.52,8.1,28.95
2020-02-06,8.29,24.83,30.36,50.78,18.52,22.69,56.56,9.69,7.66,10.43,3.01,8.44,40.38,35.03,43.04,79.32,3.55,,6.54,10.95,10.84,6.81,38.88,63.96,4.91,101.69,127.5,71.12,8.55,30.95
2020-02-07,8.22,25.21,29.51,51.99,17.95,22.57,56.62,9.69,7.67,10.08,3.06,8.29,40.38,34.78,42.88,81.41,3.32,,6.54,11.15,10.74,6.62,39.14,64.11,4.85,101.69,131.2,72.9,8.5,32.0
2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,8.15,24.55,28.02,49.99,17.75,22.27,57.15,9.61,7.56,10.08,2.97,8.13,40.38,33.85,42.71,81.41,3.18,,6.49,10.95,10.6,6.65,38.66,63.52,4.71,101.07,129.0,72.11,8.25,31.1
2020-02-11,8.19,23.89,28.99,50.26,18.52,22.69,56.36,9.69,7.43,9.77,3.01,8.21,40.38,34.07,43.71,80.99,3.37,,6.45,11.35,10.74,6.68,38.8,63.52,4.8,100.8,129.0,70.92,8.52,31.4
2020-02-12,8.84,24.46,28.99,49.99,18.15,22.91,56.62,9.61,7.48,9.85,2.97,8.39,40.87,34.87,43.79,79.74,3.41,,6.58,11.55,10.98,6.7,38.88,63.74,4.85,99.56,129.2,70.92,8.67,31.25
2020-02-13,8.81,25.11,28.77,49.99,18.18,22.99,57.61,9.61,7.48,9.81,2.97,8.29,40.62,34.55,44.12,81.22,3.37,,6.51,11.5,10.96,6.7,38.84,63.37,5.04,99.91,129.2,70.72,8.92,31.45
2020-02-14,9.12,24.36,28.54,49.56,17.88,23.07,58.27,10.05,7.32,9.81,3.14,8.42,40.3,34.27,44.12,80.71,3.41,,6.58,11.6,11.3,6.94,38.84,64.55,5.1,97.78,128.6,70.52,9.1,31.75
2020-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,9.12,24.36,29.39,49.04,17.72,22.95,57.48,9.87,7.36,9.83,3.14,8.5,40.22,34.39,43.95,79.1,3.46,,6.52,11.65,11.54,6.94,38.88,63.89,5.07,96.0,128.7,71.12,9.09,31.4
2020-02-18,9.19,24.08,29.68,48.78,17.82,23.71,56.62,10.05,7.34,9.64,3.06,8.42,40.22,34.84,43.71,75.7,3.41,,6.49,11.55,11.49,6.94,38.88,63.37,4.96,92.89,128.7,69.8,9.19,30.55
2020-02-19,9.08,25.39,29.28,49.04,18.02,23.58,56.16,10.5,7.3,9.62,3.01,8.37,40.78,35.35,43.79,75.7,3.27,,6.51,11.4,11.47,6.78,38.93,63.37,5.02,93.33,128.4,70.39,9.32,30.15
2020-02-20,9.12,24.92,29.28,49.99,17.95,23.62,56.16,10.5,7.27,9.83,3.01,8.39,41.35,35.39,44.04,76.55,3.23,,6.51,11.3,11.4,6.81,38.93,64.03,5.07,97.78,128.5,70.39,9.57,30.9
2020-02-21,8.88,24.83,28.25,50.86,17.25,23.16,56.23,10.23,7.27,9.75,2.97,8.21,42.89,35.39,43.71,76.8,3.23,,6.45,11.3,11.2,6.78,38.71,63.44,5.21,97.69,128.6,71.78,9.66,30.7
2020-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,8.29,23.42,26.43,48.69,16.28,22.23,55.24,9.78,6.98,9.39,2.84,7.79,41.35,33.98,41.88,75.7,3.32,,6.01,10.85,10.43,6.44,37.93,61.9,4.96,95.38,128.0,70.39,8.98,29.35
2020-02-25,8.67,22.86,27.85,49.47,17.42,22.86,54.65,10.23,7.17,9.56,2.84,8.06,40.95,34.23,42.05,75.7,3.41,,6.06,11.15,10.76,6.67,37.49,61.23,4.99,95.11,127.0,71.45,9.49,29.2
2020-02-26,8.5,22.86,26.82,48.26,17.22,23.29,52.61,10.76,7.09,9.41,2.93,7.94,40.26,33.98,41.47,75.27,3.74,,5.95,11.2,10.84,6.6,36.97,59.61,4.93,94.13,125.0,69.46,9.49,29.0
2020-02-27,8.81,22.86,26.88,49.04,17.48,23.71,52.01,11.12,7.17,9.5,3.01,8.1,40.22,34.68,42.38,73.65,4.11,,6.1,11.65,11.03,6.83,36.53,59.54,5.1,93.87,122.8,71.05,9.5,29.0
