time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,7.94,27.83,26.94,60.43,14.51,24.98,62.68,10.23,7.12,9.93,3.01,8.23,46.45,37.43,47.26,95.18,2.59,,6.8,10.3,11.56,7.13,39.75,63.0,4.91,102.22,148.0,78.2,6.94,34.45
2020-01-03,8.01,27.45,27.11,60.34,14.58,25.02,63.47,10.85,7.11,10.08,2.93,8.33,46.69,37.66,48.09,94.77,2.59,,6.88,10.3,11.61,6.94,39.93,62.93,4.91,102.49,148.8,78.73,7.02,34.65
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,7.94,27.17,26.65,59.56,14.48,24.39,64.52,10.85,7.04,10.03,2.89,8.21,46.53,36.92,48.01,93.72,2.55,,6.76,10.15,11.35,6.81,38.93,62.63,4.85,102.22,147.8,78.2,6.82,34.5
2020-01-07,7.84,27.17,26.65,59.12,14.58,24.6,64.32,10.32,6.92,10.01,2.89,8.19,46.37,36.99,47.6,93.89,2.55,,6.76,10.15,11.25,6.76,38.23,62.49,4.82,102.22,146.0,78.59,6.82,33.95
2020-01-08,7.77,26.42,27.34,58.17,14.78,24.43,65.18,9.96,6.89,9.79,2.86,8.13,45.72,36.79,47.18,93.72,2.55,,6.69,10.1,11.18,6.75,38.23,61.53,4.77,101.96,145.8,78.59,6.82,33.5
2020-01-09,7.81,26.24,28.48,58.43,15.08,24.43,63.73,9.87,7.07,9.99,2.89,8.19,46.29,36.79,46.6,95.14,2.59,,6.67,10.2,11.2,6.78,38.66,61.68,4.8,102.31,146.2,79.06,6.97,34.0
2020-01-10,7.98,26.14,29.68,58.52,16.01,24.47,63.21,10.32,7.27,10.16,2.97,8.39,46.69,36.99,46.77,97.9,2.75,,6.78,10.5,11.4,6.86,39.32,62.56,4.77,102.22,146.3,78.86,7.14,34.1
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,7.91,27.08,29.39,58.25,16.01,24.39,63.14,10.05,7.21,10.1,2.97,8.37,46.21,36.89,46.52,98.23,2.82,,6.84,10.55,11.23,6.89,39.06,63.96,4.82,102.31,146.5,78.73,7.09,34.0
2020-01-14,8.12,27.17,29.39,58.25,15.88,24.3,63.21,10.23,7.21,10.37,2.97,8.39,46.37,36.73,46.19,97.65,2.82,,6.82,10.45,11.18,6.91,39.14,63.96,4.85,102.31,146.5,78.13,7.14,34.0
2020-01-15,8.12,27.08,29.28,57.73,15.81,24.18,62.55,10.05,7.18,10.49,2.93,8.37,46.12,36.54,45.94,97.9,2.86,,6.82,10.35,11.15,6.92,38.97,63.74,4.85,102.22,146.0,78.0,7.27,33.8
2020-01-16,8.29,27.08,30.88,57.65,16.65,24.64,62.09,9.96,7.35,10.49,2.97,8.58,46.04,37.11,46.44,98.06,2.98,,7.06,10.55,11.32,7.03,39.27,63.66,4.91,102.31,146.3,78.4,7.36,33.7
2020-01-17,8.32,27.36,31.16,57.47,16.95,24.6,62.02,10.41,7.41,10.61,3.01,8.62,45.64,37.18,47.02,97.9,2.98,,7.21,10.7,11.44,7.05,41.1,64.77,4.93,102.31,148.4,78.46,7.43,33.15
2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,8.53,27.45,30.93,57.56,16.88,24.56,61.63,10.41,7.31,10.55,3.05,8.56,44.59,37.95,46.68,98.52,2.86,,7.12,10.75,11.37,6.92,41.23,63.66,4.93,102.13,148.2,78.86,7.54,32.45
2020-01-21,8.53,27.45,31.11,57.3,17.22,24.56,62.48,10.5,7.45,10.76,3.05,8.75,44.43,38.55,47.18,98.52,2.94,,7.19,11.05,11.66,6.87,41.14,64.48,4.96,102.22,147.2,80.64,7.91,32.7
2020-01-22,8.5,27.36,31.85,58.25,17.18,23.92,62.81,10.85,7.44,10.92,3.09,8.75,44.18,38.43,47.76,98.52,2.98,,7.17,10.95,11.76,6.86,41.32,65.95,4.96,102.13,147.0,80.64,7.98,32.8
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,8.39,27.27,31.33,57.39,16.91,23.62,61.76,10.58,7.35,10.72,3.09,8.56,42.89,37.47,47.02,96.6,3.05,,7.0,10.8,11.54,6.81,40.19,64.7,4.91,102.13,145.0,79.26,7.84,32.1
2020-01-31,8.22,27.27,30.59,56.17,16.85,23.24,60.37,10.14,7.15,10.47,2.97,8.35,41.84,36.67,46.11,94.18,3.05,,6.76,10.5,11.1,6.81,39.06,65.21,4.8,102.13,139.7,77.14,7.74,31.3
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
