time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,7.84,27.74,26.2,59.65,13.91,24.56,61.69,9.43,6.95,9.66,2.86,8.06,45.56,36.38,45.86,93.51,2.51,,6.67,10.0,11.4,6.68,39.01,62.26,4.82,101.33,146.3,77.07,6.72,33.8
2020-01-03,7.91,27.45,26.65,59.56,14.18,24.3,62.28,10.05,7.02,9.95,2.89,8.21,45.96,36.86,46.85,93.51,2.51,,6.71,10.15,11.47,6.78,39.1,62.34,4.82,101.6,147.5,78.2,6.82,34.1
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,7.77,26.89,26.14,58.78,14.08,24.05,63.34,10.14,6.86,9.87,2.86,8.11,45.8,36.47,47.26,92.89,2.47,,6.67,10.0,11.18,6.68,38.06,61.01,4.77,101.69,145.6,77.27,6.69,33.5
2020-01-07,7.77,26.42,25.8,58.6,14.31,24.13,63.4,9.78,6.81,9.77,2.82,8.08,45.88,36.25,46.68,92.93,2.47,,6.71,10.0,11.15,6.7,37.14,61.16,4.77,101.6,145.5,77.73,6.71,33.6
2020-01-08,7.6,26.24,26.14,57.12,14.21,24.05,63.86,9.52,6.7,9.58,2.82,8.02,44.99,36.09,46.02,92.93,2.44,,6.49,9.97,10.96,6.65,37.49,59.69,4.68,100.98,144.0,77.73,6.67,32.6
2020-01-09,7.67,26.05,27.17,56.6,14.58,24.18,62.42,9.69,6.83,9.77,2.82,8.04,45.72,36.28,46.11,92.26,2.47,,6.6,10.05,11.08,6.65,38.14,61.09,4.68,101.51,144.7,78.33,6.79,33.3
2020-01-10,7.77,25.77,28.31,56.52,15.01,24.18,62.55,9.78,7.06,9.95,2.86,8.19,45.72,36.57,46.11,94.77,2.55,,6.62,10.15,11.15,6.71,38.23,60.94,4.68,101.96,145.3,78.33,6.96,33.55
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,7.84,26.05,28.25,57.82,15.48,24.13,62.35,9.87,7.08,9.97,2.93,8.23,45.64,36.51,46.02,97.48,2.71,,6.73,10.3,11.03,6.81,38.71,62.26,4.71,101.78,145.9,77.67,6.91,33.6
2020-01-14,7.91,26.52,28.48,56.52,15.48,24.13,62.48,9.87,7.07,10.01,2.89,8.23,45.8,36.41,45.69,96.85,2.75,,6.75,10.3,11.1,6.86,38.75,63.44,4.77,101.6,145.8,77.47,6.92,33.75
2020-01-15,8.01,26.24,28.48,56.78,15.51,24.05,61.3,9.87,7.08,10.3,2.89,8.31,45.32,36.38,45.28,97.27,2.75,,6.76,10.2,11.06,6.71,38.62,63.22,4.8,101.6,145.3,77.54,7.09,33.2
2020-01-16,8.05,27.08,29.11,57.21,15.78,24.13,61.23,9.61,7.09,10.32,2.89,8.33,45.48,36.44,45.69,97.27,2.86,,6.8,10.3,11.1,6.92,38.66,63.3,4.8,101.6,145.8,77.54,7.26,32.75
2020-01-17,8.19,26.42,30.31,57.12,16.41,24.13,61.03,9.87,7.31,10.3,2.93,8.48,44.51,36.92,46.35,97.27,2.82,,7.02,10.4,11.3,6.86,38.93,63.37,4.8,101.69,146.0,77.93,7.27,32.5
2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,8.22,26.42,30.36,56.6,16.51,24.22,61.16,10.14,7.2,10.22,2.93,8.46,42.89,36.95,46.11,97.27,2.78,,7.02,10.5,11.25,6.38,40.67,63.15,4.8,101.6,147.0,78.33,7.29,31.85
2020-01-21,8.39,27.45,30.42,56.69,16.75,23.5,61.49,10.23,7.22,10.57,3.01,8.54,43.78,37.88,46.6,97.27,2.75,,7.04,10.7,11.35,6.65,40.71,63.37,4.88,101.6,146.5,78.46,7.58,32.0
