period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2024-Q4,4,2024,7.0,1.4,0.217,0.021,3758,18685,0.036,0.173,0.015,0.779,0.033,0.097,0.144,0.32,0.1,0.033,10.4,0.545,0.531,0.69,0.672,1.081,0.638,0.01,0.351,9.4,0.0,0.058,0.191
2024-Q3,3,2024,7.1,1.5,0.223,0.023,3638,17653,0.039,0.154,0.015,0.805,0.037,0.101,0.142,0.361,0.1,-0.01,9.9,0.511,0.476,0.733,0.714,1.084,0.677,0.011,0.307,8.9,0.0,0.054,0.234
2024-Q2,2,2024,6.5,1.4,0.239,0.023,3675,16744,0.038,0.178,0.015,0.778,0.039,0.097,0.136,0.285,0.1,0.038,10.3,0.571,0.516,0.735,0.715,1.075,0.684,0.011,0.304,9.3,0.001,0.0,0.268
2024-Q1,1,2024,6.8,1.4,0.23,0.024,3540,16744,0.039,0.177,0.015,0.786,0.044,0.103,0.148,0.338,0.1,-0.014,9.7,0.528,0.478,0.717,0.696,1.027,0.698,0.01,0.325,8.7,0.002,0.054,0.231
2023-Q4,4,2023,5.6,1.3,0.248,0.024,3592,15885,0.039,0.249,0.012,0.912,0.048,0.099,0.146,0.36,0.1,0.076,10.1,0.509,0.478,0.7,0.678,1.01,0.693,0.008,0.341,9.1,0.003,0.062,0.179
2023-Q3,3,2023,5.5,1.2,0.243,0.025,3337,14960,0.043,0.263,0.012,0.946,0.051,0.103,0.149,0.34,0.1,0.031,9.7,0.529,0.479,0.717,0.694,1.01,0.71,0.008,0.326,8.7,0.005,0.063,0.118
2023-Q2,2,2023,5.7,1.3,0.252,0.025,3236,14074,0.044,0.222,0.011,1.076,0.047,0.1,0.145,0.31,0.1,-0.005,10.0,0.552,0.482,0.711,0.688,1.004,0.708,0.007,0.33,9.0,0.005,0.005,0.097
2023-Q1,1,2023,5.4,1.3,0.263,0.026,3254,13999,0.044,0.215,0.01,1.166,0.042,0.102,0.152,0.317,0.1,0.062,9.8,0.548,0.522,0.699,0.673,0.973,0.718,0.007,0.344,8.8,0.004,0.07,0.082
2022-Q4,4,2022,5.0,1.2,0.265,0.024,3064,13083,0.043,0.186,0.007,1.593,0.035,0.096,0.141,0.513,0.1,0.033,10.4,0.387,0.362,0.707,0.681,0.999,0.707,0.005,0.337,9.4,0.003,0.049,0.143
2022-Q3,3,2022,5.3,1.2,0.27,0.025,2965,12477,0.043,0.149,0.01,1.378,0.034,0.099,0.139,0.356,0.1,0.126,10.1,0.516,0.506,0.746,0.717,1.026,0.727,0.007,0.296,9.1,0.001,0.07,0.195
2022-Q2,2,2022,6.4,1.4,0.254,0.023,2633,11656,0.041,0.19,0.008,1.851,0.034,0.096,0.132,0.329,0.1,0.13,10.4,0.539,0.57,0.754,0.728,1.019,0.74,0.006,0.288,9.4,0.001,0.08,0.158
2022-Q1,1,2022,8.0,1.7,0.242,0.021,2329,10791,0.041,0.206,0.008,1.878,0.034,0.091,0.127,0.4,0.1,-0.058,11.0,0.48,0.48,0.744,0.719,0.984,0.756,0.006,0.297,10.0,0.001,-0.066,0.172
2021-Q4,4,2021,9.3,2.0,0.239,0.02,2472,11560,0.04,0.197,0.008,2.094,0.034,0.085,0.124,0.405,0.1,-0.012,11.8,0.477,0.407,0.711,0.686,0.953,0.746,0.005,0.333,10.8,0.001,0.057,0.162
2021-Q3,3,2021,10.1,2.3,0.258,0.022,2503,10937,0.042,0.206,0.008,1.977,0.038,0.089,0.126,0.396,0.1,0.003,11.3,0.485,0.37,0.728,0.702,0.92,0.792,0.006,0.316,10.3,0.001,0.052,0.131
2021-Q2,2,2021,11.4,2.7,0.272,0.022,2496,10396,0.042,0.199,0.007,2.077,0.041,0.086,0.118,0.256,0.1,0.124,11.7,0.593,0.416,0.753,0.725,0.953,0.79,0.005,0.287,10.7,0.001,0.065,0.204
2021-Q1,1,2021,9.6,2.2,0.256,0.021,2221,9765,0.039,0.183,0.009,1.204,0.045,0.084,0.117,0.346,0.1,-0.023,11.9,0.523,0.438,0.75,0.721,0.921,0.814,0.007,0.285,10.9,0.002,-0.07,0.18
2020-Q4,4,2020,7.9,1.7,0.243,0.019,2274,10495,0.037,0.15,0.006,1.603,0.046,0.08,0.114,0.339,0.1,0.15,12.5,0.529,0.491,0.73,0.701,0.882,0.827,0.004,0.305,11.5,0.002,0.077,0.159
2020-Q3,3,2020,7.3,1.5,0.229,0.017,1978,9746,0.036,0.19,0.008,1.175,0.05,0.079,0.111,0.386,0.1,0.085,12.7,0.491,0.462,0.738,0.71,0.888,0.83,0.006,0.296,11.7,0.002,0.068,0.161
2020-Q2,2,2020,6.2,1.2,0.225,0.016,1823,9128,0.036,0.241,0.007,1.441,0.052,0.078,0.109,0.431,0.1,-0.002,12.9,0.457,0.371,0.742,0.715,0.858,0.865,0.005,0.29,11.9,0.002,0.048,0.132
2020-Q1,1,2020,4.8,1.0,0.238,0.017,1826,8708,0.036,0.219,0.007,1.483,0.052,0.076,0.107,0.539,0.1,-0.177,13.2,0.368,0.351,0.738,0.709,0.879,0.839,0.005,0.294,12.2,0.001,-0.152,0.158
2019-Q4,4,2019,6.3,1.4,0.246,0.017,2219,10271,0.035,0.308,0.005,1.75,0.05,0.072,0.103,0.57,0.1,0.032,13.8,0.341,0.322,0.733,0.701,0.872,0.841,0.004,0.299,12.8,0.001,0.094,0.166
2019-Q3,3,2019,6.7,1.5,0.259,0.017,2151,9387,0.036,0.215,0.007,1.589,0.051,0.071,0.099,0.479,0.1,0.043,14.1,0.416,0.403,0.748,0.715,0.859,0.87,0.005,0.283,13.1,0.001,0.064,0.159
2019-Q2,2,2019,6.6,1.6,0.264,0.017,2062,8820,0.035,0.265,0.007,1.615,0.049,0.068,0.095,0.487,0.1,0.04,14.7,0.411,0.388,0.748,0.714,0.861,0.87,0.005,0.284,13.7,0.001,0.065,0.13
2019-Q1,1,2019,7.2,1.7,0.271,0.017,1983,8284,0.036,0.182,0.007,1.581,0.048,0.067,0.094,0.515,0.1,0.043,15.0,0.388,0.391,0.743,0.707,0.863,0.861,0.005,0.289,14.0,0.001,0.065,0.121
2018-Q4,4,2018,7.4,1.8,0.277,0.017,1901,7778,0.035,0.294,0.007,1.519,0.048,0.064,0.091,0.547,0.1,0.177,15.7,0.383,0.328,0.737,0.7,0.854,0.864,0.005,0.293,14.7,0.001,0.077,0.162
2018-Q3,3,2018,10.0,2.2,0.263,0.015,1614,7223,0.035,0.237,0.008,1.295,0.049,0.062,0.088,0.452,0.1,0.212,16.0,0.441,0.39,0.742,0.706,0.824,0.9,0.006,0.287,15.0,0.011,0.066,0.198
2018-Q2,2,2018,11.0,2.2,0.217,0.013,1332,6779,0.034,0.224,0.008,1.308,0.048,0.059,0.083,0.385,0.1,0.293,16.9,0.488,0.411,0.751,0.716,0.828,0.906,0.006,0.277,15.9,0.012,0.066,0.221
2018-Q1,1,2018,18.7,3.0,0.175,0.01,1030,6357,0.034,0.282,0.007,1.347,0.048,0.057,0.081,0.508,0.1,0.315,17.5,0.378,0.346,0.743,0.706,0.82,0.906,0.005,0.282,16.5,0.012,0.072,0.193
2017-Q4,4,2017,17.6,2.3,0.141,0.008,783,5933,0.034,0.31,0.007,1.327,0.049,0.056,0.081,0.5,0.1,0.142,17.7,0.453,0.171,0.74,0.698,0.822,0.9,0.005,0.284,16.7,0.014,0.039,0.215
2017-Q3,3,2017,16.7,2.0,0.135,0.007,686,5708,0.033,0.153,0.01,1.51,0.049,0.057,0.084,0.5,0.1,0.13,17.5,0.368,0.216,0.715,0.683,0.788,0.907,0.007,0.304,16.5,0.006,0.036,0.154
2017-Q2,2,2017,15.9,1.8,0.116,0.007,607,5508,0.032,0.272,0.011,1.308,0.048,0.056,0.082,0.63,0.1,0.1,17.9,0.278,0.181,0.715,0.683,0.789,0.907,0.008,0.304,16.9,0.005,0.023,0.162
2017-Q1,1,2017,16.6,1.7,0.108,0.006,552,5387,0.033,0.287,0.011,1.211,0.048,0.058,0.082,0.551,0.1,0.127,17.3,0.361,0.179,0.741,0.705,0.802,0.924,0.008,0.276,16.3,0.006,0.035,0.23
2016-Q4,4,2016,13.4,1.3,0.099,0.006,490,5204,0.033,0.141,0.009,1.265,0.048,0.06,0.086,0.524,0.1,0.13,16.6,0.369,0.145,0.736,0.699,0.789,0.933,0.006,0.278,15.6,0.006,0.025,0.219
2016-Q3,3,2016,14.3,1.2,0.089,0.006,433,5079,0.033,0.105,0.011,1.004,0.046,0.06,0.086,0.672,0.1,0.044,16.7,0.264,0.18,0.735,0.698,0.794,0.927,0.008,0.278,15.7,0.003,0.025,0.22
2016-Q2,2,2016,15.6,1.3,0.087,0.005,415,4955,0.033,0.023,0.012,0.902,0.045,0.06,0.086,0.67,0.1,0.059,16.6,0.265,0.202,0.741,0.705,0.82,0.903,0.009,0.274,15.6,0.004,0.022,0.218
2016-Q1,1,2016,15.9,1.3,0.082,0.005,392,4849,0.033,0.068,0.013,0.9,0.046,0.062,0.091,0.633,0.1,0.029,16.0,0.292,0.183,0.727,0.687,0.797,0.912,0.009,0.289,15.0,0.006,0.025,0.21
2015-Q4,4,2015,17.7,1.4,0.082,0.005,381,4732,0.033,-0.621,0.013,0.87,0.047,0.063,0.095,0.717,0.1,0.063,15.8,0.223,0.172,0.713,0.665,0.766,0.93,0.009,0.3,14.8,0.007,0.014,0.152
2015-Q3,3,2015,18.4,1.4,0.077,0.005,358,4668,0.032,0.266,0.015,0.779,0.049,0.065,0.096,0.657,0.1,0.021,15.3,0.271,0.142,0.734,0.679,0.774,0.948,0.01,0.288,14.3,0.012,0.022,0.158
2015-Q2,2,2015,19.9,1.5,0.077,0.005,351,4567,0.03,0.137,0.017,0.712,0.052,0.065,0.096,0.612,0.1,-0.034,15.4,0.303,0.183,0.73,0.677,0.79,0.924,0.011,0.29,14.4,0.011,-0.027,0.159
2015-Q1,1,2015,15.0,1.2,0.077,0.005,363,4692,0.031,0.137,0.021,0.67,0.055,0.068,0.106,0.623,0.1,0.032,14.8,0.294,0.174,0.693,0.636,0.761,0.911,0.013,0.329,13.8,0.009,0.023,0.115
