period,quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2024-Q4,4,2024,39.7,4.3,54.5,0.112,0.038,649,4419,427,2.4,2034,18729,0.33,0.5,1.5,0.5,-0.244,1852,0.67,0.429,0.685,1.2,0.4,11.3,0.5,3.0,10380,0.108,0.026,4641,0.6,-0.234,0.1,0.8,0.429,2.0,1.9,-0.403,0.013
2024-Q3,3,2024,25.7,3.7,28.8,0.154,0.054,361,2176,99,1.4,2692,18486,0.351,0.6,1.4,0.3,0.048,3103,0.686,0.391,0.281,1.0,0.4,5.9,0.7,2.8,7315,0.033,0.009,2437,1.0,-0.274,0.2,0.9,0.391,0.8,1.7,0.036,0.017
2024-Q2,2,2024,24.5,3.5,28.3,0.149,0.051,301,2120,90,0.2,2569,18185,0.343,0.6,1.3,0.4,0.078,2997,0.55,0.08,0.236,1.1,0.4,6.0,0.8,2.9,6345,0.106,0.031,2331,1.2,-0.313,0.2,1.1,0.08,2.7,1.8,-0.035,0.011
2024-Q1,1,2024,26.8,3.6,29.7,0.139,0.048,331,2110,85,1.4,2384,17984,0.344,0.6,1.2,0.3,0.011,3104,0.707,0.278,0.146,1.1,0.4,5.8,0.8,2.9,5609,0.127,0.033,2355,1.1,-0.117,0.2,0.9,0.278,0.6,1.8,0.024,0.022
2023-Q4,4,2023,26.3,3.5,22.9,0.139,0.048,393,2120,50,7.0,2358,17597,0.342,0.6,1.4,0.4,4.466,3031,0.512,0.41,0.405,1.0,0.4,5.7,0.9,2.9,8088,0.07,0.025,2463,0.9,-0.121,0.2,0.9,0.41,1.1,1.8,3.263,0.066
2023-Q3,3,2023,156.5,4.1,111.1,0.026,0.009,861,4259,104,2.7,431,16506,0.345,0.6,1.5,0.3,0.033,711,0.646,0.36,0.193,1.0,0.3,22.0,0.5,2.9,9003,0.033,0.009,5016,0.4,-0.129,0.1,0.8,0.36,0.7,1.8,-0.001,0.01
2023-Q2,2,2023,184.2,4.7,106.3,0.025,0.009,595,2577,92,0.8,417,16348,0.348,0.6,1.3,0.3,-0.659,711,0.541,0.198,0.074,0.9,0.3,21.6,0.7,2.9,7094,0.012,0.003,3080,0.6,-0.146,0.1,3.9,0.198,0.1,1.7,-0.418,-0.003
2023-Q1,1,2023,65.6,4.9,77.3,0.076,0.026,618,2226,82,0.9,1227,16392,0.349,0.6,1.5,0.4,-0.208,1223,0.514,0.209,0.116,0.9,0.3,12.7,0.5,2.9,9058,0.024,0.005,2761,0.6,-0.094,0.1,1.2,0.209,0.5,1.7,-0.228,0.007
2022-Q4,4,2022,50.6,4.8,58.7,0.099,0.033,530,2030,61,-0.9,1548,16286,0.347,0.6,1.5,0.4,-0.125,1583,0.347,,0.064,0.9,0.3,9.9,0.5,2.9,9284,0.068,0.015,2498,0.7,-0.084,0.1,2.6,,-0.1,1.7,-0.435,-0.037
2022-Q3,3,2022,49.4,5.2,35.1,0.112,0.038,407,1687,102,2.8,1769,16910,0.356,0.6,1.5,0.4,0.092,2800,0.298,0.173,0.09,0.8,0.3,5.5,0.4,2.8,9364,0.085,0.018,1992,0.9,-0.061,0.2,0.7,0.173,0.8,1.6,0.077,0.008
2022-Q2,2,2022,39.9,3.9,36.7,0.102,0.034,457,2276,135,3.5,1620,16775,0.348,0.6,1.5,0.4,0.351,2601,0.496,0.397,0.477,0.9,0.3,5.9,0.4,2.9,9288,0.154,0.033,2598,0.8,-0.085,0.1,0.9,0.397,1.4,1.7,0.117,0.049
2022-Q1,1,2022,59.0,4.4,36.2,0.076,0.026,461,2249,97,2.1,1198,15989,0.334,0.5,1.6,0.4,-0.025,2329,0.573,0.38,0.296,0.9,0.3,6.2,0.3,3.0,10776,0.229,0.054,2613,0.8,-0.015,0.1,0.9,0.38,0.9,1.8,0.084,0.057
2021-Q4,4,2021,50.9,4.1,46.6,0.081,0.026,464,2179,7431,3.0,1229,15133,0.323,0.5,1.5,0.4,-0.278,2148,0.475,0.331,0.091,1.0,0.3,7.1,0.3,3.1,9579,0.177,0.033,-4788,0.8,-0.037,0.1,0.6,0.331,0.5,1.9,0.183,0.027
2021-Q3,3,2021,26.0,3.0,52.4,0.116,0.037,482,2600,107,1.1,1702,14738,0.316,0.5,1.5,0.3,-0.234,1815,0.549,0.24,0.064,1.0,0.3,8.5,0.4,3.2,10115,0.173,0.034,2975,0.8,-0.039,0.1,0.9,0.24,0.3,2.0,-0.143,-0.013
2021-Q2,2,2021,24.1,3.6,30.9,0.153,0.049,347,2242,82,3.0,2221,14939,0.319,0.5,1.4,0.3,0.093,2118,0.442,0.278,0.285,1.0,0.3,6.9,0.5,3.1,8824,0.202,0.062,2507,1.1,-0.079,0.2,0.8,0.278,1.2,1.9,0.04,-0.05
2021-Q1,1,2021,27.8,3.6,26.4,0.135,0.047,308,1796,95,2.3,2032,15718,0.351,0.6,1.3,0.3,0.075,2036,0.415,0.255,0.326,0.8,0.3,6.7,0.6,2.8,6892,0.138,0.054,2009,1.2,-0.142,0.2,0.9,0.255,1.4,1.7,0.013,0.045
2020-Q4,4,2020,21.4,2.7,35.0,0.133,0.043,338,1916,75,4.8,1891,15048,0.323,0.5,1.4,0.3,-0.04,2010,0.53,0.266,0.308,0.9,0.3,7.1,0.7,3.1,8135,0.107,0.031,2179,1.1,-0.105,0.2,0.8,0.266,1.5,1.9,0.024,0.031
2020-Q3,3,2020,20.0,2.7,37.2,0.144,0.045,345,1587,53,3.3,1971,14592,0.324,0.5,1.3,0.3,0.048,1962,0.467,0.312,0.377,1.0,0.3,8.2,1.3,3.1,6686,0.125,0.033,1880,1.1,-0.111,0.2,0.8,0.312,1.4,1.9,0.061,0.029
2020-Q2,2,2020,13.6,1.8,29.5,0.141,0.044,304,1585,47,2.9,1880,14187,0.331,0.6,1.2,0.2,-0.132,1850,0.258,0.154,0.119,0.9,0.3,8.7,1.9,3.0,4776,0.028,0.011,1842,1.2,-0.103,0.2,0.8,0.154,1.0,1.8,-0.147,-0.017
