period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2024-Q4,4,2024,8.8,1.5,0.185,0.011,4720,27654,0.029,0.234,0.012,1.747,0.031,0.062,0.086,0.309,0.1,0.17,16.1,0.557,0.464,0.743,0.722,1.072,0.693,0.009,0.289,15.1,0.012,0.053,0.169
2024-Q3,3,2024,9.2,1.4,0.166,0.011,4035,26254,0.03,0.289,0.014,1.53,0.034,0.063,0.088,0.278,0.1,0.067,15.8,0.572,0.237,0.743,0.72,1.058,0.702,0.01,0.289,14.8,0.018,0.037,0.158
2024-Q2,2,2024,8.2,1.2,0.161,0.01,3781,25320,0.03,0.219,0.016,1.138,0.037,0.063,0.087,0.258,0.1,0.008,15.9,0.594,0.275,0.753,0.727,1.071,0.703,0.011,0.274,14.9,0.02,0.041,0.156
2024-Q1,1,2024,9.5,1.5,0.167,0.01,3751,24317,0.029,0.204,0.013,1.508,0.042,0.063,0.086,0.252,0.1,0.008,15.9,0.602,0.262,0.757,0.729,1.061,0.714,0.01,0.272,14.9,0.018,0.024,0.136
2023-Q4,4,2023,7.3,1.1,0.171,0.01,3722,23756,0.029,0.211,0.011,1.672,0.045,0.063,0.087,0.341,0.1,0.103,15.9,0.526,0.333,0.755,0.725,1.044,0.723,0.008,0.272,14.9,0.02,0.046,0.156
2023-Q3,3,2023,8.0,1.2,0.16,0.01,3376,22719,0.029,0.248,0.014,1.724,0.048,0.065,0.088,0.292,0.1,0.03,15.5,0.566,0.224,0.766,0.734,1.058,0.724,0.01,0.265,14.5,0.025,0.033,0.113
2023-Q2,2,2023,8.1,1.2,0.161,0.01,3279,21985,0.03,0.282,0.013,1.689,0.045,0.063,0.087,0.267,0.1,0.033,15.8,0.589,0.296,0.764,0.731,1.038,0.736,0.009,0.265,14.8,0.023,0.045,0.098
2023-Q1,1,2023,8.2,1.2,0.163,0.01,3175,21032,0.03,0.256,0.013,1.73,0.041,0.062,0.085,0.253,0.1,0.008,16.1,0.603,0.284,0.768,0.731,1.048,0.733,0.009,0.261,15.1,0.021,0.043,0.084
2022-Q4,4,2022,7.7,1.2,0.169,0.01,3148,20168,0.03,0.255,0.012,1.884,0.037,0.06,0.085,0.369,0.1,0.086,16.7,0.504,0.248,0.75,0.705,1.021,0.735,0.009,0.276,15.7,0.017,0.021,0.127
2022-Q3,3,2022,7.2,1.1,0.155,0.01,2899,19759,0.029,0.254,0.014,2.224,0.034,0.061,0.085,0.28,0.1,0.06,16.5,0.575,0.192,0.756,0.711,1.047,0.722,0.01,0.277,15.5,0.004,0.032,0.148
