period,quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2024-Q4,4,2024,15.5,2.7,10.4,0.167,0.123,159,18,28,39.8,4438,25717,0.736,3.0,3.9,3.6,-0.061,6367,0.162,0.091,0.082,0.1,0.0,0.3,0.4,1.4,42715,0.09,0.035,149,2.3,-0.102,1.2,0.8,0.091,1.1,0.3,-0.132,0.034
2024-Q3,3,2024,15.5,2.9,9.7,0.185,0.126,156,10,21,41.6,4728,24864,0.634,1.9,2.6,2.5,0.013,7339,0.166,0.114,0.1,0.1,0.0,0.3,0.3,1.6,41191,0.203,0.076,146,2.3,-0.106,1.1,0.8,0.114,1.1,0.5,0.005,-0.163
2024-Q2,2,2024,14.9,2.3,10.6,0.161,0.119,192,12,30,47.5,4666,29693,0.731,2.9,4.0,3.8,0.015,7301,0.191,0.133,0.111,0.1,0.0,0.3,0.4,1.4,52825,0.107,0.046,174,1.9,-0.111,1.1,0.8,0.133,1.1,0.3,0.026,0.044
2024-Q1,1,2024,15.9,2.6,11.9,0.166,0.122,193,11,25,26.6,4596,28436,0.726,2.8,4.0,3.9,-0.072,7114,0.158,0.124,0.108,0.1,0.1,0.4,0.4,1.4,50025,0.089,0.034,179,1.9,-0.073,1.0,0.8,0.124,1.1,0.4,-0.061,0.04
2023-Q4,4,2023,13.9,2.5,10.4,0.187,0.136,183,20,35,26.9,4954,27340,0.73,2.9,4.2,3.9,-0.043,7579,0.18,0.131,0.121,0.1,0.1,0.4,0.4,1.4,47246,0.087,0.034,169,2.0,-0.099,1.1,0.8,0.131,1.1,0.3,-0.14,0.042
2023-Q3,3,2023,15.9,3.1,10.2,0.205,0.143,178,13,30,25.4,5179,26242,0.726,2.9,4.4,4.2,-0.051,8816,0.166,0.121,0.107,0.1,0.1,0.4,0.2,1.4,45544,0.173,0.062,161,2.0,-0.085,1.1,0.8,0.121,1.1,0.4,-0.052,-0.069
2023-Q2,2,2023,12.5,2.4,9.6,0.204,0.145,187,11,26,56.0,5457,28195,0.748,3.2,5.0,4.8,-0.131,9297,0.181,0.145,0.131,0.1,0.1,0.4,0.2,1.3,50438,0.185,0.071,172,2.0,-0.101,1.0,0.8,0.145,1.1,0.3,-0.133,0.045
2023-Q1,1,2023,11.9,2.8,9.0,0.25,0.174,165,10,25,60.9,6281,26976,0.751,3.3,5.5,5.3,-0.005,10725,0.228,0.178,0.158,0.1,0.1,0.4,0.0,1.3,47396,0.197,0.067,150,2.2,-0.124,1.1,0.8,0.178,1.1,0.3,-0.018,0.056
2022-Q4,4,2022,11.8,2.9,8.4,0.267,0.183,141,17,30,40.0,6315,25551,0.723,2.9,4.5,4.1,0.095,10922,0.221,0.174,0.147,0.1,0.1,0.3,0.0,1.4,43164,0.172,0.06,128,2.6,-0.116,1.2,0.8,0.174,1.1,0.4,0.076,0.057
2022-Q3,3,2022,14.0,3.3,10.5,0.255,0.171,140,11,27,53.1,5766,24177,0.665,2.1,3.7,3.5,0.047,10146,0.181,0.147,0.125,0.2,0.1,0.4,0.0,1.5,41836,0.176,0.05,124,2.6,-0.144,1.2,0.8,0.147,1.1,0.5,0.041,-0.046
2022-Q2,2,2022,14.9,3.2,11.4,0.243,0.158,144,10,23,67.7,5505,25346,0.671,2.2,3.5,3.4,0.28,9746,0.25,0.224,0.184,0.1,0.1,0.4,0.0,1.5,43379,0.149,0.043,131,2.5,-0.16,1.1,0.8,0.224,1.0,0.5,0.212,0.088
2022-Q1,1,2022,17.9,3.3,13.3,0.192,0.131,147,10,22,51.0,4299,23288,0.641,1.9,3.1,3.0,0.139,8038,0.192,0.157,0.128,0.2,0.1,0.4,0.1,1.6,38572,0.155,0.043,135,2.5,-0.182,1.1,0.8,0.157,1.0,0.5,0.13,0.047
2021-Q4,4,2021,19.9,3.4,15.1,0.174,0.122,149,14,25,24.4,3776,22246,0.649,2.0,3.1,2.9,0.034,7112,0.175,0.117,0.097,0.2,0.1,0.4,0.1,1.5,34834,0.107,0.028,137,2.4,-0.251,1.1,0.8,0.117,1.1,0.5,0.051,0.039
2021-Q3,3,2021,25.8,4.4,16.3,0.175,0.124,154,12,20,32.7,3653,21403,0.671,2.2,3.4,3.3,0.049,6767,0.184,0.15,0.13,0.2,0.1,0.4,0.1,1.5,33850,0.119,0.029,146,2.4,-0.338,1.1,0.8,0.15,1.1,0.5,0.061,0.051
2021-Q2,2,2021,26.0,4.4,17.6,0.161,0.113,167,11,19,40.9,3482,20360,0.625,1.8,2.5,2.4,0.065,6378,0.167,0.126,0.1,0.1,0.1,0.3,0.2,1.6,30174,0.124,0.028,159,2.2,-0.381,1.0,0.8,0.126,1.0,0.6,0.104,-0.074
2021-Q1,1,2021,25.9,3.9,15.4,0.148,0.112,189,13,16,45.1,3269,21982,0.736,3.0,3.8,3.6,-0.199,5775,0.186,0.136,0.116,0.1,0.1,0.3,0.3,1.4,32445,0.125,0.038,186,1.9,-0.372,1.0,0.8,0.136,1.1,0.3,-0.011,-0.13
2020-Q4,4,2020,20.0,3.2,13.7,0.161,0.125,176,11,16,73.3,4081,25270,0.767,3.6,4.1,3.9,-0.145,5840,0.169,0.117,0.108,0.1,0.0,0.3,0.5,1.3,29680,0.108,0.034,171,2.1,-0.299,1.0,0.8,0.117,1.1,0.3,-0.117,0.035
2020-Q3,3,2020,14.1,2.8,12.8,0.198,0.147,163,12,16,134.0,4773,24418,0.757,3.4,3.7,3.5,-0.086,6615,0.182,0.14,0.127,0.1,0.0,0.2,0.8,1.3,28899,0.143,0.041,159,2.2,-0.326,1.1,0.8,0.14,1.2,0.3,-0.08,-0.108
2020-Q2,2,2020,11.9,2.3,9.4,0.206,0.151,169,10,16,72.4,5223,27377,0.78,3.9,4.2,4.1,-0.111,7194,0.162,0.122,0.114,0.0,0.0,0.2,1.3,1.3,35325,0.234,0.09,164,2.2,-0.256,1.0,0.8,0.122,1.2,0.3,-0.113,0.03
2020-Q1,1,2020,8.4,1.9,8.6,0.237,0.176,154,11,13,78.2,5874,26569,0.777,3.9,4.2,4.0,-0.058,8111,0.194,0.157,0.136,0.1,0.0,0.2,0.8,1.3,34308,0.102,0.039,152,2.4,-0.192,1.2,0.8,0.157,1.1,0.3,-0.053,0.048
2019-Q4,4,2019,13.9,3.4,8.0,0.253,0.191,23,11,14,80.5,6238,25363,0.78,4.0,4.2,4.1,-0.018,8566,0.222,0.193,0.174,0.1,0.0,0.2,0.9,1.3,32074,0.09,0.034,19,16.2,-0.155,1.2,1.3,0.193,1.1,0.3,-0.027,0.066
2019-Q3,3,2019,15.5,4.1,10.6,0.276,0.197,21,9,11,74.0,6351,23795,0.728,3.1,3.4,3.3,-0.025,8804,0.227,0.173,0.151,0.1,0.1,0.3,0.7,1.4,30146,0.126,0.033,20,17.0,-0.06,1.2,1.3,0.173,1.1,0.3,-0.025,0.021
2019-Q2,2,2019,13.5,3.8,11.1,0.284,0.187,24,12,21,66.6,6516,23302,0.684,2.5,2.8,2.7,-0.004,9033,0.22,0.177,0.148,0.1,0.1,0.3,0.7,1.5,28758,0.159,0.038,14,15.4,-0.029,1.1,1.3,0.177,1.1,0.4,-0.018,0.011
2019-Q1,1,2019,13.6,3.8,11.5,0.284,0.195,24,11,14,59.1,6543,23050,0.711,2.9,3.1,3.0,0.035,9202,0.233,0.187,0.163,0.1,0.1,0.4,0.6,1.4,27834,0.165,0.037,22,15.0,-0.033,1.2,1.3,0.187,1.1,0.4,0.023,-0.034
