period,quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2024-Q4,4,2024,33.0,2.6,21.0,0.082,0.052,208,73,17,21.9,1053,13290,0.636,2.4,2.3,2.0,0.238,1710,0.331,0.221,0.212,0.1,0.1,1.0,1.4,1.6,15813,0.106,0.044,264,1.8,-0.013,0.3,0.7,0.221,1.3,0.4,0.253,0.021
2024-Q3,3,2024,41.6,2.7,21.9,0.066,0.044,245,65,17,11.5,851,13021,0.666,2.8,3.2,2.8,0.227,1365,0.207,0.121,0.122,0.1,0.1,1.0,0.6,1.5,17495,0.102,0.051,292,1.5,-0.021,0.3,0.7,0.121,1.4,0.4,0.079,0.013
2024-Q2,2,2024,48.9,2.6,27.1,0.055,0.036,240,73,18,6.9,693,12856,0.667,2.8,3.1,2.7,0.105,1264,0.25,0.135,0.176,0.1,0.1,1.2,0.6,1.5,15989,0.074,0.032,296,1.5,-0.015,0.3,0.7,0.135,1.8,0.4,0.045,0.012
2024-Q1,1,2024,52.3,2.6,29.1,0.05,0.033,237,73,17,6.4,627,12699,0.66,2.7,3.0,2.6,-0.029,1209,0.235,0.131,0.104,0.1,0.1,1.3,0.7,1.5,15253,0.082,0.034,293,1.5,-0.021,0.3,0.6,0.131,1.3,0.4,0.022,0.022
2023-Q4,4,2023,32.5,1.7,26.5,0.052,0.033,225,78,19,6.3,646,12426,0.634,2.3,2.4,2.1,0.108,1183,0.211,0.095,0.153,0.1,0.1,1.5,0.8,1.6,14169,0.104,0.047,284,1.6,-0.022,0.3,0.7,0.095,2.3,0.4,-0.02,-0.015
2023-Q3,3,2023,32.6,1.5,20.2,0.046,0.03,239,89,16,6.7,583,12611,0.648,2.5,2.9,2.4,-0.183,1207,0.199,0.101,0.05,0.1,0.1,1.4,0.4,1.5,15424,0.1,0.06,312,1.5,-0.013,0.3,0.5,0.101,1.0,0.4,-0.072,0.016
2023-Q2,2,2023,26.5,1.5,15.2,0.058,0.037,227,86,17,3.6,713,12413,0.648,2.4,2.7,2.3,-0.138,1301,0.218,0.099,0.134,0.1,0.1,1.5,0.6,1.5,14342,0.079,0.06,297,1.6,-0.017,0.3,0.6,0.099,2.1,0.4,-0.091,-0.001
2023-Q1,1,2023,18.2,1.2,16.5,0.067,0.042,204,78,15,4.4,828,12425,0.645,2.4,2.7,2.2,-0.132,1431,0.243,0.129,0.133,0.1,0.1,1.4,0.6,1.6,14005,0.066,0.041,266,1.8,-0.014,0.3,0.6,0.129,1.8,0.4,-0.086,0.017
2022-Q4,4,2022,14.1,1.1,11.1,0.079,0.049,180,72,15,6.8,954,12216,0.626,2.1,2.3,1.9,-0.121,1566,0.187,0.101,0.101,0.1,0.1,1.3,0.5,1.6,13083,0.078,0.067,238,2.0,-0.014,0.3,0.5,0.101,1.8,0.5,-0.132,-0.03
2022-Q3,3,2022,18.2,1.6,10.1,0.087,0.055,209,88,13,8.0,1086,12598,0.633,2.2,2.7,2.1,-0.085,1804,0.27,0.172,0.143,0.1,0.1,1.2,0.4,1.6,15352,0.094,0.078,284,1.7,-0.031,0.3,0.7,0.172,1.2,0.5,-0.072,0.017
2022-Q2,2,2022,18.0,1.7,8.3,0.097,0.06,193,76,16,8.3,1187,12383,0.625,2.1,2.5,2.0,0.057,1945,0.264,0.169,0.183,0.2,0.1,1.2,0.5,1.6,14497,0.111,0.103,254,1.9,-0.029,0.3,0.7,0.169,1.5,0.5,-0.001,-0.003
2022-Q1,1,2022,28.7,2.6,13.3,0.092,0.057,183,63,12,8.0,1123,12422,0.626,2.1,2.4,2.0,0.056,1946,0.3,0.207,0.216,0.2,0.1,1.3,0.4,1.6,13393,0.094,0.053,234,2.0,-0.028,0.3,0.7,0.207,1.5,0.5,0.013,0.039
2021-Q4,4,2021,33.2,3.0,15.8,0.089,0.054,169,57,15,12.7,1063,11953,0.605,1.9,2.1,1.8,-0.224,1922,0.266,0.198,0.149,0.2,0.1,1.4,0.4,1.7,11854,0.103,0.046,211,2.2,-0.031,0.3,0.7,0.198,1.1,0.5,-0.005,-0.028
2021-Q3,3,2021,25.8,2.9,16.9,0.117,0.069,176,64,14,10.6,1371,12293,0.62,2.1,2.6,2.2,0.049,1930,0.34,0.252,0.202,0.2,0.1,1.4,0.3,1.6,14415,0.137,0.059,226,2.1,-0.024,0.3,0.7,0.252,1.1,0.5,0.132,0.016
2021-Q2,2,2021,26.4,2.8,24.6,0.11,0.067,179,64,17,7.0,1307,12104,0.613,2.0,2.5,2.2,0.073,1706,0.289,0.17,0.133,0.2,0.1,1.6,0.3,1.6,13282,0.124,0.041,227,2.0,-0.027,0.3,0.6,0.17,1.3,0.5,0.118,0.012
2021-Q1,1,2021,22.5,2.3,23.1,0.103,0.062,198,60,15,6.7,1217,11961,0.605,1.9,2.5,2.2,0.138,1526,0.288,0.205,0.169,0.2,0.1,1.9,0.4,1.7,13035,0.089,0.036,243,1.8,-0.026,0.3,0.6,0.205,1.3,0.5,0.172,0.009
2020-Q4,4,2020,27.6,2.5,21.1,0.091,0.054,207,61,21,5.7,1069,11855,0.595,1.8,2.2,2.0,0.392,1302,0.262,0.167,0.295,0.2,0.2,2.3,0.4,1.7,12532,0.122,0.062,247,1.8,-0.03,0.3,0.7,0.167,2.4,0.6,0.208,0.054
2020-Q3,3,2020,15.8,1.1,24.0,0.068,0.04,196,74,24,3.9,768,11243,0.568,1.6,1.9,1.7,0.001,1078,0.203,0.122,0.159,0.2,0.1,2.8,0.3,1.8,10420,0.125,0.065,247,1.9,-0.019,0.2,0.7,0.122,1.9,0.6,-0.007,-0.032
2020-Q2,2,2020,13.4,0.9,15.3,0.067,0.04,217,86,19,2.3,767,11611,0.597,1.8,2.4,2.0,-0.079,1086,0.21,0.102,0.125,0.2,0.2,2.8,0.3,1.7,12035,0.083,0.076,285,1.7,-0.018,0.2,0.7,0.102,1.7,0.5,0.027,-0.006
2020-Q1,1,2020,9.4,0.7,12.3,0.072,0.043,204,79,18,1.2,833,11676,0.607,1.9,2.6,2.2,0.005,1057,0.187,0.07,0.082,0.2,0.2,3.0,0.3,1.6,12174,0.095,0.118,265,1.8,-0.024,0.3,0.6,0.07,2.1,0.5,-0.033,0.008
