period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2024-Q4,4,2024,6.3,1.4,0.258,0.02,3651,16210,0.052,0.132,0.019,0.687,0.047,0.081,0.128,0.375,0.1,-0.018,12.3,0.497,0.343,0.696,0.635,1.011,0.688,0.012,0.317,11.3,0.009,0.057,0.289
2024-Q3,3,2024,6.3,1.5,0.281,0.023,3717,15331,0.059,0.089,0.019,0.659,0.056,0.085,0.134,0.346,0.1,0.078,11.7,0.517,0.415,0.697,0.633,1.004,0.694,0.012,0.316,10.7,0.01,0.014,0.367
2024-Q2,2,2024,5.3,1.2,0.27,0.022,3447,15114,0.054,0.069,0.021,0.588,0.062,0.085,0.137,0.365,0.1,0.086,11.8,0.499,0.392,0.693,0.618,0.999,0.694,0.013,0.314,10.8,0.01,0.063,0.344
2024-Q1,1,2024,6.1,1.4,0.256,0.021,3173,14220,0.051,0.076,0.022,0.566,0.067,0.082,0.137,0.317,0.1,0.101,12.1,0.545,0.414,0.676,0.603,0.96,0.705,0.014,0.328,11.1,0.01,0.071,0.26
2023-Q4,4,2023,5.6,1.2,0.247,0.02,2881,13275,0.048,0.095,0.018,0.658,0.068,0.077,0.135,0.319,0.1,0.19,13.0,0.536,0.418,0.636,0.57,0.926,0.686,0.01,0.366,12.0,0.011,0.078,0.301
2023-Q3,3,2023,5.7,1.1,0.222,0.019,2421,12310,0.048,0.192,0.023,0.542,0.068,0.085,0.147,0.378,0.1,0.058,11.8,0.497,0.413,0.651,0.574,0.854,0.762,0.013,0.35,10.8,0.013,0.063,0.183
2023-Q2,2,2023,5.7,1.1,0.223,0.018,2288,11581,0.048,0.227,0.022,0.613,0.059,0.084,0.141,0.349,0.1,0.01,12.0,0.517,0.34,0.657,0.594,0.928,0.708,0.013,0.354,11.0,0.012,-0.009,0.209
2023-Q1,1,2023,5.6,1.1,0.226,0.019,2265,11681,0.049,0.144,0.018,0.618,0.05,0.089,0.142,0.346,0.1,0.022,11.2,0.523,0.388,0.697,0.629,1.155,0.604,0.012,0.314,10.2,0.011,0.047,0.281
2022-Q4,4,2022,4.7,0.9,0.235,0.02,2217,11157,0.05,0.16,0.017,0.704,0.044,0.094,0.148,0.455,0.1,0.03,10.7,0.435,0.307,0.71,0.634,1.223,0.58,0.011,0.302,9.7,0.01,0.049,0.298
2022-Q3,3,2022,5.9,1.2,0.24,0.02,2151,10632,0.049,0.169,0.015,0.81,0.041,0.093,0.151,0.371,0.1,0.084,10.7,0.503,0.402,0.679,0.618,1.186,0.573,0.009,0.337,9.7,0.01,0.051,0.287
