period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2024-Q4,4,2024,11.0,2.5,0.251,0.022,3254.0,14507,0.035,0.188,0.016,0.833,0.047,0.085,0.131,0.297,0.1,0.004,11.7,0.56,0.481,0.667,0.652,1.171,0.57,0.01,0.368,10.7,0.004,0.066,0.204
2024-Q3,3,2024,8.4,2.0,0.288,0.024,3240.0,13613,0.036,0.255,0.02,0.775,0.052,0.089,0.127,0.303,0.1,0.16,11.2,0.56,0.46,0.725,0.702,1.179,0.615,0.014,0.309,10.2,0.01,0.061,0.213
2024-Q2,2,2024,8.6,1.9,0.261,0.021,2792.0,12833,0.034,0.246,0.017,0.771,0.057,0.087,0.121,0.258,0.1,0.259,11.5,0.593,0.501,0.739,0.717,1.102,0.671,0.012,0.294,10.5,0.011,0.053,0.253
2024-Q1,1,2024,6.8,1.2,0.215,0.018,2218.0,12190,0.033,0.226,0.014,0.89,0.063,0.089,0.118,0.307,0.1,0.189,11.3,0.552,0.513,0.771,0.751,1.174,0.657,0.01,0.262,10.3,0.011,0.067,0.271
2023-Q4,4,2023,7.2,1.2,0.192,0.016,1865.0,11420,0.032,0.485,0.013,0.938,0.067,0.089,0.124,0.246,0.1,0.543,11.2,0.591,0.405,0.745,0.719,1.16,0.642,0.01,0.287,10.2,0.017,0.288,0.17
2023-Q3,3,2023,9.8,1.3,0.145,0.011,1209.0,8867,0.032,0.155,0.028,0.675,0.065,0.072,0.1,0.431,0.1,0.002,13.8,0.456,0.319,0.765,0.721,1.154,0.663,0.02,0.261,12.8,0.009,0.039,0.157
2023-Q2,2,2023,8.3,1.2,0.159,0.011,1207.0,8535,0.036,0.151,0.024,0.721,0.061,0.073,0.101,0.513,0.1,-0.168,13.7,0.392,0.245,0.766,0.723,1.131,0.677,0.018,0.26,12.7,0.01,0.008,0.117
2023-Q1,1,2023,7.1,1.2,0.199,0.014,1450.0,8468,0.039,0.115,0.015,1.111,0.054,0.075,0.104,0.429,0.1,-0.039,13.3,0.453,0.397,0.749,0.718,1.065,0.703,0.01,0.282,12.3,0.012,0.052,0.165
2022-Q4,4,2022,5.8,1.1,0.221,0.015,1509.0,8052,0.04,0.247,0.015,1.421,0.048,0.073,0.102,0.409,0.1,0.005,13.6,0.455,0.181,0.746,0.719,1.091,0.684,0.01,0.29,12.6,0.007,0.029,0.127
2022-Q3,3,2022,5.0,1.0,0.227,0.016,1502.0,7828,0.043,0.072,0.014,1.431,0.048,0.075,0.103,0.377,0.1,0.091,13.4,0.498,0.286,0.759,0.727,1.178,0.644,0.01,0.274,12.4,0.002,0.184,0.164
