period,quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2024-Q4,4,2024,18.2,2.0,12.0,0.111,0.036,11,21,32,7.0,2274,20475,0.32,0.6,1.2,0.9,-0.032,3701,0.065,0.006,0.008,0.6,0.2,3.9,35.6,3.1,8796,0.514,0.286,-1,34.5,-0.146,3.5,0.7,0.006,1.8,1.8,0.003,0.022
2024-Q3,3,2024,18.9,2.2,11.5,0.118,0.039,11,23,32,-0.9,2349,20031,0.363,0.7,1.2,0.9,-0.184,3688,0.053,,0.001,0.5,0.2,3.2,23.7,2.8,8929,0.429,0.245,3,32.1,-0.148,3.7,0.3,,-1.6,1.4,-0.118,0.001
2024-Q2,2,2024,14.2,2.0,10.7,0.146,0.047,9,21,28,8.9,2878,20007,0.34,0.6,1.2,0.9,0.12,4183,0.063,0.017,0.016,0.6,0.2,3.3,28.4,2.9,8660,0.544,0.296,2,39.5,-0.134,3.8,0.8,0.017,1.2,1.6,0.091,-0.058
2024-Q1,1,2024,14.0,1.7,12.6,0.125,0.044,9,22,31,6.4,2569,21248,0.334,0.6,1.2,0.8,0.161,3832,0.062,0.016,0.014,0.5,0.2,3.1,26.0,3.0,8651,0.564,0.286,0,39.9,-0.117,3.8,0.7,0.016,1.2,1.7,0.156,0.041
2023-Q4,4,2023,15.0,1.6,13.0,0.111,0.037,8,22,32,2.0,2213,20403,0.328,0.6,1.2,0.9,-0.158,3314,0.058,0.006,0.009,0.7,0.3,4.0,29.7,3.0,7687,0.458,0.295,-2,45.1,-0.106,3.6,0.8,0.006,2.0,1.7,-0.093,0.025
2023-Q3,3,2023,13.7,1.8,11.6,0.137,0.044,7,23,33,2.0,2627,19904,0.309,0.5,1.2,0.8,0.237,3652,0.052,0.006,0.01,0.6,0.2,3.3,21.5,3.2,8643,0.343,0.221,-3,53.7,-0.096,3.7,0.6,0.006,2.6,1.9,0.056,0.02
2023-Q2,2,2023,16.6,1.8,10.5,0.112,0.034,5,25,36,3.3,2124,19510,0.311,0.5,1.1,0.8,0.452,3460,0.06,0.011,0.012,0.6,0.2,4.1,22.5,3.2,6001,0.578,0.387,-6,77.0,-0.093,3.5,0.8,0.011,1.4,1.9,0.334,-0.01
2023-Q1,1,2023,24.2,1.8,18.3,0.074,0.024,6,24,33,2.3,1463,19716,0.365,0.7,1.1,0.8,0.254,2593,0.053,0.008,0.009,0.5,0.2,4.8,17.1,2.7,5471,0.317,0.171,-2,57.6,-0.115,4.0,0.7,0.008,1.5,1.4,0.08,0.02
2022-Q4,4,2022,25.7,1.6,18.5,0.06,0.021,6,19,25,5.1,1167,19332,0.333,0.6,1.1,0.7,0.63,2402,0.055,0.011,0.015,0.5,0.2,4.8,17.0,3.0,4467,0.418,0.244,1,58.3,-0.113,4.4,0.7,0.011,1.9,1.7,0.162,0.054
2022-Q3,3,2022,41.7,1.6,21.3,0.038,0.014,5,18,24,1.3,716,18335,0.328,0.6,1.0,0.7,0.026,2068,0.038,0.003,0.001,0.5,0.2,5.9,13.2,3.0,1944,0.286,0.16,-1,70.9,-0.107,4.1,0.3,0.003,1.6,1.7,0.095,0.004
