period,quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2024-Q4,4,2024,15.0,2.8,12.3,0.182,0.128,199,35,42,172.1,3376,18152,0.696,2.7,2.9,2.7,0.004,3888,0.28,0.094,0.108,0.0,0.0,0.1,1.4,1.4,16410,0.183,0.069,192,1.8,-0.078,0.9,0.8,0.094,1.5,0.4,-0.261,-0.066
2024-Q3,3,2024,16.6,2.9,12.9,0.172,0.131,220,32,26,192.2,3361,19442,0.774,4.4,4.3,3.9,0.018,5262,0.297,0.155,0.146,0.0,0.0,0.1,0.7,1.3,18408,0.207,0.079,225,1.7,-0.071,1.0,0.8,0.155,1.2,0.2,0.056,0.046
2024-Q2,2,2024,17.0,3.0,13.9,0.176,0.125,218,40,38,179.2,3303,18593,0.698,2.8,3.2,2.9,0.021,4984,0.302,0.168,0.154,0.0,0.0,0.2,2.7,1.4,18763,0.24,0.085,220,1.7,-0.076,0.9,0.8,0.168,1.2,0.4,0.052,-0.053
2024-Q1,1,2024,16.4,2.7,14.9,0.168,0.13,222,39,29,119.3,3233,19635,0.783,4.6,4.7,4.2,0.007,4737,0.292,0.146,0.139,0.0,0.0,0.2,3.3,1.3,19524,0.121,0.046,231,1.6,-0.086,1.0,0.8,0.146,1.2,0.2,0.04,0.04
2023-Q4,4,2023,17.9,3.0,15.6,0.174,0.12,216,39,45,116.9,3210,18878,0.711,3.0,3.2,2.9,-0.023,4555,0.288,0.106,0.111,0.0,0.0,0.2,3.1,1.4,18329,0.198,0.073,210,1.7,-0.065,0.9,0.8,0.106,1.4,0.3,-0.347,-0.04
2023-Q3,3,2023,20.1,3.4,16.3,0.17,0.125,219,33,29,86.1,3285,19667,0.755,3.8,4.0,3.7,-0.066,6971,0.301,0.124,0.141,0.0,0.0,0.2,1.7,1.3,19459,0.09,0.033,224,1.7,-0.079,0.9,0.8,0.124,1.5,0.3,-0.085,0.042
2023-Q2,2,2023,19.9,3.7,17.1,0.191,0.139,198,34,31,78.2,3517,18870,0.719,3.1,3.4,3.1,-0.101,7621,0.299,0.135,0.139,0.0,0.0,0.2,1.8,1.4,18460,0.147,0.044,201,1.8,-0.09,1.0,0.8,0.135,1.4,0.3,-0.139,0.005
2023-Q1,1,2023,21.3,4.4,18.1,0.221,0.164,187,35,32,49.7,3914,18782,0.765,4.3,4.5,4.0,-0.039,8856,0.308,0.14,0.156,0.0,0.0,0.2,1.7,1.3,18653,0.117,0.029,190,2.0,-0.129,1.1,0.8,0.14,1.4,0.2,-0.063,0.041
2022-Q4,4,2022,18.4,4.2,18.0,0.236,0.161,174,29,38,72.9,4072,18042,0.671,2.5,2.9,2.7,-0.049,9448,0.281,0.1,0.104,0.0,0.0,0.1,1.8,1.5,17646,0.165,0.037,165,2.1,-0.12,1.1,0.8,0.1,1.4,0.4,-0.057,-0.051
2022-Q3,3,2022,19.1,4.3,18.9,0.241,0.176,187,26,22,126.0,4283,19003,0.718,3.2,3.5,3.3,0.195,10025,0.312,0.154,0.155,0.0,0.0,0.1,1.2,1.4,18973,0.11,0.023,191,2.0,-0.108,1.1,0.8,0.154,1.3,0.3,0.176,0.06
2022-Q2,2,2022,19.1,3.8,22.4,0.21,0.153,204,31,27,186.8,3583,17933,0.734,3.6,3.8,3.5,0.17,8527,0.343,0.212,0.185,0.0,0.0,0.2,1.5,1.4,17547,0.112,0.022,208,1.8,-0.096,1.0,0.8,0.212,1.2,0.3,0.184,0.075
2022-Q1,1,2022,23.0,4.2,23.1,0.19,0.138,200,37,34,114.3,3061,16686,0.716,3.2,3.5,3.2,0.068,7205,0.298,0.172,0.16,0.0,0.0,0.2,1.0,1.4,16040,0.142,0.03,202,1.8,-0.074,1.0,0.8,0.172,1.2,0.3,0.136,0.008
2021-Q4,4,2021,25.0,4.3,26.3,0.179,0.127,207,30,39,127.7,2867,16546,0.696,2.9,3.2,2.9,-0.04,6343,0.277,0.153,0.146,0.0,0.0,0.2,0.9,1.4,15619,0.16,0.033,199,1.8,-0.071,0.9,0.8,0.153,1.3,0.3,-0.05,0.0
2021-Q3,3,2021,51.3,9.2,21.2,0.187,0.136,217,32,27,33.7,2985,16550,0.747,3.9,4.2,3.9,-0.199,6677,0.267,0.087,0.104,0.0,0.0,0.2,1.0,1.3,15845,0.146,0.036,222,1.7,-0.082,0.9,0.7,0.087,1.6,0.3,-0.212,0.02
2021-Q2,2,2021,44.4,10.2,18.7,0.243,0.175,178,29,28,26.0,3725,16233,0.729,3.5,3.8,3.5,-0.034,8468,0.313,0.148,0.138,0.0,0.0,0.2,0.8,1.4,15476,0.142,0.031,179,2.0,-0.094,1.1,0.8,0.148,1.2,0.3,-0.026,0.049
2021-Q1,1,2021,45.7,11.4,18.0,0.267,0.193,164,39,24,-49.4,3854,15477,0.736,3.6,4.0,3.5,-0.477,8690,0.292,0.119,0.157,0.0,0.0,0.2,0.8,1.4,14379,0.131,0.028,179,2.2,-0.08,1.1,0.7,0.119,1.8,0.3,0.007,-0.502
2020-Q4,4,2020,25.7,6.1,19.5,0.244,0.174,179,32,39,96.3,7365,31094,0.728,3.4,3.8,3.5,0.107,8629,0.314,0.2,0.186,0.0,0.0,0.2,0.9,1.4,14340,0.128,0.025,172,2.0,-0.093,1.0,0.8,0.2,1.2,0.3,0.084,0.007
