period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2024-Q4,4,2024,5.1,0.8,0.171,0.013,2267,14230,0.033,0.119,0.026,0.651,0.047,0.077,0.111,0.242,0.1,0.18,12.9,0.602,0.211,0.75,0.696,1.04,0.721,0.018,0.267,11.9,0.014,0.038,0.186
2024-Q3,3,2024,5.2,0.7,0.148,0.012,1922,13714,0.03,0.153,0.031,0.621,0.055,0.081,0.116,0.301,0.1,-0.039,12.3,0.559,0.452,0.744,0.699,1.019,0.729,0.022,0.28,11.3,0.009,-0.006,0.144
2024-Q2,2,2024,4.9,0.7,0.157,0.013,2000,13799,0.033,-0.007,0.03,0.632,0.061,0.085,0.122,0.273,0.1,0.043,11.8,0.581,0.521,0.75,0.699,1.004,0.747,0.021,0.272,10.8,0.009,0.055,0.132
2024-Q1,1,2024,5.1,0.8,0.158,0.013,1918,13081,0.034,0.115,0.03,0.693,0.07,0.086,0.122,0.191,0.1,0.044,11.7,0.646,0.55,0.76,0.705,0.985,0.772,0.021,0.262,10.7,0.014,0.066,0.071
2023-Q4,4,2023,5.1,0.8,0.161,0.013,1837,12269,0.036,0.078,0.028,0.777,0.073,0.079,0.114,0.205,0.1,0.014,12.6,0.626,0.1,0.747,0.696,0.98,0.762,0.02,0.276,11.6,0.012,0.007,0.137
2023-Q3,3,2023,5.3,0.8,0.161,0.013,1812,12182,0.036,0.037,0.032,0.583,0.072,0.083,0.118,0.337,0.1,-0.067,12.0,0.563,0.448,0.773,0.706,0.984,0.786,0.023,0.244,11.0,0.013,0.04,0.118
2023-Q2,2,2023,4.7,0.8,0.181,0.014,1943,11712,0.038,0.193,0.03,0.569,0.065,0.081,0.117,0.214,0.1,-0.013,12.3,0.623,0.384,0.764,0.696,0.995,0.768,0.021,0.25,11.3,0.014,0.039,0.094
2023-Q1,1,2023,4.0,0.7,0.191,0.015,1969,11269,0.038,0.058,0.028,0.727,0.058,0.08,0.112,0.195,0.1,-0.064,12.4,0.641,0.464,0.796,0.716,1.044,0.763,0.02,0.218,11.4,0.008,-0.035,0.099
2022-Q4,4,2022,3.8,0.7,0.196,0.015,2103,11674,0.036,0.088,0.025,0.748,0.05,0.078,0.111,0.268,0.1,-0.056,12.9,0.561,0.102,0.787,0.699,1.066,0.739,0.018,0.223,11.9,0.008,0.011,0.064
2022-Q3,3,2022,3.9,0.8,0.23,0.016,2229,11548,0.04,0.093,0.023,0.742,0.049,0.08,0.112,0.222,0.1,0.155,12.5,0.619,0.487,0.808,0.712,1.104,0.732,0.017,0.201,11.5,0.01,0.059,0.108
2022-Q2,2,2022,4.9,0.9,0.213,0.014,1930,10900,0.039,0.099,0.026,0.603,0.048,0.076,0.107,0.203,0.1,0.134,13.1,0.642,0.441,0.799,0.714,1.097,0.728,0.018,0.211,12.1,0.014,0.056,0.124
2022-Q1,1,2022,8.9,1.5,0.197,0.013,1701,10326,0.041,0.1,0.017,0.806,0.047,0.073,0.102,0.212,0.1,0.236,13.6,0.631,0.55,0.791,0.721,1.114,0.71,0.013,0.22,12.6,0.018,0.047,0.197
2021-Q4,4,2021,11.9,1.7,0.166,0.011,1376,9858,0.037,0.202,0.014,0.96,0.048,0.07,0.098,0.226,0.1,0.063,14.2,0.622,0.157,0.786,0.715,1.107,0.71,0.01,0.224,13.2,0.019,0.244,0.186
2021-Q3,3,2021,16.6,2.7,0.178,0.011,1294,7925,0.036,0.149,0.022,0.554,0.05,0.062,0.085,0.196,0.1,0.187,16.2,0.643,0.321,0.81,0.731,1.047,0.774,0.016,0.196,15.2,0.021,0.08,0.162
2021-Q2,2,2021,21.3,3.2,0.16,0.009,1090,7339,0.033,0.064,0.021,0.532,0.052,0.058,0.08,0.251,0.1,0.147,17.3,0.599,0.244,0.813,0.722,1.066,0.763,0.015,0.187,16.3,0.018,0.037,0.153
2021-Q1,1,2021,19.9,2.7,0.154,0.009,951,7077,0.029,0.129,0.019,0.589,0.06,0.061,0.082,0.349,0.1,0.07,16.3,0.521,0.521,0.803,0.743,1.033,0.777,0.014,0.205,15.3,0.014,-0.11,0.101
2020-Q4,4,2020,14.1,1.6,0.127,0.007,889,7953,0.028,0.284,0.017,0.69,0.061,0.059,0.08,0.262,0.1,-0.003,16.9,0.589,0.139,0.809,0.74,1.007,0.804,0.013,0.197,15.9,0.014,0.022,0.152
2020-Q3,3,2020,12.7,1.5,0.13,0.007,891,7785,0.026,0.2,0.025,0.567,0.064,0.059,0.082,0.366,0.1,0.078,16.8,0.507,0.24,0.809,0.727,0.985,0.821,0.018,0.196,15.8,0.009,0.046,0.156
2020-Q2,2,2020,11.6,1.3,0.126,0.007,827,7443,0.026,0.06,0.025,0.477,0.064,0.058,0.079,0.327,0.1,-0.001,17.1,0.545,0.275,0.817,0.734,1.029,0.794,0.018,0.187,16.1,0.01,0.189,0.197
