period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2024-Q4,4,2024,7.2,1.3,0.2,0.014,5350,29159,0.036,0.177,0.024,0.684,0.041,0.073,0.102,0.425,0.1,0.153,13.6,0.447,0.486,0.734,0.721,0.951,0.771,0.017,0.288,12.6,0.001,0.072,0.117
2024-Q3,3,2024,7.2,1.2,0.184,0.013,4640,27201,0.036,0.121,0.025,0.75,0.045,0.073,0.098,0.454,0.1,0.069,13.7,0.437,0.304,0.764,0.748,0.927,0.824,0.018,0.257,12.7,0.0,0.045,0.113
2024-Q2,2,2024,6.6,1.1,0.18,0.012,4339,26033,0.035,0.145,0.024,0.697,0.05,0.068,0.095,0.559,0.1,0.032,14.6,0.357,0.304,0.743,0.72,0.941,0.79,0.017,0.269,13.6,0.0,0.024,0.122
2024-Q1,1,2024,7.5,1.2,0.179,0.012,4206,25413,0.036,0.134,0.023,0.725,0.057,0.069,0.096,0.515,0.1,0.027,14.5,0.386,0.307,0.764,0.722,0.938,0.814,0.016,0.243,13.5,0.001,0.048,0.116
2023-Q4,4,2023,6.8,1.2,0.183,0.012,4094,24259,0.037,0.16,0.023,0.688,0.062,0.068,0.095,0.508,0.1,0.07,14.7,0.403,0.337,0.769,0.716,0.945,0.814,0.016,0.231,13.7,0.004,0.046,0.101
2023-Q3,3,2023,8.0,1.3,0.179,0.012,3824,23185,0.039,0.182,0.022,0.642,0.06,0.067,0.093,0.509,0.1,0.062,14.9,0.385,0.276,0.765,0.725,0.93,0.823,0.016,0.239,13.9,0.013,0.046,0.122
2023-Q2,2,2023,8.3,1.3,0.175,0.012,3600,22168,0.042,0.146,0.018,0.771,0.053,0.067,0.091,0.453,0.1,0.198,14.9,0.444,0.286,0.774,0.74,0.918,0.844,0.013,0.233,13.9,0.021,0.03,0.111
2023-Q1,1,2023,8.7,1.2,0.149,0.01,3005,21513,0.037,0.142,0.012,1.038,0.046,0.068,0.09,0.502,0.1,0.124,14.7,0.397,0.279,0.788,0.752,0.937,0.841,0.009,0.218,13.7,0.025,0.05,0.086
2022-Q4,4,2022,8.4,1.1,0.138,0.009,2673,20489,0.033,0.228,0.01,1.31,0.041,0.065,0.088,0.338,0.1,0.215,15.3,0.611,0.224,0.792,0.741,0.965,0.821,0.007,0.207,14.3,0.024,0.046,0.131
2022-Q3,3,2022,9.4,1.1,0.118,0.008,2199,19594,0.027,0.183,0.009,1.537,0.039,0.065,0.088,0.439,0.1,0.16,15.3,0.444,0.172,0.793,0.746,0.919,0.863,0.007,0.218,14.3,0.018,0.032,0.18
2022-Q2,2,2022,11.3,1.1,0.108,0.007,1896,18988,0.023,0.575,0.013,1.384,0.038,0.065,0.086,0.39,0.1,-0.08,15.4,0.372,0.131,0.801,0.752,0.908,0.882,0.01,0.216,14.4,0.009,0.009,0.148
2022-Q1,1,2022,15.4,1.7,0.119,0.007,2060,18820,0.024,0.465,0.013,1.342,0.038,0.064,0.086,0.553,0.1,0.139,15.6,0.359,0.249,0.807,0.748,0.902,0.895,0.01,0.211,14.6,0.006,0.036,0.157
2021-Q4,4,2021,17.4,1.7,0.108,0.007,1809,18173,0.026,0.459,0.015,1.209,0.039,0.066,0.088,0.52,0.1,0.006,15.2,0.358,0.186,0.813,0.744,0.908,0.896,0.011,0.202,14.2,0.005,0.026,0.14
2021-Q3,3,2021,14.3,1.5,0.11,0.007,1798,17707,0.028,0.211,0.016,1.122,0.042,0.068,0.094,0.577,0.1,-0.022,14.8,0.328,0.152,0.794,0.721,0.851,0.932,0.011,0.227,13.8,0.004,0.099,0.113
2021-Q2,2,2021,16.6,1.9,0.12,0.007,1838,16116,0.027,0.337,0.016,1.028,0.044,0.06,0.084,0.492,0.1,0.285,16.6,0.397,0.234,0.787,0.716,0.832,0.946,0.011,0.228,15.6,0.005,0.022,0.162
2021-Q1,1,2021,15.0,1.4,0.094,0.006,1430,15772,0.027,0.274,0.015,1.069,0.048,0.06,0.083,0.644,0.1,0.006,16.7,0.285,0.193,0.795,0.718,0.828,0.961,0.011,0.218,15.7,0.004,0.027,0.165
2020-Q4,4,2020,11.9,1.1,0.096,0.006,1422,15359,0.027,0.399,0.017,0.937,0.051,0.059,0.085,0.785,0.1,0.128,17.0,0.177,0.167,0.768,0.691,0.795,0.966,0.012,0.241,16.0,0.005,0.027,0.149
2020-Q3,3,2020,10.9,0.9,0.087,0.005,1260,14960,0.025,0.369,0.021,0.741,0.053,0.058,0.088,0.546,0.1,-0.023,17.2,0.363,0.149,0.742,0.66,0.747,0.994,0.014,0.268,16.2,0.008,0.028,0.102
