period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2024-Q4,4,2024,8.9,1.3,0.156,0.024,3046,20940,0.042,0.1,0.011,1.139,0.033,0.151,0.234,0.496,0.2,-0.047,6.6,0.367,0.358,0.686,0.645,1.184,0.579,0.007,0.365,5.6,0.004,0.025,0.218
2024-Q3,3,2024,7.6,1.2,0.168,0.026,3197,20434,0.044,0.24,0.013,1.035,0.036,0.156,0.231,0.292,0.2,0.052,6.4,0.569,0.493,0.732,0.676,1.265,0.579,0.009,0.312,5.4,0.006,0.042,0.317
2024-Q2,2,2024,7.7,1.2,0.166,0.026,3038,19611,0.044,0.294,0.012,1.011,0.039,0.153,0.234,0.294,0.2,0.088,6.6,0.565,0.467,0.722,0.652,1.229,0.588,0.008,0.314,5.6,0.007,0.005,0.269
2024-Q1,1,2024,8.3,1.2,0.156,0.025,2792,19515,0.041,0.307,0.011,1.061,0.042,0.156,0.247,0.265,0.2,0.096,6.4,0.591,0.512,0.703,0.631,1.221,0.576,0.007,0.334,5.4,0.006,0.047,0.202
2023-Q4,4,2023,6.1,0.8,0.148,0.023,2548,18631,0.04,0.31,0.012,1.021,0.046,0.155,0.254,0.328,0.2,0.052,6.5,0.522,0.407,0.688,0.611,1.141,0.603,0.007,0.345,5.5,0.005,0.035,0.233
2023-Q3,3,2023,6.7,0.9,0.146,0.024,2421,17994,0.042,0.302,0.014,0.93,0.047,0.163,0.267,0.348,0.2,-0.038,6.1,0.521,0.448,0.686,0.609,1.163,0.59,0.008,0.351,5.1,0.003,0.038,0.158
2023-Q2,2,2023,6.2,0.9,0.158,0.026,2518,17334,0.044,0.325,0.011,1.156,0.044,0.167,0.262,0.308,0.2,-0.07,6.0,0.552,0.483,0.718,0.637,1.221,0.588,0.007,0.319,5.0,0.002,0.038,0.191
2023-Q1,1,2023,5.1,0.8,0.178,0.029,2709,16697,0.047,0.298,0.008,1.338,0.035,0.163,0.253,0.338,0.2,-0.05,6.1,0.534,0.488,0.725,0.643,1.202,0.603,0.005,0.305,5.1,0.002,0.04,0.273
2022-Q4,4,2022,4.4,0.8,0.197,0.032,2852,16054,0.053,0.277,0.009,1.25,0.028,0.162,0.27,0.423,0.2,-0.049,6.2,0.434,0.379,0.684,0.602,1.173,0.583,0.005,0.347,5.2,0.002,0.032,0.211
2022-Q3,3,2022,5.3,1.0,0.216,0.035,3000,15555,0.056,0.268,0.006,1.65,0.023,0.164,0.268,0.292,0.2,0.047,6.1,0.566,0.519,0.698,0.612,1.287,0.542,0.004,0.329,5.1,0.002,0.052,0.279
2022-Q2,2,2022,6.0,1.2,0.217,0.036,2864,14788,0.058,0.287,0.006,1.716,0.022,0.167,0.267,0.292,0.2,0.057,6.0,0.569,0.538,0.695,0.628,1.218,0.571,0.004,0.343,5.0,0.002,0.06,0.25
2022-Q1,1,2022,8.9,1.7,0.217,0.036,2709,13954,0.057,0.189,0.007,1.608,0.021,0.16,0.27,0.3,0.2,-0.471,6.2,0.579,0.561,0.643,0.594,1.112,0.578,0.004,0.404,5.2,0.002,-0.472,0.234
2021-Q4,4,2021,9.8,1.9,0.217,0.036,5120,26417,0.057,0.287,0.007,1.629,0.022,0.164,0.268,0.334,0.2,0.037,6.1,0.508,0.461,0.665,0.611,1.104,0.602,0.004,0.382,5.1,0.004,0.053,0.252
2021-Q3,3,2021,10.0,2.0,0.221,0.037,4939,25091,0.057,0.232,0.006,1.844,0.023,0.163,0.275,0.299,0.2,0.077,6.1,0.558,0.505,0.644,0.593,1.015,0.634,0.003,0.405,5.1,0.004,0.053,0.392
2021-Q2,2,2021,11.5,2.2,0.215,0.036,4587,23818,0.056,0.284,0.004,2.589,0.025,0.166,0.268,0.281,0.2,0.133,6.0,0.574,0.522,0.677,0.622,1.084,0.625,0.002,0.37,5.0,0.008,0.061,0.353
2021-Q1,1,2021,10.0,1.8,0.2,0.033,4049,22453,0.052,0.314,0.004,2.194,0.028,0.171,0.267,0.287,0.2,0.156,5.9,0.578,0.501,0.696,0.64,1.031,0.675,0.002,0.354,4.9,0.012,0.058,0.277
2020-Q4,4,2020,9.0,1.5,0.181,0.03,3504,21214,0.049,0.297,0.005,1.71,0.031,0.17,0.269,0.297,0.2,0.081,5.9,0.553,0.516,0.681,0.631,1.0,0.68,0.003,0.372,4.9,0.013,0.057,0.202
2020-Q3,3,2020,7.0,1.1,0.177,0.03,3241,20074,0.048,0.313,0.006,1.48,0.035,0.176,0.306,0.332,0.2,0.05,5.7,0.535,0.424,0.623,0.575,0.913,0.682,0.003,0.44,4.7,0.015,0.047,0.124
2020-Q2,2,2020,6.3,1.0,0.176,0.029,3086,19171,0.045,0.332,0.009,1.086,0.036,0.17,0.291,0.312,0.2,0.039,5.9,0.55,0.49,0.639,0.585,0.927,0.689,0.005,0.418,4.9,0.01,0.044,0.249
2020-Q1,1,2020,5.0,0.8,0.177,0.029,2970,18364,0.045,0.301,0.011,1.179,0.038,0.165,0.278,0.354,0.2,0.035,6.1,0.518,0.415,0.642,0.592,0.987,0.65,0.006,0.416,5.1,0.006,0.039,0.416
2019-Q4,4,2019,8.2,1.3,0.178,0.029,2869,17679,0.043,0.411,0.013,0.948,0.038,0.162,0.269,0.353,0.2,0.083,6.2,0.508,0.471,0.649,0.602,0.998,0.651,0.008,0.411,5.2,0.002,0.053,0.443
2019-Q3,3,2019,8.8,1.4,0.172,0.027,2648,16787,0.042,0.305,0.018,0.771,0.039,0.16,0.287,0.335,0.2,0.056,6.2,0.537,0.482,0.6,0.559,0.939,0.639,0.01,0.469,5.2,0.003,0.046,0.23
2019-Q2,2,2019,8.1,1.3,0.17,0.027,2507,16054,0.041,0.318,0.018,0.771,0.039,0.156,0.304,0.336,0.2,0.036,6.4,0.531,0.519,0.547,0.514,0.842,0.65,0.009,0.528,5.4,0.006,0.046,0.112
2019-Q1,1,2019,10.6,1.7,0.186,0.028,2420,15344,0.042,0.219,0.018,0.877,0.042,0.165,0.329,0.366,0.2,0.004,6.1,0.507,0.476,0.535,0.502,0.788,0.68,0.009,0.547,5.1,0.006,0.04,-0.001
2018-Q4,4,2018,10.7,1.8,0.215,0.029,2410,14749,0.04,0.415,0.018,0.851,0.041,0.161,0.324,0.417,0.2,-0.034,6.2,0.457,0.448,0.536,0.498,0.794,0.676,0.009,0.531,5.2,0.008,0.047,-0.006
2018-Q3,3,2018,11.7,2.1,0.254,0.032,2496,14093,0.042,0.328,0.021,0.775,0.041,0.159,0.296,0.284,0.2,0.042,6.3,0.572,0.444,0.579,0.535,0.862,0.671,0.011,0.488,5.3,0.013,0.043,0.215
