period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2024-Q4,4,2024,7.0,1.1,0.173,0.016,2298,14230,0.035,0.401,0.015,0.813,0.038,0.09,0.15,0.35,0.1,0.249,11.1,0.519,0.333,0.626,0.599,1.031,0.607,0.009,0.405,10.1,0.016,0.035,0.22
2024-Q3,3,2024,9.3,1.3,0.142,0.013,1840,13744,0.04,0.206,0.023,0.588,0.04,0.094,0.155,0.357,0.1,0.025,10.6,0.514,0.346,0.646,0.609,1.044,0.619,0.014,0.382,9.6,0.021,0.02,0.304
2024-Q2,2,2024,8.0,1.1,0.142,0.013,1794,13478,0.042,0.236,0.021,0.66,0.044,0.098,0.167,0.326,0.1,0.051,10.2,0.539,0.359,0.636,0.59,1.051,0.605,0.012,0.388,9.2,0.025,0.041,0.205
2024-Q1,1,2024,9.1,1.2,0.133,0.013,1708,12941,0.04,0.268,0.022,0.603,0.049,0.096,0.17,0.358,0.1,0.011,10.4,0.514,0.312,0.612,0.564,1.052,0.581,0.013,0.41,9.4,0.023,0.044,0.163
2023-Q4,4,2023,8.4,1.1,0.137,0.013,1689,12393,0.039,0.101,0.02,0.637,0.053,0.092,0.16,0.415,0.1,-0.187,10.9,0.459,0.111,0.623,0.576,0.986,0.632,0.012,0.399,9.9,0.017,0.011,0.275
2023-Q3,3,2023,7.0,1.2,0.174,0.017,2077,12257,0.037,0.297,0.03,0.47,0.054,0.094,0.18,0.319,0.1,-0.076,10.6,0.546,0.3,0.572,0.522,0.929,0.615,0.016,0.446,9.6,0.01,0.045,0.152
2023-Q2,2,2023,6.5,1.2,0.198,0.018,2247,11728,0.037,0.303,0.022,0.609,0.049,0.09,0.175,0.493,0.1,-0.069,11.1,0.405,0.33,0.563,0.516,0.889,0.633,0.011,0.454,10.1,0.005,-0.08,0.172
2023-Q1,1,2023,5.4,1.0,0.209,0.02,2412,12741,0.038,0.252,0.014,0.839,0.043,0.098,0.195,0.432,0.1,0.018,10.2,0.455,0.386,0.549,0.503,0.859,0.639,0.007,0.476,9.2,0.009,0.044,0.153
2022-Q4,4,2022,4.7,0.9,0.215,0.02,2369,12202,0.04,0.241,0.008,1.35,0.038,0.098,0.2,0.449,0.1,0.034,10.2,0.44,0.415,0.538,0.49,0.826,0.652,0.004,0.48,9.2,0.012,0.052,0.14
2022-Q3,3,2022,5.7,1.1,0.219,0.021,2292,11596,0.043,0.272,0.009,1.422,0.036,0.097,0.196,0.345,0.1,0.11,10.4,0.524,0.455,0.545,0.492,0.96,0.568,0.004,0.469,9.4,0.013,0.056,0.174
2022-Q2,2,2022,6.9,1.3,0.221,0.02,2064,10979,0.044,0.336,0.009,1.615,0.034,0.093,0.192,0.385,0.1,0.093,10.7,0.491,0.378,0.538,0.486,0.966,0.556,0.004,0.475,9.7,0.024,0.059,0.143
2022-Q1,1,2022,11.2,2.0,0.22,0.019,1889,10363,0.044,0.217,0.011,1.257,0.034,0.09,0.183,0.342,0.1,-0.139,11.1,0.527,0.359,0.541,0.495,0.983,0.55,0.006,0.478,10.1,0.023,-0.122,0.205
2021-Q4,4,2021,12.1,2.3,0.226,0.019,2193,11803,0.043,0.222,0.008,1.526,0.033,0.089,0.184,0.39,0.1,0.049,11.3,0.488,0.364,0.525,0.482,1.012,0.519,0.004,0.494,10.3,0.023,0.05,0.177
2021-Q3,3,2021,14.7,2.7,0.229,0.02,2091,11245,0.044,0.361,0.01,1.154,0.037,0.095,0.186,0.256,0.1,0.074,10.5,0.595,0.302,0.566,0.511,1.011,0.559,0.005,0.45,9.5,0.026,0.221,0.205
2021-Q2,2,2021,14.0,3.0,0.247,0.02,1947,9211,0.044,0.264,0.011,1.448,0.039,0.084,0.153,0.36,0.1,0.117,11.9,0.511,0.369,0.599,0.546,1.001,0.598,0.006,0.417,10.9,0.013,0.13,0.317
2021-Q1,1,2021,11.8,2.5,0.241,0.02,1743,8152,0.043,0.191,0.012,1.34,0.041,0.083,0.144,0.352,0.1,-0.214,12.0,0.519,0.407,0.632,0.575,1.036,0.61,0.007,0.385,11.0,0.012,-0.23,0.238
2020-Q4,4,2020,8.9,1.9,0.235,0.019,2218,10585,0.043,0.362,0.012,1.342,0.043,0.081,0.14,0.4,0.1,-0.022,12.3,0.48,0.333,0.638,0.582,1.035,0.616,0.007,0.38,11.3,0.01,0.085,0.255
