period,quarter,year,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2024-Q4,4,2024,37.2,3.1,24.4,0.088,0.015,24,8,44,-0.2,2632,31218,0.17,0.2,1.3,1.2,-0.067,6710,0.051,,0.001,2.6,0.4,10.3,0.5,5.9,8536,0.269,0.086,-12,15.0,-0.925,0.8,0.2,,-0.8,4.9,0.541,0.013
2024-Q3,3,2024,37.2,3.4,38.0,0.096,0.018,23,6,47,2.1,2822,30832,0.178,0.2,1.1,1.1,0.4,4354,0.121,0.084,0.031,2.3,0.4,12.9,0.9,5.6,4547,0.123,0.038,-17,16.0,-1.349,0.8,0.8,0.084,0.5,4.6,0.906,0.013
2024-Q2,2,2024,50.3,3.3,72.0,0.07,0.013,19,6,56,1.0,2016,30451,0.179,0.2,1.1,1.1,0.436,2284,0.124,0.046,0.018,2.1,0.4,21.9,0.9,5.6,5348,0.157,0.046,-31,19.2,-0.818,0.8,0.9,0.046,0.4,4.6,1.417,0.029
2024-Q1,1,2024,73.4,3.5,165.8,0.049,0.01,20,6,58,1.2,1403,29592,0.187,0.2,1.1,1.1,0.918,945,0.098,0.05,0.03,1.9,0.4,48.5,0.8,5.4,3370,0.189,0.053,-32,18.2,-0.998,0.9,0.8,0.05,0.8,4.3,397.53,0.027
2023-Q4,4,2023,147.6,3.7,60366.9,0.027,0.005,4,5,60,-2.3,731,28823,0.184,0.2,1.0,1.0,-1.19,2,,,0.007,2.0,0.4,18911.6,0.8,5.4,1085,0.323,0.09,-51,95.4,-0.753,0.8,0.5,,-0.2,4.4,-1.0,0.026
2023-Q3,3,2023,-25.8,3.5,-24.8,-0.127,-0.029,58,7,58,0.9,-3851,28097,0.199,0.2,1.1,1.1,-0.043,-5842,0.087,0.031,0.009,1.5,0.3,-6.8,0.4,5.0,4313,0.136,0.036,7,6.3,-1.675,0.8,0.7,0.031,0.5,4.0,-0.119,0.025
2023-Q2,2,2023,-23.4,3.4,-19.5,-0.136,-0.033,45,7,56,0.2,-4025,27420,0.209,0.3,1.1,1.0,-0.028,-6629,0.043,0.004,,1.3,0.3,-5.3,0.6,4.8,1647,0.146,0.041,-5,8.2,-1.37,0.8,,0.004,0.1,3.8,0.31,-0.018
2023-Q1,1,2023,-25.4,3.8,-26.3,-0.139,-0.035,87,7,51,1.3,-4143,27931,0.218,0.3,1.1,1.1,0.033,-5062,0.082,0.038,0.013,1.2,0.3,-7.0,0.8,4.6,4045,0.131,0.036,43,4.2,-1.339,0.7,0.7,0.038,0.5,3.6,-0.228,0.064
2022-Q4,4,2022,-27.3,4.2,-19.7,-0.14,-0.037,50,8,62,-10.9,-4009,26256,0.212,0.3,1.0,1.0,-27.31,-6558,,,,1.2,0.3,-4.6,0.7,4.7,225,0.13,0.035,-4,7.3,-1.36,0.7,,,0.5,3.7,-3.322,-0.188
2022-Q3,3,2022,727.6,3.4,51.7,0.005,0.001,135,11,73,0.3,152,32327,0.26,0.4,1.5,1.5,-0.281,2825,0.031,0.007,0.004,1.1,0.3,10.8,0.8,3.9,13430,0.118,0.034,74,2.7,-0.114,0.5,0.9,0.007,0.5,2.8,-0.152,0.019
