period,quarter,year,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2024-Q4,4,2024,9.8,1.0,0.114,0.018,1988,18562,0.058,0.252,0.042,0.562,0.044,0.159,0.213,0.215,0.2,0.196,6.3,0.643,0.286,0.777,0.75,1.427,0.545,0.031,0.28,5.3,0.042,0.035,0.224
2024-Q3,3,2024,12.1,1.1,0.109,0.016,1662,17928,0.06,0.193,0.048,0.507,0.048,0.166,0.224,0.249,0.2,0.138,6.0,0.603,0.276,0.773,0.74,1.335,0.579,0.036,0.285,5.0,0.042,0.03,0.218
2024-Q2,2,2024,12.8,1.1,0.098,0.014,1460,17403,0.057,0.231,0.051,0.481,0.053,0.16,0.221,0.206,0.2,0.046,6.3,0.643,0.226,0.77,0.722,1.324,0.581,0.037,0.282,5.3,0.044,-0.034,0.278
2024-Q1,1,2024,13.4,1.0,0.093,0.015,1396,18015,0.056,0.156,0.048,0.534,0.063,0.174,0.245,0.258,0.2,0.103,5.8,0.557,0.234,0.758,0.709,1.278,0.593,0.034,0.299,4.8,0.043,0.021,0.257
2023-Q4,4,2023,14.4,1.0,0.087,0.014,1267,17639,0.056,0.172,0.05,0.517,0.066,0.171,0.247,0.271,0.2,-0.023,5.8,0.568,0.158,0.744,0.693,1.28,0.581,0.035,0.313,4.8,0.048,0.272,0.292
2023-Q3,3,2023,15.1,1.4,0.103,0.015,1296,13863,0.059,0.215,0.057,0.427,0.063,0.141,0.211,0.284,0.2,-0.113,7.1,0.558,0.216,0.727,0.668,1.237,0.587,0.038,0.315,6.1,0.054,0.023,0.295
2023-Q2,2,2023,12.3,1.3,0.12,0.017,1461,13557,0.062,0.314,0.065,0.43,0.055,0.145,0.22,0.288,0.2,-0.037,6.9,0.668,0.192,0.715,0.661,1.261,0.567,0.043,0.333,5.9,0.056,0.023,0.245
2023-Q1,1,2023,12.6,1.4,0.129,0.019,1517,13246,0.07,0.229,0.062,0.46,0.05,0.155,0.227,0.277,0.2,-0.338,6.4,0.468,0.133,0.748,0.684,1.399,0.535,0.043,0.3,5.4,0.055,0.015,0.238
2022-Q4,4,2022,7.1,1.2,0.207,0.031,2290,13047,0.075,0.195,0.057,0.544,0.044,0.164,0.236,0.318,0.2,-0.009,6.1,0.562,0.089,0.764,0.695,1.446,0.528,0.04,0.287,5.1,0.047,0.011,0.234
2022-Q3,3,2022,7.0,1.3,0.234,0.034,2311,12902,0.079,0.229,0.05,0.62,0.042,0.172,0.254,0.262,0.2,0.094,5.8,0.579,0.263,0.751,0.676,1.451,0.518,0.034,0.3,4.8,0.039,0.039,0.269
2022-Q2,2,2022,8.3,1.4,0.223,0.032,2113,12418,0.074,0.212,0.053,0.62,0.04,0.162,0.251,0.265,0.2,-0.029,6.2,0.585,0.25,0.708,0.645,1.329,0.533,0.034,0.347,5.2,0.034,0.035,0.263
