company,criteria,trend,p_value
HDB,price_to_earning,decreasing,8.279607036421055e-05
HDB,price_to_book,decreasing,0.011683051661326216
HDB,roe,increasing,1.0701373120980406e-10
HDB,earning_per_share,increasing,5.995204332975845e-14
ACB,price_to_earning,decreasing,7.797287207012005e-07
ACB,price_to_book,no trend,0.5257137053419043
ACB,roe,increasing,8.540263529766001e-05
ACB,earning_per_share,increasing,0.0
BID,price_to_earning,no trend,0.6080287872756691
BID,price_to_book,no trend,0.16027681536589178
BID,roe,no trend,0.4013799122056825
BID,earning_per_share,increasing,2.73597835498407e-08
BVH,price_to_earning,decreasing,0.00019255861758527004
BVH,price_to_book,decreasing,2.5723368213270703e-06
BVH,roe,no trend,0.11451581736566596
BVH,earning_per_share,increasing,0.00030376735977521996
CTG,price_to_earning,decreasing,0.04362892533435758
CTG,price_to_book,increasing,0.019148113050835303
CTG,roe,increasing,4.5884833044240736e-08
CTG,earning_per_share,increasing,2.518429909059705e-12
FPT,price_to_earning,increasing,4.818863086342162e-10
FPT,price_to_book,increasing,2.2505997065991323e-11
FPT,roe,increasing,2.831519818613515e-08
FPT,earning_per_share,increasing,1.1904699448450629e-11
GAS,price_to_earning,increasing,0.004961042806142846
GAS,price_to_book,no trend,0.22910345141859279
GAS,roe,decreasing,0.04498987117551212
GAS,earning_per_share,no trend,0.49182374314403665
HPG,price_to_earning,increasing,0.007329337876603725
HPG,price_to_book,no trend,0.1596276077752703
HPG,roe,decreasing,0.0028556176578717896
HPG,earning_per_share,increasing,0.01002752644631788
MBB,price_to_earning,decreasing,0.0008507120846554805
MBB,price_to_book,no trend,0.8878743268648739
MBB,roe,increasing,2.7807289804115953e-09
MBB,earning_per_share,increasing,2.220446049250313e-16
MSN,price_to_earning,no trend,0.07089404538389243
MSN,price_to_book,no trend,0.8702215059143619
MSN,roe,no trend,0.06068047266543353
MSN,earning_per_share,no trend,0.5680669608513922
SAB,price_to_earning,decreasing,0.00010023116763147044
SAB,price_to_book,decreasing,3.7025438492932494e-08
SAB,roe,decreasing,1.0769754532624631e-07
SAB,earning_per_share,decreasing,0.0032013542484932156
SHB,price_to_earning,decreasing,0.00019127266688001576
SHB,price_to_book,no trend,0.3852694739561544
SHB,roe,increasing,4.46975789714088e-11
SHB,earning_per_share,increasing,6.661338147750939e-16
