period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,company
2024-Q4,4,2024,7.0,1.4,0.217,3758.0,ACB
2024-Q3,3,2024,7.1,1.5,0.223,3638.0,ACB
2024-Q2,2,2024,6.5,1.4,0.239,3675.0,ACB
2024-Q1,1,2024,6.8,1.4,0.23,3540.0,ACB
2023-Q4,4,2023,5.6,1.3,0.248,3592.0,ACB
2023-Q3,3,2023,5.5,1.2,0.243,3337.0,ACB
2023-Q2,2,2023,5.7,1.3,0.252,3236.0,ACB
2023-Q1,1,2023,5.4,1.3,0.263,3254.0,ACB
2022-Q4,4,2022,5.0,1.2,0.265,3064.0,ACB
2022-Q3,3,2022,5.3,1.2,0.27,2965.0,ACB
2022-Q2,2,2022,6.4,1.4,0.254,2633.0,ACB
2022-Q1,1,2022,8.0,1.7,0.242,2329.0,ACB
2021-Q4,4,2021,9.3,2.0,0.239,2472.0,ACB
2021-Q3,3,2021,10.1,2.3,0.258,2503.0,ACB
2021-Q2,2,2021,11.4,2.7,0.272,2496.0,ACB
2021-Q1,1,2021,9.6,2.2,0.256,2221.0,ACB
2020-Q4,4,2020,7.9,1.7,0.243,2274.0,ACB
2020-Q3,3,2020,7.3,1.5,0.229,1978.0,ACB
2020-Q2,2,2020,6.2,1.2,0.225,1823.0,ACB
2020-Q1,1,2020,4.8,1.0,0.238,1826.0,ACB
2019-Q4,4,2019,6.3,1.4,0.246,2219.0,ACB
2019-Q3,3,2019,6.7,1.5,0.259,2151.0,ACB
2019-Q2,2,2019,6.6,1.6,0.264,2062.0,ACB
2019-Q1,1,2019,7.2,1.7,0.271,1983.0,ACB
2018-Q4,4,2018,7.4,1.8,0.277,1901.0,ACB
2018-Q3,3,2018,10.0,2.2,0.263,1614.0,ACB
2018-Q2,2,2018,11.0,2.2,0.217,1332.0,ACB
2018-Q1,1,2018,18.7,3.0,0.175,1030.0,ACB
2017-Q4,4,2017,17.6,2.3,0.141,783.0,ACB
2017-Q3,3,2017,16.7,2.0,0.135,686.0,ACB
2017-Q2,2,2017,15.9,1.8,0.116,607.0,ACB
2017-Q1,1,2017,16.6,1.7,0.108,552.0,ACB
2016-Q4,4,2016,13.4,1.3,0.099,490.0,ACB
2016-Q3,3,2016,14.3,1.2,0.089,433.0,ACB
2016-Q2,2,2016,15.6,1.3,0.087,415.0,ACB
2016-Q1,1,2016,15.9,1.3,0.082,392.0,ACB
2015-Q4,4,2015,17.7,1.4,0.082,381.0,ACB
2015-Q3,3,2015,18.4,1.4,0.077,358.0,ACB
2015-Q2,2,2015,19.9,1.5,0.077,351.0,ACB
2015-Q1,1,2015,15.0,1.2,0.077,363.0,ACB
2024-Q4,4,2024,39.7,4.3,0.112,2034.0,BCM
2024-Q3,3,2024,25.7,3.7,0.154,2692.0,BCM
2024-Q2,2,2024,24.5,3.5,0.149,2569.0,BCM
2024-Q1,1,2024,26.8,3.6,0.139,2384.0,BCM
2023-Q4,4,2023,26.3,3.5,0.139,2358.0,BCM
2023-Q3,3,2023,156.5,4.1,0.026,431.0,BCM
2023-Q2,2,2023,184.2,4.7,0.025,417.0,BCM
2023-Q1,1,2023,65.6,4.9,0.076,1227.0,BCM
2022-Q4,4,2022,50.6,4.8,0.099,1548.0,BCM
2022-Q3,3,2022,49.4,5.2,0.112,1769.0,BCM
2022-Q2,2,2022,39.9,3.9,0.102,1620.0,BCM
2022-Q1,1,2022,59.0,4.4,0.076,1198.0,BCM
2021-Q4,4,2021,50.9,4.1,0.081,1229.0,BCM
2021-Q3,3,2021,26.0,3.0,0.116,1702.0,BCM
2021-Q2,2,2021,24.1,3.6,0.153,2221.0,BCM
2021-Q1,1,2021,27.8,3.6,0.135,2032.0,BCM
2020-Q4,4,2020,21.4,2.7,0.133,1891.0,BCM
2020-Q3,3,2020,20.0,2.7,0.144,1971.0,BCM
2020-Q2,2,2020,13.6,1.8,0.141,1880.0,BCM
2020-Q1,1,2020,7.4,1.1,0.163,2167.0,BCM
2019-Q4,4,2019,12.0,2.2,0.199,2444.0,BCM
2019-Q3,3,2019,12.4,2.4,0.201,2450.0,BCM
2019-Q2,2,2019,10.2,1.9,0.198,2357.0,BCM
2024-Q4,4,2024,11.3,1.9,0.192,3511.0,BID
2024-Q3,3,2024,12.3,2.1,0.189,3333.0,BID
2024-Q2,2,2024,11.0,1.9,0.191,3252.0,BID
2024-Q1,1,2024,13.8,2.3,0.191,3118.0,BID
2023-Q4,4,2023,11.7,2.0,0.198,3069.0,BID
2023-Q3,3,2023,11.7,1.9,0.186,2785.0,BID
2023-Q2,2,2023,11.0,2.0,0.202,2884.0,BID
2023-Q1,1,2023,11.9,2.2,0.209,2846.0,BID
2022-Q4,4,2022,10.8,1.9,0.198,2622.0,BID
2022-Q3,3,2022,10.6,1.7,0.181,2352.0,BID
2022-Q2,2,2022,13.0,1.8,0.151,1883.0,BID
2022-Q1,1,2022,19.1,2.4,0.139,1666.0,BID
2021-Q4,4,2021,17.8,2.2,0.132,1854.0,BID
2021-Q3,3,2021,17.8,2.1,0.124,1752.0,BID
2021-Q2,2,2021,21.2,2.5,0.127,1763.0,BID
2021-Q1,1,2021,23.1,2.4,0.108,1469.0,BID
2020-Q4,4,2020,26.9,2.4,0.094,1410.0,BID
2020-Q3,3,2020,18.9,2.0,0.126,1678.0,BID
2020-Q2,2,2020,18.2,1.9,0.125,1620.0,BID
2020-Q1,1,2020,15.3,1.5,0.122,1566.0,BID
2019-Q4,4,2019,43.2,4.7,0.134,1677.0,BID
2019-Q3,3,2019,42.0,5.1,0.135,1425.0,BID
2019-Q2,2,2019,34.0,4.2,0.137,1413.0,BID
2019-Q1,1,2019,37.4,4.9,0.145,1452.0,BID
2018-Q4,4,2018,17.9,2.4,0.151,1829.0,BID
2018-Q3,3,2018,16.2,2.5,0.177,2069.0,BID
2018-Q2,2,2018,12.3,1.9,0.17,2008.0,BID
2018-Q1,1,2018,23.5,3.3,0.153,1754.0,BID
2017-Q4,4,2017,14.1,2.0,0.156,1716.0,BID
2017-Q3,3,2017,13.0,1.6,0.13,1431.0,BID
2017-Q2,2,2017,12.2,1.6,0.141,1546.0,BID
2017-Q1,1,2017,10.3,1.4,0.146,1572.0,BID
2016-Q4,4,2016,8.5,1.2,0.147,1531.0,BID
2016-Q3,3,2016,9.3,1.3,0.153,1600.0,BID
2016-Q2,2,2016,9.5,1.4,0.166,1611.0,BID
2016-Q1,1,2016,9.6,1.3,0.158,1517.0,BID
2015-Q4,4,2015,11.5,1.8,0.17,1565.0,BID
2015-Q3,3,2015,14.1,2.1,0.165,1474.0,BID
2015-Q2,2,2015,13.5,2.1,0.161,1366.0,BID
2015-Q1,1,2015,10.6,1.6,0.154,1311.0,BID
2024-Q4,4,2024,19.0,1.8,0.095,2810.0,BVH
2024-Q3,3,2024,16.3,1.4,0.086,2571.0,BVH
2024-Q2,2,2024,18.5,1.5,0.083,2432.0,BVH
