period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,equity_on_liability,asset_on_equity,equity_on_total_asset,roa,payable_on_equity,book_value_per_share_change,eps_change,book_value_per_share,company
2024-Q4,4,2024,7.0,1.4,0.217,3758.0,0.1,10.4,0.097,0.021,9.4,0.058,0.033,18685.0,ACB
2024-Q3,3,2024,7.1,1.5,0.223,3638.0,0.1,9.9,0.101,0.023,8.9,0.054,-0.01,17653.0,ACB
2024-Q2,2,2024,6.5,1.4,0.239,3675.0,0.1,10.3,0.097,0.023,9.3,0.0,0.038,16744.0,ACB
2024-Q1,1,2024,6.8,1.4,0.23,3540.0,0.1,9.7,0.103,0.024,8.7,0.054,-0.014,16744.0,ACB
2023-Q4,4,2023,5.6,1.3,0.248,3592.0,0.1,10.1,0.099,0.024,9.1,0.062,0.076,15885.0,ACB
2023-Q3,3,2023,5.5,1.2,0.243,3337.0,0.1,9.7,0.103,0.025,8.7,0.063,0.031,14960.0,ACB
2023-Q2,2,2023,5.7,1.3,0.252,3236.0,0.1,10.0,0.1,0.025,9.0,0.005,-0.005,14074.0,ACB
2023-Q1,1,2023,5.4,1.3,0.263,3254.0,0.1,9.8,0.102,0.026,8.8,0.07,0.062,13999.0,ACB
2022-Q4,4,2022,5.0,1.2,0.265,3064.0,0.1,10.4,0.096,0.024,9.4,0.049,0.033,13083.0,ACB
2022-Q3,3,2022,5.3,1.2,0.27,2965.0,0.1,10.1,0.099,0.025,9.1,0.07,0.126,12477.0,ACB
2022-Q2,2,2022,6.4,1.4,0.254,2633.0,0.1,10.4,0.096,0.023,9.4,0.08,0.13,11656.0,ACB
2022-Q1,1,2022,8.0,1.7,0.242,2329.0,0.1,11.0,0.091,0.021,10.0,-0.066,-0.058,10791.0,ACB
2021-Q4,4,2021,9.3,2.0,0.239,2472.0,0.1,11.8,0.085,0.02,10.8,0.057,-0.012,11560.0,ACB
2021-Q3,3,2021,10.1,2.3,0.258,2503.0,0.1,11.3,0.089,0.022,10.3,0.052,0.003,10937.0,ACB
2021-Q2,2,2021,11.4,2.7,0.272,2496.0,0.1,11.7,0.086,0.022,10.7,0.065,0.124,10396.0,ACB
2021-Q1,1,2021,9.6,2.2,0.256,2221.0,0.1,11.9,0.084,0.021,10.9,-0.07,-0.023,9765.0,ACB
2020-Q4,4,2020,7.9,1.7,0.243,2274.0,0.1,12.5,0.08,0.019,11.5,0.077,0.15,10495.0,ACB
2020-Q3,3,2020,7.3,1.5,0.229,1978.0,0.1,12.7,0.079,0.017,11.7,0.068,0.085,9746.0,ACB
2020-Q2,2,2020,6.2,1.2,0.225,1823.0,0.1,12.9,0.078,0.016,11.9,0.048,-0.002,9128.0,ACB
2020-Q1,1,2020,4.8,1.0,0.238,1826.0,0.1,13.2,0.076,0.017,12.2,-0.152,-0.177,8708.0,ACB
2019-Q4,4,2019,6.3,1.4,0.246,2219.0,0.1,13.8,0.072,0.017,12.8,0.094,0.032,10271.0,ACB
2019-Q3,3,2019,6.7,1.5,0.259,2151.0,0.1,14.1,0.071,0.017,13.1,0.064,0.043,9387.0,ACB
2019-Q2,2,2019,6.6,1.6,0.264,2062.0,0.1,14.7,0.068,0.017,13.7,0.065,0.04,8820.0,ACB
2019-Q1,1,2019,7.2,1.7,0.271,1983.0,0.1,15.0,0.067,0.017,14.0,0.065,0.043,8284.0,ACB
2018-Q4,4,2018,7.4,1.8,0.277,1901.0,0.1,15.7,0.064,0.017,14.7,0.077,0.177,7778.0,ACB
2018-Q3,3,2018,10.0,2.2,0.263,1614.0,0.1,16.0,0.062,0.015,15.0,0.066,0.212,7223.0,ACB
2018-Q2,2,2018,11.0,2.2,0.217,1332.0,0.1,16.9,0.059,0.013,15.9,0.066,0.293,6779.0,ACB
2018-Q1,1,2018,18.7,3.0,0.175,1030.0,0.1,17.5,0.057,0.01,16.5,0.072,0.315,6357.0,ACB
2017-Q4,4,2017,17.6,2.3,0.141,783.0,0.1,17.7,0.056,0.008,16.7,0.039,0.142,5933.0,ACB
2017-Q3,3,2017,16.7,2.0,0.135,686.0,0.1,17.5,0.057,0.007,16.5,0.036,0.13,5708.0,ACB
2017-Q2,2,2017,15.9,1.8,0.116,607.0,0.1,17.9,0.056,0.007,16.9,0.023,0.1,5508.0,ACB
2017-Q1,1,2017,16.6,1.7,0.108,552.0,0.1,17.3,0.058,0.006,16.3,0.035,0.127,5387.0,ACB
2016-Q4,4,2016,13.4,1.3,0.099,490.0,0.1,16.6,0.06,0.006,15.6,0.025,0.13,5204.0,ACB
