period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,5696,5412,864006,780544,83462,44667,25220,117781,151.0,125096,580686,8650,-6740,573947,10519,91574,20018.0,7955,101650,7045.0,4954.0,537305,22014,14790,23734,0.0,780544
2023,6909,4763,718795,647839,70956,38841,18505,114644,280.0,80780,487602,5887,-5367,482235,10552,80719,8787.0,0,52410,7682.0,4283.0,482703,23060,11557,20286,0.0,647839
2022,8461,3981,607875,549437,58439,33774,13658,82339,3683.0,76813,413706,3045,-4850,408857,9858,60003,7838.0,506,44304,5564.0,4090.0,413953,22772,9220,15172,0.0,549437
2021,7510,3763,527770,482869,44901,27019,32350,43713,6106.0,70906,361913,2799,-5862,356051,6929,41381,13013.0,0,30548,4638.0,3172.0,379921,17920,7164,10445,0.0,482869
2020,6968,3783,444530,409082,35448,21616,16617,23311,8360.0,69666,311479,1840,-2950,308529,6893,15081,8794.0,0,22050,5097.0,3638.0,353196,9844,5742,7819,0.0,409082
2019,6438,3770,383514,355749,27765,16627,10420,19391,11051.0,59039,268701,1449,-2536,266165,6891,16674,2575.0,0,20831,4363.0,3676.0,308129,7384,4596,6370,0.0,355749
2018,6129,3233,329333,308315,21018,12886,10684,12984,5927.0,54714,230527,1675,-2544,227983,7573,17174,3545.0,3074,8291,3409.0,3457.0,269999,6035,3693,5105,0.0,308315
2017,4852,3008,284316,268285,16031,10273,8315,5932,3163.0,54145,198513,1390,-1845,196669,8131,12130,3323.0,0,6761,2816.0,3568.0,241393,4531,2914,3510,0.0,268285
2016,3541,2851,233681,219618,14063,9377,5119,6443,1881.0,44175,163401,1421,-1797,161604,8010,1735,500.0,0,6615,2281.0,3241.0,207051,3594,2590,2761,0.0,219618
2015,2806,2480,201457,188669,12788,9377,4609,5972,4351.0,38988,135348,1771,-1541,133807,8536,2098,336.0,5179,3075,1742.0,2798.0,174919,2901,2374,1702,0.0,188669
