period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,31833,2210,295,8066,21206,26944,1050,58777,38298,7903,15725,20480,10350,1352,0.0,1095,38298
2023,28441,1332,87,7024,19834,24983,1160,53424,33951,9385,10331,19473,10350,927,0.0,911,33951
2022,27849,1071,436,5333,20841,20456,1246,48305,30541,4951,10936,17765,10350,817,0.0,1007,30541
2021,29193,2985,214,4988,20931,19805,1220,48998,31901,4248,12386,17098,10350,970,0.0,1015,31901
2020,30235,1776,64,4095,24270,18882,1880,49117,32539,6138,8755,16578,10350,1235,0.0,1157,32539
2019,27965,417,326,4319,22877,15551,1844,43516,27765,9259,5289,15750,10350,1146,0.0,1126,27765
2018,30513,2578,424,5832,21619,14672,1729,45185,31694,10517,9138,13491,10126,203,0.0,1169,31694
2017,37182,2968,616,6592,26897,13987,1593,51168,40332,8604,13229,10837,7952,751,0.0,1156,40332
2016,37024,1667,2007,6801,26270,20222,5401,57246,44197,7474,15122,13050,7952,372,,2141,44197
2015,33490,2550,464,6820,23036,17982,5150,51472,40156,7138,13690,11315,8284,202,,1430,40156
