period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,10773,12120,2760693,2616182,144512,68975,92341,268366,11686.0,293996,2056082,29036.0,-38816,2017266,53562,205613,27343.0,168389,198900,28670.0,23151.0,1953170,50784,15727,39462,5234.0,2616182
2023,11029,11096,2300869,2178002,122867,57004,51616,197333,14564.0,232479,1777665,22368.0,-40469,1737196,45641,143569,38262.0,35896,189487,34434.0,15553.0,1704690,53562,15662,30331,4966.0,2178002
2022,13745,10539,2120677,2016558,104119,50585,111418,203467,17796.0,240306,1522222,18089.0,-38053,1484169,38282,137045,40176.0,152753,157052,26052.0,12906.0,1473598,42697,12448,21504,4723.0,2016558
2021,12661,10741,1761696,1675367,86329,50585,68851,112043,24027.0,186005,1354633,13546.0,-29104,1325529,21776,58954,39054.0,25340,123682,21527.0,10902.0,1380398,33590,9685,8673,3194.0,1675367
2020,12294,10422,1516686,1437039,79647,40220,49432,62191,23295.0,138045,1214296,21369.0,-19056,1195240,25736,40828,41432.0,17223,63237,22428.0,12821.0,1226674,34792,8064,13517,3235.0,1437039
2019,14117,10605,1489957,1412304,77653,40220,135255,43719,10718.0,147368,1116998,19496.0,-14632,1102366,25864,28905,47778.0,108760,62772,24696.0,12846.0,1114163,37540,5755,13857,3130.0,1412304
2018,10508,10729,1312866,1258377,54490,34187,50185,81793,22430.0,136474,988739,18802.0,-12404,976334,24443,22064,57134.0,105297,39991,20726.0,11673.0,989671,31922,4618,12271,3048.0,1258377
2017,8203,10349,1202284,1153450,48834,34187,29419,76993,41421.0,158671,866885,14064.0,-11350,855536,21559,27076,64903.0,77535,83738,17055.0,9480.0,859985,28489,4446,7092,2873.0,1153450
2016,7107,9780,1006378,962266,44112,34187,36711,39849,22076.0,158757,723697,14429.0,-10065,713633,18526,33147,59352.0,43392,66642,13397.0,9196.0,726022,22245,3377,4938,1604.0,962266
2015,6589,8535,850507,808171,42335,34187,21719,47524,19575.0,135688,598434,10054.0,-7517,590917,19859,21546,58212.0,45402,65542,9434.0,9386.0,564693,17481,2464,4257,1386.0,808171
