period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,121165,1461,103899,11505,100,130053,1890,251218,227711,2910,0.0,23507,7423,444,0.0,962.0,227711
2023,122398,4784,101566,12278,113,98703,1816,221102,198843,3373,1.0,22259,7423,472,0.0,918.0,198843
2022,117373,2206,102408,9015,131,84291,1886,201664,180393,981,91.0,21271,7423,977,0.0,881.0,180393
2021,99468,5354,82007,9232,142,70036,1934,169505,147473,2506,267.0,22031,7423,1097,0.0,836.0,147473
2020,91842,6781,73718,8299,124,54571,1789,146413,125591,896,317.0,20822,7423,940,0.0,755.0,125591
2019,79755,4743,63081,8066,126,48483,1898,128238,108336,107,633.0,19903,7423,486,0.0,735.0,108336
2018,69335,2160,55405,7580,149,43840,1658,113175,97699,131,449.0,15476,7009,1109,0.0,693.0,97699
2017,44952,3789,31155,6915,145,46440,1657,91392,76931,92,4.0,14461,6805,573,,701.0,76931
2016,30299,2883,20803,4707,119,42697,1542,72996,59310,161,3.0,13687,6805,482,,656.0,59310
2015,22163,2257,14882,3500,103,36389,1678,58553,45354,30,1.0,13198,6805,406,,616.0,45354
