period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,11148,10002,2385388,2236883,148505,53700,34432,370530,7953.0,221340,1721955,20990,-36664,1685291,44693,253520,22622.0,154284,151678,21026.0,13313.0,1606317,45892,25317,58390,971.0,2236883
2023,9760,10126,2032614,1906742,125872,53700,40597,259230,20612.0,187125,1473345,16608,-27773,1445572,59593,259893,44429.0,21814,115376,27999.0,14762.0,1410899,51537,19044,42369,861.0,1906742
2022,11067,10203,1808811,1700495,108316,48058,29727,222455,19977.0,185238,1274844,15824,-29413,1245430,81654,139933,69497.0,104779,91370,21588.0,12399.0,1249176,43347,16075,33513,739.0,1700495
2021,11331,10496,1531587,1437938,93650,48058,23383,129799,19517.0,183310,1130668,14300,-25795,1104873,47423,33671,105163.0,33294,64497,16867.0,9857.0,1161848,36937,13673,21488,695.0,1437938
2020,9930,10825,1341510,1256071,85439,37234,57617,92628,9905.0,123879,1015333,9519,-12582,1002751,33838,98537,29982.0,44597,59876,16085.0,7798.0,990331,30014,11605,26027,600.0,1256071
2019,8283,10997,1240711,1163357,77355,37234,24874,123085,6304.0,111723,935271,10813,-12946,922325,32651,82538,26945.0,70603,57066,17835.0,6676.0,892785,27643,9610,19833,561.0,1163357
2018,7028,11140,1164290,1096973,67316,37234,23182,126277,4235.0,108549,864926,13709,-13060,851866,31731,73942,37458.0,62600,46216,15821.0,6593.0,825816,45007,8168,11837,296.0,1096973
2017,5980,11437,1095061,1031296,63765,37234,20757,101938,5572.0,135036,790688,9011,-8303,782385,31428,68526,46633.0,15207,22502,12358.0,14524.0,752935,119129,7476,9234,296.0,1031296
2016,5187,10624,948568,888261,60307,37234,13503,91032,3437.0,139324,661988,6982,-6899,655089,29689,41346,43806.0,4808,23849,9945.0,14107.0,655060,113315,6367,6991,260.0,888261
2015,5091,8666,779483,723373,56110,37234,11893,64385,1633.0,127263,538080,4942,-4550,533530,27022,43399,55770.0,13227,20860,5971.0,12864.0,492960,42802,5275,3942,242.0,723373
