period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,45536,9315,21785,11382,1857,26464,14816,72000,36272,14446,501,35728,14711,874,0.0,5933,36272
2023,36706,8279,16104,9674,1593,23577,13643,60283,30350,13838,208,29933,12700,1015,0.0,4959,30350
2022,30938,6440,13047,8503,1966,20713,12033,51650,26294,10904,1478,25356,10970,569,0.0,4310,26294
2021,35118,5418,20731,6882,1507,18580,10399,53698,32280,17799,2296,21418,9076,555,0.0,3477,32280
2020,25266,4686,12436,6265,1290,16468,8318,41734,23129,12062,678,18606,7840,745,0.0,2860,23129
2019,18979,3453,6709,6536,1284,14415,7492,33394,16595,7514,350,16799,6784,387,0.0,2835,16595
2018,18406,3926,5569,6427,1341,11351,6514,29757,14982,6599,367,14775,6136,341,,2302,14982
2017,16060,3481,4379,6152,1020,8940,5247,25000,11761,4117,565,13238,5310,439,,1809,11761
2016,21909,6013,3472,6640,4554,7925,4590,29833,18385,9207,733,11448,4594,524,,1923,18385
2015,18959,3585,2617,5534,5268,7087,4292,26046,15863,8191,614,10182,3975,302,,1601,15863
