period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,57290,5568,27494,19098,4599,24564,18222,81855,20284,934,2291,61571,23427,374,0.0,1323,20284
2023,62218,5669,35085,16865,3945,25537,19532,87754,22456,1605,4271,65299,22967,625,0.0,1250,22456
2022,55652,10549,23726,16191,4102,27011,16370,82663,21489,45,6038,61174,19140,836,0.0,1316,21489
2021,51395,5300,24800,16920,3241,27373,18098,78768,26575,485,7510,52193,19140,1471,0.0,1098,26575
2020,39472,5237,21613,10239,1663,23736,19774,63208,13709,1017,1964,49500,19140,749,0.0,1064,13709
2019,41815,4476,24915,10359,1575,20363,15850,62179,12564,1341,1456,49615,19140,1029,0.0,1108,12564
2018,40932,6706,21602,10214,1948,21682,18609,62614,15747,1490,3396,46867,19140,658,,1794,15747
2017,38257,13502,13577,9175,1645,23632,15396,61889,18618,1738,7312,43272,19140,677,,1782,18618
2016,33203,13538,5898,11878,1291,23551,17203,56754,15910,1180,6366,40844,19140,863,,1730,15910
2015,33697,17748,6099,8092,1212,23018,14870,56715,13826,1590,4504,42889,18950,670,,1827,13826
