period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,27739,6187,13561,2523,4365,55806,35355,83545,24938,4133,2911,58606,40000,1171,0.0,5443,24938
2023,23842,5564,11355,2546,3360,54220,34438,78062,23085,3003,3577,54977,40000,1029,0.0,5118,23085
2022,23450,4370,11212,2763,4131,54998,33981,78448,24932,2817,4596,53516,40000,1646,0.0,4445,24932
2021,22769,5304,10279,2849,3471,56245,32559,79014,27074,2662,6344,51940,40000,2028,0.0,4051,27074
2020,22167,5528,10765,2949,2079,58111,30562,80278,28848,3772,8335,51431,40000,1956,0.0,3843,28848
2019,21070,7115,6560,2900,3507,57447,27699,78517,27920,2787,9076,50597,40000,1870,0.0,3776,27920
2018,18429,5160,5475,3575,3286,58944,25429,77373,28031,3368,10032,49342,40000,1323,0.0,4624,28031
2017,17191,5161,4399,3295,3542,57292,21157,74483,26448,3328,10110,48034,27355,1215,4663.0,4271,26448
2016,14945,6034,2699,2896,2601,54857,16660,69803,24600,3683,10354,45202,26141,863,4663.0,4104,24600
2015,14704,5504,2487,2936,2933,51964,13487,66668,23371,3309,10651,43297,26166,1220,,3959,23371
