period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,3105,1766,697281,640623,56658,35101,26680,94226,7374.0,71565,442485,8556.0,-5879,436606,55958,74877,24584.0,15,81350,8013.0,5304.0,437505,19485,6313,12954,2166.0,640623
2023,2810,1423,602315,555915,46400,29076,41482,88120,8395.0,62817,343404,6160.0,-4054,339350,57809,62598,49489.0,27,50938,10346.0,6017.0,370778,19274,4708,10562,1931.0,555915
2022,2938,1315,416273,377278,38995,25303,11273,40322,8810.0,50731,263856,4404.0,-3102,260755,40128,49441,43213.0,10821,44162,5053.0,4404.0,215797,10758,3528,8000,2041.0,377278
2021,2446,1366,374612,343821,30790,20073,11848,55837,105.0,76835,203211,3360.0,-2452,200759,25415,59852,47391.0,93,42756,4383.0,3256.0,183283,7495,2547,6290,1757.0,343821
2020,2257,1059,319127,294423,24704,16088,7788,44711,100.0,70869,178323,2357.0,-1935,176388,15935,38994,36181.0,143,34332,4435.0,3091.0,174620,6900,1847,4939,1707.0,294423
2019,2005,904,229477,209096,20381,9810,4504,23855,810.0,40852,146324,1997.0,-1625,144700,11805,26221,23573.0,209,25013,3249.0,3198.0,126019,5004,1248,6131,1309.0,209096
2018,2096,1615,216057,199229,16828,9810,5386,30695,1730.0,45456,123132,1885.0,-1340,121792,7026,22838,17852.0,7912,14927,3143.0,3519.0,128060,4595,776,3007,1193.0,199229
2017,1512,1527,189334,174575,14759,9810,1922,19651,2211.0,50871,104497,1583.0,-1161,103336,8256,12244,24973.0,156,9793,2696.0,3416.0,120537,3873,454,1770,684.0,174575
2016,1636,1352,150294,140352,9943,8100,2389,15971,2609.0,35042,82224,1199.0,-920,81304,9897,13621,6063.0,178,11027,2463.0,3114.0,103300,3310,465,747,626.0,140352
2015,1472,805,106486,96644,9842,8100,2742,6780,5318.0,22533,56559,897.0,-706,55853,10976,3031,3563.0,2488,7847,1744.0,1917.0,74543,2349,379,909,449.0,96644
