period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,87079,6888,18975,7622,46521,137411,67428,224490,109842,55883,27080,114647,63963,404,0.0,293,109842
2023,82716,12252,22177,10702,34504,105066,71998,187783,84946,54982,10399,102836,58148,183,0.0,66,84946
2022,80515,8325,26268,9893,34491,89821,70833,170336,74223,46749,11152,96113,58148,419,0.0,106,74223
2021,94155,22471,18236,7663,42134,84082,69281,178236,87456,43748,13465,90781,44729,1047,0.0,155,87456
2020,56747,13696,8127,6125,26287,74764,65562,131511,72292,36798,17343,59220,33133,328,0.0,149,72292
2019,30437,4545,1374,3561,19412,71339,31249,101776,53989,16838,19842,47787,27611,237,0.0,163,53989
2018,25309,2516,3725,3210,14115,52914,12783,78223,37600,11495,12811,40623,21239,300,,127,37600
2017,33068,4265,9937,6555,11749,19954,13198,53022,20625,11329,1651,32398,15171,442,,111,20625
2016,18183,4559,693,2395,10247,15044,12670,33227,13376,5488,972,19850,8429,141,,106,13376
2015,11915,2373,758,1608,6937,13592,8211,25507,11040,6117,739,14467,7330,96,,23,11040
