period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,1162,2732,508330,464992,43338,25576,14370,89027,7485,59289,331606,5199.0,-4330,327276,7037,105407,9942,1271,55459,7817,4746,283172,9741,5640,12122,0,464992
2023,2383,1950,382863,348746,34117,25576,14578,35059,526,47774,275431,3689.0,-3458,271973,8656,47153,2960,90,47910,9839,5038,237392,13166,3696,4845,0,348746
2022,2984,1693,327746,303691,24055,17291,10324,31368,658,42890,235507,3427.0,-4870,230637,6993,37694,1966,3077,35048,6525,4149,215888,9976,2860,3904,0,303691
2021,2751,1584,289194,272392,16802,12036,9868,21288,1151,39238,208954,2863.0,-3171,205783,7446,36849,9433,1703,36738,5697,5383,180276,7394,2184,2582,0,272392
2020,3499,1621,242343,228111,14232,10746,6759,13543,416,33955,176622,2527.0,-2265,174356,7975,12018,2727,224,32251,5086,6046,174526,6365,1753,1733,0,228111
2019,1214,1503,202058,189478,12580,8881,6622,9263,2401,35121,140523,2030.0,-1721,138802,7045,12947,4586,287,28156,4576,4287,136847,5496,1473,2162,0,189478
2018,1664,1462,175095,164894,10201,7500,6256,4208,905,35991,119193,1680.0,-1483,117710,6838,12048,4393,7345,10120,4067,3806,124948,4878,1205,1432,0,164894
2017,893,1454,163434,154050,9383,6460,10940,10922,1435,32189,100621,1074.0,-1229,99392,6214,11486,2053,1332,6157,2298,2935,128275,3577,1066,1794,0,154050
2016,640,1255,141865,133533,8332,6460,12220,8097,1185,33571,79676,888.0,-970,78706,6177,7960,6837,311,4100,1671,2862,110985,2233,868,941,0,133533
2015,481,1172,107587,99987,7601,6460,1885,4674,752,32485,56165,543.0,-695,55470,10637,6918,4282,6345,2000,1471,3530,77629,1719,713,364,0,99987
