period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,3349,5430,1128801,1011741,117060,53063,29825,63888,12904.0,218179,776658,12585.0,-11610,765048,28998,79516,30654.0,8156,128964,9900.0,8919.0,714154,47312,14997,40718,4911.0,1011741
2023,3675,4854,944954,848242,96711,52141,66322,39120,7230.0,192790,611049,9805.0,-11470,599579,29218,68813,30998.0,9,126463,13390.0,8669.0,567533,51628,12194,25560,3973.0,848242
2022,3744,5074,728532,648919,79613,45340,39655,24836,8102.0,164311,460574,5031.0,-11976,448599,32901,33059,32057.0,32,96578,7688.0,6786.0,443606,41584,9289,19064,3664.0,648919
2021,3475,4678,607140,544654,62486,37783,38051,24155,11909.0,137185,363555,3268.0,-8758,354797,32426,13871,45690.0,262,66887,5078.0,4599.0,384692,31254,7341,12915,2911.0,544654
2020,3109,4311,494982,444883,50099,27988,17297,41939,5949.0,103684,298297,3248.0,-4354,293943,24465,24984,25892.0,15,50924,4766.0,3782.0,310960,31900,6225,12956,2193.0,444883
2019,2344,2798,411488,371602,39886,23727,14347,29339,10549.0,87684,250331,2898.0,-3201,247130,17447,29550,20764.0,17,26289,4599.0,3772.0,272710,21971,4937,10342,1888.0,371602
2018,1737,2699,362325,328152,34173,21605,10548,35363,9894.0,75037,214686,2860.0,-3211,211475,15737,40693,19778.0,2633,11158,2821.0,3429.0,239964,13601,3887,7124,1530.0,328152
2017,1842,2604,313878,284277,29601,18155,6684,38765,14928.0,54466,184188,2218.0,-2126,182062,12507,36212,9889.0,1848,6022,2756.0,2841.0,220176,9832,3209,5977,1431.0,284277
2016,1520,2458,256259,229670,26588,17127,10002,12885,14264.0,55054,150738,1987.0,-2050,148687,11381,12837,11876.0,0,2367,2346.0,2929.0,194812,7520,2697,4699,1237.0,229670
2015,1236,1932,221042,197859,23183,16000,8182,17785,11143.0,51835,121349,1950.0,-1976,119372,9431,3484,4026.0,1412,2450,1786.0,2865.0,181565,4605,2242,3633,590.0,197859
