period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,53570,18618,608,21865,10787,94015,37050,147585,106832,26724,38825,40752,15129,18490,0.0,10510,106832
2023,43763,10125,6795,11985,13175,103620,42886,147383,109146,28030,41542,38237,14308,8920,0.0,11678,109146
2022,47675,13853,3659,13930,14445,93668,43535,141343,104706,40567,30426,36637,14237,11672,0.0,10484,104706
2021,43630,22305,333,6634,12813,82463,42654,126093,83757,18806,39372,42337,11805,1513,0.0,9526,83757
2020,29761,7721,447,7051,12498,85976,49582,115737,90706,22545,39466,25030,11747,2472,0.0,9093,90706
2019,24262,6801,784,5418,9622,73035,40792,97297,45409,18340,11676,51888,11689,123,0.0,9108,45409
2018,12500,4586,376,2413,4333,52079,29204,64579,30499,9244,12752,34080,11631,296,,4593,30499
2017,15145,7417,640,2247,4333,48384,29830,63529,43303,9166,25630,20225,11574,803,,5388,43303
2016,22876,13149,1771,2277,5390,50163,29821,73039,52726,8618,32472,20313,7681,2528,,5036,52726
2015,16709,8324,294,3127,4418,55140,26998,71850,44741,8367,27253,27109,7467,398,,10494,44741
