period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,65774,5697,28524,8764,22245,4445,3587,70219,42097,27300,0,28122,14622,905,0.0,364,42097
2023,51950,5366,18937,5159,21824,8161,6500,60111,36752,19129,5985,23360,14634,1317,0.0,13,36752
2022,44578,5061,10069,3001,25696,11256,9728,55834,31902,10688,5901,23933,14639,2972,0.0,15,31902
2021,51955,4142,14237,3162,29167,11016,9647,62971,42593,24647,0,20378,7131,476,0.0,12,42593
2020,37317,7348,8057,1595,19422,8714,7295,46031,30549,15625,1127,15482,4532,546,0.0,9,30549
2019,35012,3115,3137,1815,25745,6696,5404,41708,29565,13031,1122,12144,4435,718,0.0,8,29565
2018,23372,3750,51,1543,17446,4751,3333,28123,19139,5836,1208,8983,4435,1208,,6,19139
2017,18863,3411,0,2766,12050,3960,3464,22823,16914,5604,1200,5909,3170,807,,3,16914
2016,12288,997,0,1411,9371,2566,2096,14854,11013,4789,0,3841,1540,335,,2,11013
2015,6176,344,0,636,4933,1089,849,7266,4782,2053,0,2484,1469,175,,2,4782
