period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,60085,15062,15144,12855,15659,21323,13581,81408,52106,17383,489,29302,12939,377,0.0,3287,52106
2023,57307,14048,16496,10975,14640,22369,13655,79676,50474,19135,647,29202,12939,323,0.0,3263,50474
2022,50170,11606,7098,12674,17232,24305,14284,74476,46693,13590,823,27783,12939,2091,0.0,3290,46693
2021,41304,6192,11832,7600,13163,23488,14779,64791,36531,14225,1144,28260,12939,228,0.0,3137,36531
2020,37797,10612,8559,7216,9400,23309,15578,61106,36980,14722,1299,24126,12939,230,0.0,2964,36980
2019,38753,11275,5397,8344,11773,23010,15406,61762,35839,13953,1445,25923,12939,343,0.0,2887,35839
2018,34690,10221,4714,7556,10303,21593,15139,56283,33191,13357,1350,23092,12939,236,0.0,2748,33191
2017,40526,14223,2505,7462,12868,21243,15271,61769,38385,13745,2406,23384,12939,243,,2865,38385
2016,33376,11354,2654,6918,8627,20868,15646,54244,31044,7038,2852,23201,12939,374,,3223,31044
2015,30331,11289,1979,7060,7617,20513,15229,50845,34213,12758,2918,16632,10700,402,,2882,34213
