period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,25067,4478,16566,1818,1979,8373,3593,33439,9002,245,169,24437,12826,3510,0.0,1155,9002
2023,26553,5040,17741,1229,2318,7503,3970,34057,8571,530,171,25485,12826,2899,0.0,1273,8571
2022,26860,4069,19411,898,2194,7605,4455,34465,9874,659,374,24591,6413,3204,0.0,1451,9874
2021,22877,3606,16991,468,1668,7610,4402,30487,7892,322,341,22595,6413,2228,0.0,1373,7892
2020,19513,2726,14547,591,1447,7862,4875,27375,6160,449,526,21215,6413,967,0.0,1275,6160
2019,19165,4116,12393,569,1967,7798,4685,26962,6886,561,494,20076,6413,1079,0.0,1271,6886
2018,14690,4467,7544,766,1814,7677,4567,22367,6255,594,15,16112,6413,1080,0.0,1065,6255
2017,13686,4269,6559,715,2004,8327,5008,22014,7593,723,2,14421,6413,2630,,1037,7593
2016,10722,3445,3174,1090,2134,8472,5474,19195,6899,1042,164,12296,6413,1270,,1048,6899
2015,12194,7936,943,1085,1925,9378,5855,21572,7507,1052,610,14065,6413,1043,,996,7507
