period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,1564,5328,747244,689394,57850,36629,27441,92636,24713,37686,519950,13748,-8951,510999,46878,123726,10365,1243,39248,10602,12126,499897,13424,5360,14947,0,689394
2023,1371,5229,630501,580402,50098,36194,54764,54826,8841,40271,438464,13239,-9101,429363,35954,65286,5480,1334,42822,14026,13949,447503,16269,5138,8011,0,580402
2022,1898,4954,542428,499524,42904,30674,15146,52457,10652,33003,385633,10853,-7058,378575,45573,72871,5413,9715,36440,9069,15296,361676,11793,4062,7331,0,499524
2021,1878,4979,506604,471073,35532,26674,14352,55579,8593,25239,362416,6113,-4638,357779,37993,74429,5304,1511,46292,7687,6132,327197,11388,2923,4784,0,471073
2020,1620,4866,412680,388643,24036,17510,14806,31154,97,28774,305637,5599,-3438,302199,29030,21838,17124,610,31034,8633,7561,303582,10942,2204,4323,0,388643
2019,1755,4818,365254,346747,18507,12036,10163,33617,91,21738,265162,5056,-3130,262031,30868,31626,16998,725,26733,8428,8065,259237,8919,1817,4608,0,346747
2018,1885,4792,323276,306943,16333,12036,4329,29300,0,48223,216989,5199,-3002,213987,20701,31352,13582,12211,16722,5295,9118,225224,6379,1467,2739,0,306943
2017,1447,3952,286010,271319,14691,11197,3743,27860,5654,21424,198291,4624,-2849,195442,26353,33298,19703,2758,14967,4103,7956,194890,4639,1220,2178,0,271319
2016,1292,3962,240753,227521,13232,11197,2719,23231,6911,19110,162376,3044,-1797,160579,22893,23299,16815,2572,13768,3205,7876,166576,3682,1038,898,2,227521
2015,1918,4056,204704,193446,11258,9486,4363,25936,3863,17674,131427,2263,-1421,130006,16877,24320,3826,4225,8259,3054,8872,148829,3473,864,809,3,193446
