period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,964,1367,325699,290696,35003,28350,11300,67920,2324,28561,209355,3959.0,-3281,206073,7136,55895,29409,2064,30450,2922,2582,168320,4253,2666,3983,0,290696
2023,851,1269,266122,235825,30297,24957,2800,45808,2891,22702,179752,3483.0,-2978,176774,12970,47047,19651,2539,16846,3743,3319,144840,4794,1715,3518,0,235825
2022,1038,1086,231423,205191,26232,20403,9827,41462,3606,12695,153956,2460.0,-2433,151523,10128,44266,15454,3839,21505,3700,2594,115547,4565,1156,3469,0,205191
2021,1076,883,211664,193000,18663,14785,4799,35233,7357,29988,127588,2105.0,-1782,125807,6456,35553,22813,2173,19053,2948,1680,109785,3575,856,2212,0,193000
2020,1012,862,180207,166537,13670,12087,3374,25641,100,34977,108869,2021.0,-1108,107761,6094,25388,17128,206,7065,3065,2598,113277,3472,456,1127,0,166537
2019,1290,771,157398,146472,10926,9369,3232,24135,1265,22038,98614,2280.0,-1129,97484,6909,21275,10195,239,15679,3019,3380,95727,3357,232,1325,0,146472
2018,1021,776,140487,132186,8302,7688,1704,16376,2763,27961,83910,1266.0,-902,83008,6605,20336,8913,7282,8105,2767,2843,84345,3134,195,419,0,132186
2017,735,375,125009,118834,6175,5466,3409,15168,2062,26700,70526,595.0,-604,69921,6325,18711,13890,311,3728,1798,2525,80040,2154,219,489,0,118834
2016,708,347,103365,97485,5880,5466,2365,10756,4459,19915,58989,1005.0,-544,58445,6028,12939,7840,348,2900,1187,2130,72131,1261,174,240,0,97485
2015,564,349,84757,78988,5769,5466,6084,9227,2665,17709,42806,611.0,-366,42439,5351,10654,7420,181,2900,649,1909,57018,785,156,147,0,78988
