period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,70932,239,68838,1737,0,2575,231,73507,46681,45502,0,26827,19639,18,0.0,151.0,46681
2023,65755,494,64562,603,0,3486,269,69241,46000,43169,0,23241,15011,903,0.0,141.0,46000
2022,48732,1418,45402,1802,0,3494,282,52226,29843,27892,0,22384,14911,913,0.0,139.0,29843
2021,46540,1114,43764,1586,0,4253,189,50793,36573,31121,0,14220,9848,4312,0.0,63.0,36573
2020,29040,363,28208,318,0,6729,148,35770,25897,23351,0,9873,6029,622,0.0,63.0,25897
2019,22291,1041,21115,100,0,4753,147,27044,17643,15550,0,9401,5101,343,0.0,65.0,17643
2018,22270,613,21568,57,0,1555,119,23826,14670,11193,0,9156,5101,1490,0.0,67.0,14670
2017,17228,346,16589,287,0,1536,161,18764,10148,8504,0,8616,5001,189,0.0,78.0,10148
2016,12664,309,12159,98,0,1343,131,14007,6100,4819,0,7907,4901,300,0.0,79.0,6100
2015,10975,746,9957,30,0,1178,132,12153,5426,3914,0,6728,4801,195,0.0,81.0,5426
