period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,3385,12467,978799,830859,147940,70649,54353,74887,9885.0,160727,631725,7101.0,-8091,623634,39501,72211,60028.0,12,140422,7282.0,8126.0,533392,23862,24787,42219,2520.0,830859
2023,3621,8893,849482,717866,131616,35225,27141,80127,24047.0,112473,518642,5999.0,-6128,512514,80543,50620,102553.0,0,84703,9419.0,9681.0,454661,25329,45029,49013,1317.0,717866
2022,4216,8411,699033,585608,113425,35172,11476,69925,13050.0,104626,420524,3033.0,-4771,415752,70517,61294,106269.0,8,34007,6144.0,8029.0,358404,23775,11609,64483,1129.0,585608
2021,3579,7224,568729,475687,93041,35109,4909,39451,31065.0,102670,347341,2294.0,-3736,343606,34711,45606,66853.0,1,33680,3122.0,5808.0,314753,14796,9156,47453,847.0,475687
2020,3664,4613,439603,364988,74615,35049,10253,21113,7882.0,92807,277525,1295.0,-2214,275310,22836,21232,26253.0,0,27900,3252.0,5185.0,277459,11878,6790,31816,484.0,364988
2019,4821,3208,383699,321627,62073,35001,3192,38596,9394.0,76108,230802,3078.0,-2917,227885,19334,38632,22634.0,0,17461,3479.0,5554.0,231297,11169,5173,21131,291.0,321627
2018,2606,1719,320989,269206,51783,34966,10555,24170,11390.0,94097,159939,2803.0,-2385,157554,17702,28973,7452.0,6025,13178,3424.0,5738.0,201415,11853,3868,12403,69.0,269206
2017,2344,1511,269392,242462,26931,11655,4279,16243,13913.0,58310,160849,2584.0,-1885,158964,12542,21274,25049.0,1000,17640,2764.0,3877.0,170971,6527,6157,10997,0.0,242462
2016,2957,1583,235363,215777,19586,8878,2534,9059,12540.0,54277,142616,2246.0,-1495,141121,9996,15115,9771.0,1448,10415,2196.0,3992.0,173449,4924,5219,5489,0.0,215777
2015,2754,882,191994,175536,16458,8878,2677,7488,7275.0,47490,112180,1864.0,-1167,111013,11074,8079,12667.0,0,8134,2087.0,3047.0,142240,3994,4745,2835,0.0,175536
