period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,1293,1222,418028,380432,37596,26420,22708,62183,8338,59472,250331,3803.0,-3093,247239,14807,76598,17916,238,36633,3520,3285,242806,6016,3722,7455,0,380432
2023,2339,1059,356634,323891,32743,22016,9214,33889,18464,65336,205262,4200.0,-2676,202586,23656,62399,21566,338,24216,4979,3868,208262,6969,3052,7674,0,323891
2022,2427,1205,328634,296395,32239,15818,11989,36886,16479,74377,160993,1357.0,-1833,159160,25727,47266,26230,433,20430,4125,3141,194960,6911,2113,11747,0,296395
2021,2553,789,292827,266840,25987,15818,18040,35868,12885,62405,141228,1157.0,-1765,139463,19865,53315,33700,564,35405,2583,1935,139562,3813,1389,6220,0,266840
2020,2214,709,206315,189570,16744,10717,9109,8686,4013,48095,119991,1420.0,-1906,118085,14284,19401,21479,698,27439,2608,1677,115904,3961,862,6023,0,189570
2019,1655,571,164439,151364,13075,8566,7761,19261,1763,26075,95644,1235.0,-1208,94435,11863,28948,11266,828,14426,2035,1311,92439,2750,576,4616,0,151364
2018,1332,300,136179,125558,10622,8566,4693,15681,660,24900,77185,861.0,-890,76295,11054,18654,14838,4752,8715,1341,1339,76138,2105,305,1806,0,125558
2017,1177,251,124119,117442,6677,5842,2364,22190,400,25465,63423,695.0,-675,62748,8944,27759,12998,1082,3481,1134,1272,70299,1606,161,964,0,117442
2016,815,144,106311,100630,5681,5842,1362,19237,4547,29883,46643,350.0,-409,46234,3382,24735,16510,1500,0,858,1310,55082,1590,76,565,0,100630
2015,622,134,76221,71422,4799,5550,1227,17809,2481,21579,28240,228.0,-263,27978,4380,18995,10400,2018,0,398,865,39505,503,42,229,0,71422
