period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,14268,8093,2085397,1886441,198956,55891,49340,383376,6920.0,174187,1449220,13964,-31183,1418037,30862,223273,11380.0,78237,24125,13990.0,8865.0,1514665,34760,27453,110679,96.0,1886441
2023,14505,7708,1839613,1674601,165013,55891,58105,312002,30176.0,150500,1270359,12455,-28684,1241675,30651,193963,19876.0,1671,19913,19527.0,9200.0,1395698,43362,27447,76759,94.0,1674601
2022,18349,7985,1813815,1678169,135646,47325,92558,283728,40750.0,199864,1145066,7820,-24779,1120287,60978,222041,10470.0,67315,25338,12485.0,9209.0,1243468,109534,22557,60733,88.0,1678169
2021,18012,8636,1414986,1305800,109186,37089,22507,181037,48728.0,175743,960750,6121,-25740,935010,28964,104044,5714.0,9468,17388,9326.0,7148.0,1135324,33855,18173,48503,87.0,1305800
2020,15095,8539,1326230,1232135,94095,37089,33139,204714,64256.0,161124,839788,5230,-19243,820545,19817,100916,2667.0,41177,21240,9798.0,7206.0,1032114,33954,14926,36650,85.0,1232135
2019,13778,6707,1222814,1141859,80954,37089,34684,190100,62370.0,171795,734707,5370,-10234,724473,21807,71047,2571.0,92366,21384,10363.0,8065.0,928451,26021,12186,26127,83.0,1141859
2018,12792,6527,1074027,1011847,62179,35978,10846,187353,63876.0,154427,631867,6223,-10294,621573,17357,75246,1278.0,90685,21461,8718.0,7409.0,801929,21222,9446,16139,69.0,1011847
2017,10103,6162,1035293,982735,52558,35978,93616,159043,73930.0,143174,543434,6209,-8113,535321,13111,55804,11138.0,171385,18215,8467.0,6026.0,708520,17651,7254,8715,89.0,982735
2016,9692,5730,787935,739790,48146,35978,17382,103236,48610.0,139632,460808,6922,-8087,452722,10701,53282,18956.0,54151,10286,6454.0,5791.0,590451,12662,5937,5875,144.0,739790
2015,8519,5039,674395,629222,45172,26650,19715,92588,38940.0,121079,387723,7137,-8610,379113,9400,51744,20392.0,41480,2479,4988.0,4850.0,501163,11966,4941,7476,165.0,629222
