period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,1639,795,493158,451297,41862,29791,9909,49848,55741.0,50414,324010,11374.0,-5694,318316,5663,94514,28687.0,18587,23263,3383.0,2572.0,276308,9933,4333,7735,0.0,451297
2023,1681,756,409881,371942,37940,25368,8218,56382,11815.0,61058,266346,8375.0,-4271,262075,7720,74756,23884.0,0,23897,4218.0,3663.0,236577,12821,3470,9099,0.0,371942
2022,1618,700,342799,310148,32651,21077,10063,27161,24739.0,40348,231944,5687.0,-3065,228879,9165,45958,25209.0,0,31775,3738.0,2432.0,200124,7075,2518,9055,0.0,310148
2021,1522,604,309517,285226,24291,15531,24891,11747,16238.0,44807,201517,4670.0,-2400,199116,10431,38020,26437.0,0,42298,2553.0,1857.0,173565,4834,1787,6971,0.0,285226
2020,1422,404,244676,226702,17974,11094,24592,2833,1536.0,41445,169520,2957.0,-1748,167772,4396,26886,15601.0,0,28559,2826.0,1798.0,150349,5296,1253,5626,0.0,226702
2019,1160,365,184531,171102,13430,9245,19040,2873,1139.0,27948,129200,2537.0,-1286,127914,3766,14179,13046.0,0,17155,2517.0,1496.0,122357,4352,2593,1590,0.0,171102
2018,1098,351,139166,128499,10668,7835,2474,7724,692.0,28693,96139,2422.0,-878,95261,2456,17215,12185.0,833,10152,1463.0,1405.0,84863,3211,1709,1123,0.0,128499
2017,1016,370,123159,114372,8788,5644,3588,9390,885.0,25724,79864,2109.0,-945,78919,2295,17264,16432.0,1000,9045,1213.0,1125.0,68378,2133,2028,720,0.0,114372
2016,856,378,104517,95774,8743,5644,4015,8485,667.0,28823,60180,1550.0,-1015,59164,2101,17414,15848.0,0,2000,623.0,1305.0,59261,1194,1257,683,0.0,95774
2015,849,396,84309,75698,8611,4845,6892,587,175.0,26587,47777,989.0,-752,47025,1706,6628,6071.0,8472,0,491.0,986.0,53304,1149,1186,622,0.0,75698
