period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,400375,42669,6593,190336,112799,438841,182818,839216,685699,97217,126913,153518,38786,123518,0.0,15579,685699
2023,343536,27983,6999,168115,92624,324119,160409,667656,519434,116235,97018,148222,38786,122783,0.0,34481,519434
2022,283117,26213,6736,126232,98588,294291,119742,577407,441752,40594,119804,135655,38689,75559,0.0,25563,441752
2021,161374,18352,8080,72187,50425,267010,130696,428384,268813,20037,102011,159572,38676,40562,0.0,59098,268813
2020,166014,29404,10414,52396,62495,256490,125640,422504,286651,25972,98309,135853,34448,43450,0.0,56657,286651
2019,197393,18447,11173,63872,83809,206348,108269,403741,283152,32996,84430,120589,34309,52864,0.0,44171,283152
2018,135402,13557,1952,50075,55228,152726,49456,288127,188960,19116,61771,99167,32756,14900,0.0,45521,188960
2017,100247,8142,673,27335,56059,113545,35650,213792,161235,18141,31220,52557,26377,24461,,20883,161235
2016,92976,9833,494,18255,55175,90499,26881,183476,135184,5591,34169,48291,26377,20469,,20464,135184
2015,67700,6938,11143,13848,28027,77855,19837,145554,107969,1425,33123,37585,18682,27472,,14480,107969
