period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,42389,4559,3826,31757,2005,57135,14166,99524,82594,13562,30052,16930,5416,3055,0.0,22,82594
2023,40827,5051,613,34243,703,46098,10173,86925,71672,13554,17257,15253,5416,4157,0.0,21,71672
2022,33587,1858,688,29730,983,34449,5710,68037,53139,8550,10310,14898,5416,3409,0.0,20,53139
2021,26867,1868,859,23261,811,24787,1158,51654,34799,7320,8140,16854,5416,1093,0.0,20,34799
2020,25383,2926,604,20896,712,19814,850,45197,30218,10095,1347,14978,5416,1588,0.0,1,30218
2019,24459,5364,1145,16756,748,24400,1304,48859,33956,8161,3662,14903,5416,1620,0.0,2,33956
2018,19079,7165,817,10273,469,20007,1646,39086,25048,4958,572,14039,5416,1585,,2,25048
2017,17669,6862,1,10223,267,13990,1529,31658,21064,6897,627,10594,4513,1106,,2,21064
2016,10313,2741,1,7129,138,9749,1047,20063,15329,6102,695,4734,3000,529,,1,15329
2015,6258,924,270,4691,164,5787,29,12045,9897,3543,0,2147,1450,622,,1,9897
