period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,37554,2226,23260,6234,5687,17495,12551,55049,18875,9115,158,36174,20900,1149,0.0,3896,18875
2023,35936,2912,20137,6530,6128,16737,12690,52673,17648,8218,238,35026,20900,1194,0.0,3329,17648
2022,31560,2300,17414,6100,5538,16922,11903,48483,15666,4867,66,32817,20900,3056,0.0,2967,15666
2021,36110,2349,21026,5822,6773,17222,12707,53332,17482,9382,76,35850,20900,114,0.0,2767,17482
2020,29666,2111,17314,5187,4905,18767,13854,48432,14785,7316,167,33647,20900,146,0.0,2350,14785
2019,24722,2665,12436,4503,4983,19978,14894,44700,14969,5351,123,29731,17417,1956,0.0,2227,14969
2018,20560,1523,8674,4639,5526,16806,13365,37366,11095,1060,216,26271,17417,2540,,490,11095
2017,20307,963,10562,4592,4021,14360,10609,34667,10794,268,275,23873,14515,2784,,498,10794
2016,18674,655,10454,2867,4522,10705,8321,29379,6973,1333,327,22406,14515,592,,237,6973
2015,16732,1359,8668,2685,3810,10746,8214,27478,6554,1475,368,20924,12007,644,,231,6554
