period,cash,fixed_asset,asset,debt,equity,capital,central_bank_deposit,other_bank_deposit,other_bank_loan,stock_invest,customer_loan,bad_loan,provision,net_customer_loan,other_asset,other_bank_credit,owe_other_bank,owe_central_bank,valuable_paper,payable_interest,receivable_interest,deposit,other_debt,fund,un_distributed_income,minor_share_holder_profit,payable
2024,2148,2024,923848,776572,147275,79339,14327,126527,8116.0,66083,692876,29070.0,-16330,676546,27276,111863,89893.0,6,66976,10415.0,8384.0,485667,22129,14566,24008,5370.0,776572
2023,2285,1924,817567,677771,139796,79339,8423,81299,12795.0,107102,566271,28428.0,-14799,551472,51446,83235,73122.0,4118,47787,13812.0,8976.0,442368,27118,12233,19066,5164.0,677771
2022,2658,1858,631013,527511,103502,67434,9935,40772,7194.0,91059,438338,25137.0,-13676,424662,51981,51326,88923.0,1929,63700,8597.0,7879.0,303151,18419,13535,16752,6664.0,527511
2021,2346,1873,547409,461131,86278,45057,10861,40330,16858.0,83019,355281,16244.0,-9891,345390,45754,47107,67512.0,8454,81296,5558.0,4897.0,241837,14821,12559,22439,7906.0,461131
2020,3283,1863,419027,366233,52794,25300,5780,13829,5726.0,77217,290816,9924.0,-4497,286319,24752,9371,47140.0,14,62845,6453.0,5037.0,233428,13107,11912,17415,0.0,366233
2019,2459,1923,377204,334994,42210,25300,3454,15483,4615.0,70460,257184,8798.0,-4084,253100,25710,12144,38724.0,19,57600,7912.0,6032.0,213950,12220,7107,11806,0.0,334994
2018,1855,1963,323291,288541,34750,25300,10829,15338,1234.0,56319,221962,7766.0,-3567,218395,17358,21145,33086.0,3781,48658,5263.0,4428.0,170851,10671,5466,5187,0.0,288541
2017,2574,808,277752,248057,29696,15706,6461,15219,2302.0,55135,182666,6200.0,-3147,179519,15735,7834,30229.0,26,66105,5063.0,3812.0,133551,9822,3558,4565,0.0,248057
2016,1727,624,228771,211593,17178,9181,2983,4089,5300.0,58515,144673,4207.0,-2090,142583,12922,13437,15399.0,1104,48651,3162.0,4166.0,123788,7635,2950,3757,0.0,211593
2015,1632,510,193876,180488,13389,8056,2261,8730,5871.0,50096,116804,3145.0,-1742,115062,9688,9603,8161.0,4821,21860,2805.0,4134.0,130271,5256,1325,2719,0.0,180488
