period,short_asset,cash,short_invest,short_receivable,inventory,long_asset,fixed_asset,asset,debt,short_debt,long_debt,equity,capital,other_debt,un_distributed_income,minor_share_holder_profit,payable
2024,12312,2885,126,2016,295,42914,221,55226,13304,2010,2523,41923,23288,969,0.0,0,13304
2023,10036,4102,1071,1613,640,37617,413,47654,9827,1792,2144,37827,23288,1170,0.0,23,9827
2022,10535,7020,97,1404,1178,32166,418,42701,9276,1065,2121,33425,23288,1161,0.0,32,9276
2021,6827,3297,190,1488,583,31047,439,37873,7223,20,3138,30651,23288,839,0.0,35,7223
2020,7012,3051,1894,1446,520,32804,450,39816,10481,20,5706,29336,23288,787,0.0,34,10481
2019,5070,1388,789,724,986,30768,474,35839,8885,19,2765,26954,23288,831,0.0,34,8885
2018,7123,2431,701,1048,902,31561,308,38684,10174,18,2762,28509,23288,749,,42,10174
2017,13357,1422,60,4053,1817,24777,171,38133,12039,2816,3158,26094,19011,1300,0.0,31,12039
2016,7387,1698,0,3340,683,26912,399,34299,9616,6,5954,24683,21092,749,,31,9616
2015,5682,396,0,1938,1483,30280,45,35961,21077,327,13913,14884,14172,1305,,73,21077
