time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,1163109.0,1910.0,872620.0,87010.0,4347610.0,896720.0,141260.0,762975.0,2142970.0,4232230.0,416346.0,2849190.0,518870.0,716290.0,380760.0,28600.0,5266138.0,,991450.0,2914530.0,1387610.0,130120.0,386290.0,238600.0,371400.0,440280.0,419710.0,352700.0,1721220.0,581190.0
2020-01-03,1055528.0,1610.0,603940.0,59290.0,3626640.0,2047880.0,218980.0,1116553.0,1305640.0,7832210.0,79257.0,3476230.0,777690.0,791020.0,586600.0,17590.0,2756634.0,,703890.0,1975250.0,756700.0,99170.0,536130.0,394470.0,391030.0,248940.0,350790.0,625390.0,1416280.0,1272890.0
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,1286035.0,3220.0,794490.0,129160.0,3173480.0,1091660.0,431090.0,408280.0,1309500.0,5371060.0,118620.0,2609270.0,582020.0,389250.0,497990.0,35850.0,2225405.0,,1348120.0,2302490.0,1162990.0,112640.0,880110.0,1025270.0,359794.0,301910.0,334350.0,495910.0,1655410.0,682790.0
2020-01-07,1050934.0,4110.0,526890.0,67160.0,4163600.0,837240.0,142800.0,537260.0,865630.0,4871220.0,144955.0,2684180.0,319680.0,648230.0,290780.0,15580.0,1900049.0,,643090.0,2154970.0,1043300.0,65060.0,1013270.0,590360.0,114862.0,183910.0,360760.0,459520.0,1298520.0,356780.0
2020-01-08,2304937.0,8133.0,1230830.0,163230.0,9864300.0,1814290.0,439260.0,503454.0,1954710.0,6421130.0,197038.0,4163950.0,737690.0,742390.0,237220.0,30610.0,4952178.0,,2622960.0,4490220.0,1710390.0,102880.0,722280.0,553690.0,516075.0,468910.0,417200.0,837710.0,2417600.0,919210.0
2020-01-09,1422248.0,15620.0,1573190.0,157250.0,8592300.0,967050.0,320980.0,200020.0,2024450.0,4613440.0,310444.0,3298470.0,505680.0,318070.0,128140.0,54030.0,4564607.0,,1149130.0,2443480.0,2009840.0,189800.0,722670.0,421250.0,559354.0,273870.0,451440.0,624130.0,3379270.0,1054800.0
2020-01-10,2371501.0,9201.0,1506410.0,136260.0,14701830.0,1018650.0,160820.0,409717.0,1917360.0,10006180.0,495515.0,8593950.0,524930.0,412180.0,135340.0,55770.0,12074293.0,,2067400.0,10754160.0,3679110.0,133980.0,1526920.0,699780.0,720409.0,159120.0,483900.0,596280.0,3102860.0,543040.0
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,1523181.0,12200.0,544740.0,63230.0,5317470.0,786760.0,355190.0,185830.0,866380.0,4456520.0,198130.0,2921820.0,413810.0,288240.0,166780.0,22590.0,6713670.0,,1125380.0,3390120.0,892360.0,98460.0,1044640.0,882160.0,527921.0,146680.0,466570.0,412880.0,1278670.0,417280.0
2020-01-14,2851982.0,1900.0,752200.0,171640.0,7040780.0,721680.0,166850.0,290900.0,813000.0,9565300.0,487555.0,4557920.0,349410.0,320810.0,94530.0,9340.0,4214729.0,,1066740.0,1811340.0,1804950.0,226240.0,1001130.0,361600.0,359137.0,101150.0,486130.0,335180.0,2049630.0,562730.0
2020-01-15,1158657.0,5353.0,695290.0,92440.0,4364850.0,940870.0,201400.0,188608.0,712440.0,5881520.0,566760.0,3625930.0,373290.0,293160.0,176290.0,22540.0,5862093.0,,830260.0,2479650.0,1929280.0,46350.0,1471860.0,420650.0,379187.0,205600.0,422930.0,681740.0,2024320.0,549700.0
2020-01-16,2819687.0,300.0,1004080.0,157100.0,8002680.0,1942970.0,508390.0,463400.0,2717120.0,6855030.0,493302.0,8169550.0,290210.0,521080.0,176180.0,9270.0,5813973.0,,2384770.0,9556920.0,4383720.0,383350.0,1171580.0,441860.0,690910.0,186740.0,404540.0,545090.0,2814400.0,979630.0
2020-01-17,2706194.0,8200.0,643490.0,131930.0,6412750.0,1388810.0,281760.0,355706.0,2061530.0,6329150.0,636570.0,4776330.0,496940.0,435030.0,128190.0,12580.0,5603239.0,,2832740.0,6094750.0,1875160.0,37830.0,2219790.0,552190.0,805973.0,169100.0,506950.0,375030.0,2388200.0,872560.0
2020-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,4443379.0,9013.0,761650.0,107680.0,4737420.0,1227100.0,134180.0,309240.0,939700.0,5711790.0,744140.0,4308990.0,541490.0,1463940.0,265570.0,17170.0,5686173.0,,1288010.0,4135740.0,2019730.0,78000.0,832190.0,711830.0,1253362.0,370670.0,341310.0,493600.0,2478120.0,1070940.0
2020-01-21,1775816.0,0.0,609600.0,119020.0,6063350.0,4351820.0,180960.0,435320.0,1656380.0,5911660.0,549545.0,5239140.0,369330.0,692200.0,605240.0,52160.0,3921607.0,,1541100.0,7604200.0,7458340.0,122920.0,749590.0,653680.0,1106015.0,181510.0,369200.0,853940.0,5349510.0,908080.0
2020-01-22,1574379.0,216.0,781390.0,156250.0,4747210.0,3165650.0,162790.0,540290.0,2241630.0,8919900.0,410662.0,4991520.0,540210.0,460240.0,392620.0,11510.0,5596112.0,,1729500.0,7030700.0,2309150.0,45070.0,877710.0,673070.0,584350.0,371780.0,365030.0,794440.0,2728060.0,932500.0
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,4250097.0,25820.0,1388710.0,335430.0,11319200.0,2638460.0,379940.0,372714.0,1695770.0,13028790.0,1097030.0,8995010.0,1591110.0,1315710.0,314560.0,38140.0,9105370.0,,2412920.0,8264520.0,4013510.0,103000.0,3541560.0,1414000.0,848096.0,682720.0,565700.0,1533720.0,4277050.0,2002220.0
2020-01-31,4243264.0,4800.0,1154570.0,176570.0,11815850.0,4118150.0,551680.0,655457.0,1891250.0,10994970.0,1697740.0,8065490.0,791350.0,1434750.0,672920.0,24730.0,18935757.0,,4457280.0,6261030.0,6118460.0,89490.0,1270160.0,1284370.0,988717.0,831740.0,489090.0,1915820.0,4664680.0,2322570.0
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,4430186.0,16840.0,1562560.0,270730.0,13869450.0,3602970.0,565980.0,965930.0,1825080.0,12079180.0,2169576.0,14421110.0,1290570.0,1949930.0,594560.0,16880.0,27397994.0,,3144570.0,7105100.0,4258750.0,173210.0,1457070.0,755310.0,1299169.0,760420.0,1089690.0,2289150.0,4531780.0,1977600.0
2020-02-04,2397062.0,19700.0,1406270.0,312880.0,14852770.0,1651440.0,376400.0,353930.0,1620490.0,8086090.0,783597.0,9461800.0,744900.0,905300.0,578180.0,167140.0,7888715.0,,1782240.0,5433400.0,2196570.0,14600.0,1118410.0,829790.0,712734.0,1485500.0,271820.0,1869040.0,4567030.0,2239180.0
2020-02-05,2790275.0,3820.0,718710.0,298760.0,11732260.0,1648620.0,290230.0,470640.0,1330510.0,6938550.0,2219653.0,7177000.0,750710.0,805800.0,186410.0,43870.0,13147005.0,,2164080.0,3967950.0,2433210.0,28510.0,731310.0,2410370.0,742628.0,468420.0,477530.0,1545750.0,6401650.0,2036300.0
